time_use_category,weekly_hours,hourly_value,dollar_value_of_a_day,secondary_child_care,with_family,at_home,alone,participation_rate,weekly_hrs_ci_lower,weekly_hrs_ci_upper
Inside Housework,2.15,18.31,5.63,0.00,0.55,2.07,1.58,22.7,1.57,2.73
Food Cooking & Clean-up,2.76,18.40,7.26,0.00,1.34,2.65,1.34,46.0,1.98,3.54
"Pets, Home & Vehicles",6.02,20.06,17.26,0.01,1.23,5.39,4.75,41.6,5.17,6.88
Household Management,1.63,24.72,5.76,0.00,0.55,1.48,1.05,25.4,1.09,2.17
Shopping,2.42,18.13,6.26,0.00,1.30,0.09,1.01,42.4,2.03,2.80
Obtaining Services,0.22,21.87,0.69,0.00,0.09,0.09,0.05,4.5,0.10,0.34
Travel for Household Activity,2.33,24.75,8.24,0.00,1.06,0.03,1.22,47.9,1.91,2.75
Household Production,17.54,20.40,51.10,0.01,6.13,11.79,11.00,84.4,15.85,19.22
Household Children,0.02,18.05,0.06,,0.02,0.02,0.00,0.5,,0.05
Household Adults,0.46,17.91,1.17,0.00,0.31,0.13,0.15,8.6,0.14,0.78
Non-Household Members,1.07,18.09,2.77,0.00,0.80,0.29,0.12,9.6,0.75,1.40
Travel for Household Members,0.32,24.75,1.12,0.00,0.19,0.00,0.11,6.7,0.17,0.47
Travel for Non-Household Members,0.35,24.75,1.24,0.00,0.16,0.00,0.15,8.3,0.23,0.48
Caring and Helping,2.22,20.05,6.37,0.00,1.48,0.44,0.53,18.3,1.62,2.83
Eating & Drinking,8.76,18.25,22.84,0.01,5.69,5.73,2.37,96.4,8.31,9.21
Personal Health Care,0.65,17.95,1.66,0.00,0.17,0.38,0.39,7.4,0.34,0.96
Grooming,3.60,18.17,9.35,0.01,,,,72.2,3.32,3.88
Sleeping,60.07,18.58,159.43,,,,,100.0,59.09,61.04
"Private, Personal, or N/A",1.97,20.56,5.78,0.00,0.46,0.60,0.71,23.7,1.61,2.33
Personal Time,75.05,18.57,199.07,0.02,6.31,6.72,3.46,100.0,73.99,76.10
Socializing,4.54,20.35,13.19,0.01,3.53,2.18,0.22,36.5,3.89,5.18
Passive Leisure,31.19,17.40,77.53,0.01,16.30,29.69,14.53,94.1,29.30,33.09
Active Leisure,2.66,17.40,6.62,0.00,0.79,0.62,1.31,20.5,2.17,3.16
Attendance Leisure,0.93,17.40,2.30,0.00,0.79,0.01,0.10,5.0,0.58,1.28
Religious Activities,0.73,23.41,2.43,0.00,0.42,0.25,0.20,7.1,0.50,0.95
Volunteering,1.23,23.41,4.10,0.00,0.30,0.42,0.48,8.0,0.83,1.62
Travel Related to Leisure,2.83,24.75,9.99,0.00,1.60,0.02,1.14,51.0,2.32,3.33
Leisure,44.10,18.44,116.16,0.02,23.72,33.19,17.97,98.9,42.11,46.09
Working at Job,24.01,20.08,68.89,0.00,1.31,4.19,6.15,58.2,21.79,26.23
Educational Activities,2.61,23.41,8.72,0.00,0.45,1.48,1.40,7.0,1.70,3.51
Commuting to Work or School,2.48,24.75,8.75,0.00,0.20,0.03,2.17,45.3,1.99,2.96
Work and Education,29.09,20.78,86.36,0.00,1.96,5.71,9.72,62.3,26.52,31.67
Total,168.00,19.13,459.06,0.05,39.60,57.85,42.68,,,
