state,area,adjustment_pct,is_state_total
Alabama,Alabama,80.77,yes
California,California,113.85,yes
California,"Anniston-Oxford-Jacksonville, AL",77.55,
California,"Bakersfield, CA",103.06,
California,"Auburn-Opelika, AL",81.23,
California,"Chico, CA",105.13,
California,"Birmingham-Hoover, AL",83.09,
California,"El Centro, CA",103.89,
California,"Columbus, GA-AL",80.51,
California,"Fresno, CA",104.70,
California,"Daphne-Fairhope-Foley, AL",82.22,
California,"Hanford-Corcoran, CA",106.81,
California,"Decatur, AL",82.06,
California,"Los Angeles-Long Beach-Anaheim, CA",112.64,
California,"Dothan, AL",75.96,
California,"Madera, CA",102.84,
California,"Florence-Muscle Shoals, AL",76.72,
California,"Merced, CA",105.02,
California,"Gadsden, AL",74.95,
California,"Modesto, CA",108.73,
California,"Huntsville, AL",84.75,
California,"Napa, CA",122.17,
California,"Mobile, AL",80.76,
California,"Oxnard-Thousand Oaks-Ventura, CA",110.21,
California,"Montgomery, AL",80.77,
California,"Redding, CA",105.37,
California,"Tuscaloosa, AL",82.88,
California,"Riverside-San Bernardino-Ontario, CA",108.27,
California,Northwest Alabama nonmetropolitan area,77.05,
California,"Sacramento--Roseville--Arden-Arcade, CA",112.51,
California,Northeast Alabama nonmetropolitan area,76.60,
California,"Salinas, CA",111.49,
California,Southwest Alabama nonmetropolitan area,75.74,
California,"San Diego-Carlsbad, CA",113.09,
California,Southeast Alabama nonmetropolitan area,76.27,
California,"San Francisco-Oakland-Hayward, CA",127.08,
Alaska,Alaska,109.78,yes
Alaska,"San Jose-Sunnyvale-Santa Clara, CA",128.09,
Alaska,"Anchorage, AK",108.42,
Alaska,"Fairbanks, AK",109.88,
Alaska,San Luis Obispo-Paso Robles-Arroyo Grande CA,111.23,
Alaska,Alaska nonmetropolitan area,112.14,
Alaska,"Santa Cruz-Watsonville, CA",113.86,
Arizona,Arizona,106.75,yes
Arizona,"Santa Maria-Santa Barbara, CA",111.51,
Arizona,"Flagstaff, AZ",107.20,
Arizona,"Santa Rosa, CA",120.41,
Arizona,"Lake Havasu City-Kingman, AZ",102.39,
Arizona,"Stockton-Lodi, CA",109.02,
Arizona,"Phoenix-Mesa-Scottsdale, AZ",108.49,
Arizona,"Vallejo-Fairfield, CA",117.06,
Arizona,"Prescott, AZ",107.60,
Arizona,"Visalia-Porterville, CA",103.32,
Arizona,"Sierra Vista-Douglas, AZ",99.02,
Arizona,"Yuba City, CA",107.34,
Arizona,"Tucson, AZ",102.39,
Arizona,"Yuma, AZ",96.09,
Arizona,nonmetropolitan area,109.02,
Arizona,Arizona nonmetropolitan area,100.71,
