series,total_comp_cost,total_comp_pct,wages_cost,wages_pct,total_benefits_cost,total_benefits_pct,paid_leave_cost,paid_leave_pct,supplemental_pay_cost,supplemental_pay_pct,insurance_cost,insurance_pct,retirement_savings_cost,retirement_savings_pct,legally_required_cost,legally_required_pct
Privateindustryworkers,46.15,100.0,32.36,70.1,13.79,29.9,3.52,7.6,1.87,4.1,3.51,7.6,1.55,3.4,3.34,7.2
"Occupationalgroup Management,professional,and relatedoccupations",77.22,100.0,53.03,68.7,24.19,31.3,7.28,9.4,3.55,4.6,5.54,7.2,2.87,3.7,4.95,6.4
"Management,business,and financialoccupations",86.61,100.0,58.51,67.6,28.09,32.4,8.33,9.6,4.86,5.6,6.33,7.3,3.17,3.7,5.40,6.2
Professionalandrelated occupations,72.19,100.0,50.10,69.4,22.09,30.6,6.71,9.3,2.85,3.9,5.12,7.1,2.71,3.8,4.70,6.5
Salesandofficeoccupations,35.54,100.0,25.48,71.7,10.05,28.3,2.45,6.9,1.06,3.0,3.02,8.5,0.95,2.7,2.58,7.3
Salesandrelatedoccupations,35.01,100.0,26.37,75.3,8.65,24.7,2.09,6.0,1.04,3.0,2.05,5.9,0.83,2.4,2.64,7.5
Officeandadministrativesupport occupations,35.96,100.0,24.79,68.9,11.17,31.1,2.73,7.6,1.07,3.0,3.79,10.6,1.04,2.9,2.53,7.0
Serviceoccupations,23.39,100.0,17.99,76.9,5.40,23.1,1.02,4.4,0.62,2.7,1.33,5.7,0.38,1.6,2.05,8.8
"Naturalresources,construction,and maintenanceoccupations",46.91,100.0,32.25,68.7,14.66,31.3,2.65,5.6,1.96,4.2,3.84,8.2,2.27,4.8,3.93,8.4
"Construction,extraction,farming, fishing,andforestryoccupations",45.53,100.0,31.33,68.8,14.20,31.2,2.05,4.5,2.07,4.6,3.68,8.1,2.27,5.0,4.12,9.1
"Installation,maintenance,and repairoccupations",48.32,100.0,33.18,68.7,15.13,31.3,3.26,6.7,1.85,3.8,4.02,8.3,2.27,4.7,3.74,7.7
"Production,transportation,and materialmovingoccupations",36.26,100.0,24.82,68.4,11.45,31.6,2.18,6.0,1.65,4.5,3.39,9.3,1.28,3.5,2.95,8.1
Productionoccupations,36.66,100.0,24.71,67.4,11.95,32.6,2.28,6.2,2.25,6.1,3.51,9.6,1.02,2.8,2.90,7.9
Transportationandmaterialmoving occupations,36.01,100.0,24.88,69.1,11.13,30.9,2.13,5.9,1.27,3.5,3.32,9.2,1.44,4.0,2.98,8.3
Industryandoccupationalgroup Goods-producingindustries2,48.97,100.0,33.28,68.0,15.69,32.0,3.20,6.5,2.63,5.4,4.21,8.6,1.84,3.8,3.80,7.8
