series,total_comp_cost,total_comp_pct,wages_cost,wages_pct,total_benefits_cost,total_benefits_pct,paid_leave_cost,paid_leave_pct,supplemental_pay_cost,supplemental_pay_pct,insurance_cost,insurance_pct,retirement_savings_cost,retirement_savings_pct,legally_required_cost,legally_required_pct
Unionworkers,62.13,100.0,36.95,59.5,25.17,40.5,4.74,7.6,2.58,4.2,8.47,13.6,4.99,8.0,4.40,7.1
Goods-producingindustries2,67.04,100.0,39.00,58.2,28.04,41.8,3.98,5.9,3.60,5.4,9.19,13.7,6.25,9.3,5.03,7.5
Manufacturingindustry,57.47,100.0,33.21,57.8,24.26,42.2,4.30,7.5,3.98,6.9,8.86,15.4,2.94,5.1,4.18,7.3
Service-providingindustries3,60.42,100.0,36.25,60.0,24.18,40.0,5.00,8.3,2.23,3.7,8.22,13.6,4.55,7.5,4.18,6.9
"Trade,transportation,andutilities industry",62.22,100.0,36.50,58.7,25.72,41.3,4.28,6.9,2.51,4.0,9.20,14.8,5.45,8.8,4.27,6.9
Retailtradeindustry,30.22,100.0,19.10,63.2,11.13,36.8,1.72,5.7,0.98,3.2,4.19,13.9,1.72,5.7,2.51,8.3
Transportationandwarehousing industry,75.98,100.0,43.92,57.8,32.06,42.2,5.24,6.9,3.09,4.1,11.62,15.3,7.16,9.4,4.95,6.5
Educationandhealthservices industry,64.62,100.0,39.75,61.5,24.88,38.5,6.65,10.3,2.58,4.0,7.37,11.4,3.82,5.9,4.45,6.9
Healthcareandsocialassistance industry,63.93,100.0,39.37,61.6,24.56,38.4,6.69,10.5,2.73,4.3,7.14,11.2,3.53,5.5,4.46,7.0
Nonunionworkers,44.78,100.0,31.96,71.4,12.81,28.6,3.41,7.6,1.81,4.1,3.08,6.9,1.26,2.8,3.25,7.3
Goods-producingindustries2,46.43,100.0,32.48,70.0,13.95,30.0,3.09,6.7,2.50,5.4,3.50,7.5,1.22,2.6,3.63,7.8
Manufacturingindustries,46.39,100.0,31.71,68.4,14.68,31.6,3.49,7.5,2.47,5.3,3.93,8.5,1.40,3.0,3.39,7.3
Service-providingindustries3,44.47,100.0,31.87,71.7,12.60,28.3,3.47,7.8,1.69,3.8,3.00,6.8,1.27,2.8,3.18,7.1
"Trade,transportation,andutilities industries",35.68,100.0,26.40,74.0,9.27,26.0,2.31,6.5,1.03,2.9,2.19,6.1,0.91,2.6,2.83,7.9
Retailtradeindustries,26.20,100.0,20.33,77.6,5.86,22.4,1.32,5.0,0.55,2.1,1.37,5.2,0.45,1.7,2.18,8.3
Transportationandwarehousing industries,40.83,100.0,29.58,72.4,11.25,27.6,2.74,6.7,1.20,2.9,2.73,6.7,1.11,2.7,3.47,8.5
Educationandhealthservices industries,47.84,100.0,34.53,72.2,13.30,27.8,3.88,8.1,1.50,3.1,3.29,6.9,1.35,2.8,3.29,6.9
Healthcareandsocialassistance industries,46.73,100.0,33.69,72.1,13.05,27.9,3.76,8.0,1.64,3.5,3.23,6.9,1.20,2.6,3.22,6.9
