series,total_comp_cost,total_comp_pct,wages_cost,wages_pct,total_benefits_cost,total_benefits_pct,paid_leave_cost,paid_leave_pct,supplemental_pay_cost,supplemental_pay_pct,insurance_cost,insurance_pct,retirement_savings_cost,retirement_savings_pct,legally_required_cost,legally_required_pct
Allworkers,46.15,100.0,32.36,70.1,13.79,29.9,3.52,7.6,1.87,4.1,3.51,7.6,1.55,3.4,3.34,7.2
1-99workers,37.65,100.0,27.83,73.9,9.82,26.1,2.39,6.4,1.22,3.2,2.35,6.2,0.92,2.4,2.95,7.8
1-49workers,37.14,100.0,27.62,74.4,9.52,25.6,2.33,6.3,1.17,3.1,2.23,6.0,0.86,2.3,2.94,7.9
50-99workers,39.31,100.0,28.52,72.5,10.79,27.5,2.60,6.6,1.40,3.6,2.73,7.0,1.08,2.8,2.98,7.6
100workersormore,56.24,100.0,37.73,67.1,18.51,32.9,4.85,8.6,2.65,4.7,4.89,8.7,2.31,4.1,3.80,6.8
100-499workers,46.80,100.0,32.59,69.6,14.21,30.4,3.69,7.9,1.80,3.9,3.78,8.1,1.59,3.4,3.35,7.2
500workersormore,67.70,100.0,43.97,65.0,23.72,35.0,6.26,9.2,3.68,5.4,6.23,9.2,3.20,4.7,4.36,6.4
Goods-producingindustries2,48.97,100.0,33.28,68.0,15.69,32.0,3.20,6.5,2.63,5.4,4.21,8.6,1.84,3.8,3.80,7.8
1-99workers,43.32,100.0,30.85,71.2,12.47,28.8,2.43,5.6,2.00,4.6,3.05,7.1,1.33,3.1,3.66,8.4
1-49workers,42.31,100.0,30.51,72.1,11.80,27.9,2.30,5.4,1.89,4.5,2.68,6.3,1.27,3.0,3.67,8.7
50-99workers,45.75,100.0,31.66,69.2,14.09,30.8,2.74,6.0,2.26,4.9,3.97,8.7,1.50,3.3,3.62,7.9
100workersormore,54.16,100.0,35.52,65.6,18.64,34.4,3.92,7.2,3.22,5.9,5.26,9.7,2.31,4.3,3.93,7.3
100-499workers,49.43,100.0,33.25,67.3,16.18,32.7,3.33,6.7,2.51,5.1,4.58,9.3,2.03,4.1,3.73,7.5
500workersormore,61.02,100.0,38.80,63.6,22.22,36.4,4.77,7.8,4.25,7.0,6.25,10.2,2.73,4.5,4.23,6.9
Manufacturingindustry,47.64,100.0,31.88,66.9,15.76,33.1,3.58,7.5,2.64,5.6,4.49,9.4,1.57,3.3,3.48,7.3
1-99workers,39.92,100.0,28.30,70.9,11.62,29.1,2.64,6.6,1.82,4.6,3.10,7.8,0.92,2.3,3.14,7.9
1-49workers,37.61,100.0,27.33,72.7,10.27,27.3,2.42,6.4,1.49,4.0,2.50,6.6,0.79,2.1,3.07,8.2
50-99workers,43.75,100.0,29.90,68.3,13.85,31.7,3.01,6.9,2.36,5.4,4.10,9.4,1.13,2.6,3.24,7.4
100workersormore,52.17,100.0,33.98,65.1,18.19,34.9,4.14,7.9,3.13,6.0,5.30,10.2,1.95,3.7,3.67,7.0
100-499workers,44.71,100.0,30.12,67.4,14.59,32.6,3.35,7.5,2.14,4.8,4.44,9.9,1.39,3.1,3.28,7.3
500workersormore,61.32,100.0,38.71,63.1,22.61,36.9,5.10,8.3,4.34,7.1,6.37,10.4,2.65,4.3,4.16,6.8
Service-providingindustries3,45.59,100.0,32.17,70.6,13.42,29.4,3.58,7.8,1.72,3.8,3.37,7.4,1.50,3.3,3.25,7.1
1-99workers,36.69,100.0,27.32,74.5,9.37,25.5,2.39,6.5,1.09,3.0,2.23,6.1,0.84,2.3,2.82,7.7
1-49workers,36.34,100.0,27.17,74.8,9.17,25.2,2.33,6.4,1.05,2.9,2.16,5.9,0.80,2.2,2.82,7.8
