series,total_comp_cost,total_comp_pct,wages_cost,wages_pct,total_benefits_cost,total_benefits_pct,paid_leave_cost,paid_leave_pct,supplemental_pay_cost,supplemental_pay_pct,insurance_cost,insurance_pct,retirement_savings_cost,retirement_savings_pct,legally_required_cost,legally_required_pct
Northeast,53.99,100.0,37.09,68.7,16.90,31.3,4.59,8.5,1.82,3.4,4.55,8.4,2.07,3.8,3.87,7.2
NewEngland,53.71,100.0,37.21,69.3,16.51,30.7,4.73,8.8,1.59,3.0,4.49,8.4,1.99,3.7,3.70,6.9
MiddleAtlantic,54.09,100.0,37.04,68.5,17.05,31.5,4.54,8.4,1.91,3.5,4.58,8.5,2.10,3.9,3.93,7.3
South,41.21,100.0,29.54,71.7,11.67,28.3,3.00,7.3,1.62,3.9,2.97,7.2,1.19,2.9,2.89,7.0
SouthAtlantic,43.01,100.0,30.76,71.5,12.26,28.5,3.23,7.5,1.67,3.9,3.04,7.1,1.30,3.0,3.01,7.0
EastSouthCentral,36.70,100.0,26.83,73.1,9.87,26.9,2.37,6.5,1.40,3.8,2.64,7.2,0.82,2.2,2.62,7.2
WestSouthCentral,40.17,100.0,28.69,71.4,11.48,28.6,2.89,7.2,1.63,4.1,2.99,7.4,1.15,2.9,2.82,7.0
Midwest,43.26,100.0,29.99,69.3,13.26,30.7,3.10,7.2,1.95,4.5,3.56,8.2,1.52,3.5,3.13,7.2
EastNorthCentral,43.00,100.0,29.71,69.1,13.30,30.9,3.08,7.2,2.04,4.8,3.50,8.1,1.58,3.7,3.11,7.2
WestNorthCentral,43.80,100.0,30.60,69.9,13.20,30.1,3.15,7.2,1.75,4.0,3.70,8.5,1.42,3.2,3.18,7.3
West,50.85,100.0,35.56,69.9,15.29,30.1,3.93,7.7,2.24,4.4,3.51,6.9,1.77,3.5,3.85,7.6
Mountain,44.25,100.0,32.08,72.5,12.17,27.5,3.06,6.9,1.66,3.8,2.89,6.5,1.25,2.8,3.31,7.5
Pacific,54.56,100.0,37.52,68.8,17.04,31.2,4.42,8.1,2.56,4.7,3.85,7.1,2.06,3.8,4.15,7.6
