area,total_rank,total_le_at_65,total_se,male_rank,male_le_at_65,male_se,female_rank,female_le_at_65,female_se
Hawaii,1,20.5,0.063,1,18.8,0.088,1,22.1,0.087
Connecticut,2,19.8,0.037,2,18.4,0.052,3,21.0,0.052
New York,3,19.8,0.017,6,18.3,0.024,2,21.1,0.023
Massachusetts,4,19.7,0.027,3,18.4,0.038,7,20.8,0.038
California,5,19.7,0.013,7,18.3,0.018,4,21.0,0.017
Minnesota,6,19.6,0.030,4,18.3,0.042,9,20.7,0.043
New Jersey,7,19.6,0.024,9,18.1,0.034,8,20.8,0.033
North Dakota,8,19.5,0.087,10,18.1,0.119,5,20.9,0.123
Vermont,9,19.5,0.081,12,18.1,0.114,6,20.9,0.113
South Dakota,10,19.4,0.075,11,18.1,0.103,10,20.7,0.106
Colorado,11,19.4,0.031,5,18.3,0.044,13,20.4,0.043
Rhode Island,12,19.4,0.068,14,18.0,0.094,12,20.6,0.094
Florida,13,19.4,0.015,15,17.9,0.022,11,20.7,0.021
New Hampshire,14,19.1,0.055,13,18.0,0.078,20,20.1,0.077
Washington,15,19.1,0.027,17,17.9,0.038,16,20.3,0.037
Montana,16,19.1,0.064,18,17.9,0.091,14,20.3,0.087
Wisconsin,17,19.1,0.029,19,17.8,0.040,15,20.3,0.040
Utah,18,19.0,0.045,8,18.2,0.064,30,19.8,0.062
Maryland,19,19.0,0.030,22,17.5,0.043,18,20.2,0.042
Idaho,20,19.0,0.052,16,17.9,0.073,22,20.0,0.072
Nebraska,21,18.9,0.053,21,17.6,0.074,19,20.2,0.074
United States,,18.9,,,17.5,,,20.2,
Arizona,22,18.8,0.028,25,17.5,0.040,21,20.1,0.038
Oregon,23,18.8,0.035,24,17.5,0.050,23,20.0,0.048
Delaware,24,18.8,0.067,26,17.5,0.096,27,19.9,0.091
District of Columbia,25,18.7,0.117,35,16.9,0.167,17,20.2,0.160
Maine,26,18.7,0.054,23,17.5,0.077,29,19.9,0.075
Illinois,27,18.7,0.021,30,17.3,0.029,25,19.9,0.029
Iowa,28,18.7,0.041,29,17.4,0.056,24,19.9,0.058
New Mexico,29,18.7,0.050,28,17.4,0.072,28,19.9,0.069
Pennsylvania,30,18.7,0.020,31,17.2,0.027,26,19.9,0.027
Alaska,31,18.6,0.089,20,17.6,0.123,33,19.6,0.126
Virginia,32,18.5,0.025,32,17.2,0.036,31,19.7,0.035
Wyoming,33,18.5,0.090,27,17.5,0.125,32,19.6,0.126
Michigan,34,18.4,0.022,33,17.1,0.031,34,19.5,0.031
Texas,35,18.3,0.015,36,16.9,0.021,35,19.5,0.021
North Carolina,36,18.1,0.022,37,16.8,0.032,36,19.3,0.031
Kansas,37,18.1,0.043,34,16.9,0.061,39,19.2,0.061
South Carolina,38,18.0,0.031,38,16.6,0.044,37,19.3,0.042
Nevada,39,17.9,0.042,39,16.5,0.059,38,19.3,0.058
Georgia,40,17.9,0.023,42,16.4,0.033,40,19.1,0.032
Ohio,41,17.8,0.021,40,16.5,0.029,41,19.0,0.029
Missouri,42,17.8,0.029,41,16.5,0.041,42,19.0,0.041
Indiana,43,17.7,0.028,43,16.4,0.040,43,18.9,0.040
Louisiana,44,17.5,0.034,44,16.1,0.048,44,18.8,0.048
Tennessee,45,17.2,0.027,45,15.8,0.039,45,18.3,0.038
Alabama,46,17.1,0.032,46,15.7,0.045,46,18.3,0.044
Arkansas,47,17.0,0.042,47,15.6,0.059,47,18.2,0.059
Oklahoma,48,16.8,0.038,49,15.6,0.052,48,18.0,0.053
Kentucky,49,16.8,0.034,48,15.6,0.047,50,17.8,0.047
Mississippi,50,16.7,0.043,51,15.3,0.060,49,17.9,0.060
West Virginia,51,16.6,0.051,50,15.4,0.071,51,17.7,0.072
