area,le_at_birth_2022,le_at_birth_2021,change_2021_to_2022
Vermont,78.3,78.4,-0.1
Pennsylvania,77.3,76.4,0.9
Maine,76.6,76.7,-0.1
North Carolina,75.9,74.9,1.0
Hawaii,80.0,79.9,0.1
California,79.3,78.3,1.0
New Hampshire,78.7,78.5,0.2
United States,77.5,76.4,1.1
Washington,78.4,78.2,0.2
Ohio,75.6,74.5,1.1
Delaware,76.5,76.3,0.2
Oklahoma,73.8,72.7,1.1
Massachusetts,79.8,79.6,0.2
Michigan,76.8,75.7,1.1
Iowa,77.9,77.7,0.2
West Virginia,72.2,71.0,1.2
Connecticut,79.4,79.2,0.2
Idaho,78.4,77.2,1.2
Oregon,77.7,77.4,0.3
Kentucky,73.6,72.3,1.3
Wisconsin,78.1,77.8,0.3
District of Columbia,76.6,75.3,1.3
North Dakota,77.9,77.6,0.3
Alaska,75.8,74.5,1.3
Illinois,77.5,77.1,0.4
Nevada,76.4,75.1,1.3
Minnesota,79.3,78.8,0.5
Tennessee,73.8,72.4,1.4
Kansas,76.5,76.0,0.5
Arkansas,73.9,72.5,1.4
Nebraska,78.3,77.8,0.5
Montana,77.3,75.8,1.5
New York,79.5,79.0,0.5
New Mexico,74.5,73.0,1.5
New Jersey,79.6,79.0,0.6
Louisiana,73.8,72.2,1.6
Maryland,77.8,77.2,0.6
South Carolina,75.1,73.5,1.6
Missouri,75.2,74.6,0.6
Georgia,75.9,74.3,1.6
South Dakota,77.3,76.6,0.7
Mississippi,72.6,70.9,1.7
Virginia,77.5,76.8,0.7
Texas,77.1,75.4,1.7
Rhode Island,79.2,78.5,0.7
Arizona,76.7,75.0,1.7
Colorado,78.5,77.7,0.8
Alabama,73.8,72.0,1.8
Utah,79.0,78.2,0.8
Wyoming,76.8,75.0,1.8
Indiana,75.4,74.6,0.8
Florida,77.9,76.1,1.8
