age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,40.16,41.5,43.5,9.95,-0.92,4.59,27.5,35.5,46.5,51.5,40.12,0.11
19,39.48,40.5,42.5,9.86,-0.9,4.54,27.5,34.5,46.5,50.5,39.45,0.11
20,38.77,40.5,42.5,9.77,-0.88,4.48,26.5,33.5,45.5,49.5,38.74,0.11
21,38.03,39.5,41.5,9.66,-0.86,4.41,25.5,32.5,44.5,48.5,38.0,0.11
22,37.26,38.5,40.5,9.55,-0.83,4.32,25.5,32.5,43.5,47.5,37.24,0.11
23,36.49,37.5,39.5,9.44,-0.8,4.24,24.5,31.5,42.5,47.5,36.46,0.11
24,35.69,36.5,38.5,9.33,-0.77,4.14,23.5,30.5,41.5,46.5,35.66,0.11
25,34.87,36.5,37.5,9.22,-0.74,4.05,23.5,29.5,41.5,45.5,34.85,0.11
26,34.04,35.5,36.5,9.11,-0.71,3.96,22.5,29.5,40.5,44.5,34.02,0.11
27,33.2,34.5,35.5,9.0,-0.68,3.88,21.5,28.5,39.5,43.5,33.18,0.11
28,32.36,33.5,35.5,8.9,-0.64,3.79,20.5,27.5,38.5,42.5,32.34,0.11
29,31.51,32.5,34.5,8.79,-0.61,3.71,20.5,26.5,37.5,41.5,31.5,0.11
30,30.66,31.5,33.5,8.69,-0.58,3.63,19.5,25.5,36.5,40.5,30.65,0.11
31,29.81,30.5,32.5,8.58,-0.55,3.55,18.5,24.5,35.5,39.5,29.79,0.1
32,28.94,29.5,31.5,8.48,-0.51,3.48,17.5,24.5,34.5,38.5,28.93,0.1
33,28.08,28.5,30.5,8.38,-0.48,3.41,16.5,23.5,33.5,37.5,28.07,0.1
34,27.23,28.5,29.5,8.28,-0.45,3.35,16.5,22.5,32.5,36.5,27.21,0.1
35,26.37,27.5,28.5,8.17,-0.42,3.29,15.5,21.5,31.5,36.5,26.35,0.09
36,25.52,26.5,27.5,8.07,-0.39,3.23,14.5,20.5,30.5,35.5,25.5,0.09
37,24.67,25.5,26.5,7.96,-0.36,3.18,13.5,19.5,30.5,34.5,24.65,0.09
38,23.83,24.5,25.5,7.85,-0.32,3.13,13.5,19.5,29.5,33.5,23.81,0.09
39,22.98,23.5,24.5,7.75,-0.29,3.09,12.5,18.5,28.5,32.5,22.96,0.09
