age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,29.0,29.5,31.5,11.21,-0.14,2.6,13.5,21.5,37.5,43.5,29.05,1.38
19,28.49,28.5,30.5,11.12,-0.14,2.59,13.5,20.5,36.5,42.5,28.54,1.34
20,27.98,28.5,30.5,11.02,-0.14,2.58,12.5,20.5,35.5,41.5,28.01,1.28
21,27.48,27.5,29.5,10.92,-0.13,2.57,12.5,19.5,35.5,41.5,27.5,1.23
22,26.98,27.5,29.5,10.81,-0.13,2.57,12.5,19.5,34.5,40.5,27.03,1.22
23,26.48,26.5,28.5,10.69,-0.13,2.56,11.5,19.5,34.5,40.5,26.59,1.16
24,25.98,26.5,28.5,10.57,-0.12,2.55,11.5,18.5,33.5,39.5,26.02,1.13
25,25.47,25.5,27.5,10.44,-0.12,2.54,11.5,18.5,33.5,38.5,25.51,1.07
26,24.96,25.5,27.5,10.31,-0.11,2.54,10.5,17.5,32.5,38.5,24.99,1.0
27,24.45,24.5,26.5,10.17,-0.11,2.54,10.5,17.5,31.5,37.5,24.53,1.01
28,23.93,24.5,26.5,10.02,-0.1,2.53,10.5,16.5,31.5,36.5,23.99,1.0
29,23.4,23.5,25.5,9.87,-0.09,2.53,9.5,16.5,30.5,35.5,23.46,0.92
30,22.88,23.5,25.5,9.71,-0.08,2.53,9.5,16.5,29.5,35.5,22.93,0.89
31,22.34,22.5,24.5,9.54,-0.07,2.53,9.5,15.5,29.5,34.5,22.4,0.85
32,21.8,22.5,23.5,9.37,-0.06,2.53,8.5,15.5,28.5,33.5,21.85,0.86
33,21.25,21.5,23.5,9.19,-0.05,2.53,8.5,14.5,27.5,33.5,21.31,0.84
34,20.68,20.5,22.5,9.01,-0.03,2.53,8.5,14.5,27.5,32.5,20.78,0.84
35,20.1,20.5,21.5,8.83,-0.01,2.53,8.5,13.5,26.5,31.5,20.16,0.83
36,19.5,19.5,20.5,8.66,0.01,2.53,7.5,13.5,25.5,30.5,19.58,0.8
37,18.88,19.5,20.5,8.48,0.03,2.53,7.5,12.5,24.5,29.5,18.92,0.8
38,18.24,18.5,19.5,8.31,0.06,2.53,6.5,12.5,24.5,29.5,18.29,0.78
39,17.61,17.5,18.5,8.14,0.08,2.54,6.5,11.5,23.5,28.5,17.66,0.73
40,16.97,16.5,17.5,7.97,0.11,2.54,6.5,11.5,22.5,27.5,17.03,0.72
41,16.32,16.5,16.5,7.8,0.13,2.55,5.5,10.5,21.5,26.5,16.37,0.71
42,15.69,15.5,16.5,7.63,0.16,2.56,5.5,10.5,21.5,25.5,15.76,0.67
43,15.06,14.5,15.5,7.45,0.19,2.57,5.5,9.5,20.5,24.5,15.12,0.62
