age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,33.33,34.5,35.5,9.24,-0.47,3.52,21.5,27.5,39.5,44.5,33.32,0.66
19,32.59,33.5,34.5,9.18,-0.45,3.47,20.5,27.5,38.5,43.5,32.56,0.65
20,31.85,32.5,33.5,9.11,-0.43,3.42,20.5,26.5,38.5,42.5,31.83,0.64
21,31.11,31.5,32.5,9.04,-0.41,3.37,19.5,25.5,37.5,42.5,31.09,0.63
22,30.37,30.5,32.5,8.96,-0.39,3.31,18.5,24.5,36.5,41.5,30.36,0.63
23,29.64,30.5,31.5,8.87,-0.36,3.26,18.5,24.5,35.5,40.5,29.62,0.63
24,28.9,29.5,30.5,8.79,-0.34,3.2,17.5,23.5,34.5,39.5,28.86,0.62
25,28.17,28.5,29.5,8.7,-0.32,3.15,16.5,22.5,34.5,38.5,28.12,0.62
26,27.43,27.5,29.5,8.61,-0.29,3.1,16.5,21.5,33.5,37.5,27.39,0.62
27,26.68,27.5,28.5,8.52,-0.27,3.06,15.5,21.5,32.5,37.5,26.65,0.6
28,25.94,26.5,27.5,8.43,-0.25,3.02,14.5,20.5,31.5,36.5,25.91,0.58
29,25.2,25.5,26.5,8.34,-0.23,2.98,14.5,19.5,30.5,35.5,25.17,0.58
30,24.46,24.5,25.5,8.25,-0.2,2.95,13.5,19.5,30.5,34.5,24.43,0.58
31,23.72,24.5,25.5,8.15,-0.18,2.91,12.5,18.5,29.5,33.5,23.68,0.56
32,22.99,23.5,24.5,8.05,-0.16,2.89,12.5,17.5,28.5,32.5,22.95,0.57
33,22.25,22.5,23.5,7.95,-0.14,2.86,11.5,16.5,27.5,32.5,22.2,0.56
34,21.51,21.5,22.5,7.84,-0.11,2.84,11.5,16.5,26.5,31.5,21.46,0.56
35,20.77,21.5,22.5,7.73,-0.09,2.81,10.5,15.5,26.5,30.5,20.73,0.54
36,20.04,20.5,21.5,7.62,-0.07,2.8,9.5,14.5,25.5,29.5,19.98,0.54
37,19.31,19.5,20.5,7.5,-0.04,2.78,9.5,14.5,24.5,28.5,19.24,0.52
38,18.58,18.5,19.5,7.39,-0.01,2.77,8.5,13.5,23.5,27.5,18.51,0.52
39,17.85,18.5,19.5,7.27,0.01,2.76,8.5,12.5,22.5,27.5,17.78,0.51
40,17.13,17.5,18.5,7.14,0.04,2.75,7.5,12.5,22.5,26.5,17.06,0.51
41,16.41,16.5,17.5,7.01,0.07,2.75,7.5,11.5,21.5,25.5,16.36,0.49
42,15.71,15.5,16.5,6.88,0.1,2.75,6.5,10.5,20.5,24.5,15.66,0.48
43,15.01,15.5,15.5,6.74,0.13,2.75,6.5,10.5,19.5,23.5,14.95,0.49
44,14.33,14.5,14.5,6.59,0.17,2.76,5.5,9.5,18.5,22.5,14.26,0.47
45,13.65,13.5,14.5,6.44,0.21,2.78,5.5,9.5,17.5,22.5,13.59,0.46
46,12.98,12.5,13.5,6.29,0.25,2.8,4.5,8.5,17.5,21.5,12.91,0.45
47,12.33,12.5,12.5,6.13,0.3,2.83,4.5,7.5,16.5,20.5,12.26,0.43
48,11.69,11.5,11.5,5.96,0.34,2.87,3.5,7.5,15.5,19.5,11.64,0.4
49,11.05,10.5,10.5,5.79,0.39,2.92,3.5,6.5,14.5,18.5,11.01,0.4
50,10.41,10.5,9.5,5.63,0.45,2.98,3.5,6.5,14.5,17.5,10.36,0.4
51,9.79,9.5,9.5,5.46,0.5,3.04,2.5,5.5,13.5,17.5,9.75,0.37
52,9.18,8.5,8.5,5.29,0.56,3.12,2.5,5.5,12.5,16.5,9.17,0.39
53,8.6,8.5,7.5,5.12,0.62,3.21,2.5,4.5,11.5,15.5,8.59,0.39
54,8.05,7.5,6.5,4.95,0.68,3.31,1.5,4.5,11.5,14.5,8.04,0.38
55,7.52,6.5,5.5,4.77,0.75,3.43,1.5,3.5,10.5,14.5,7.5,0.39
56,7.01,6.5,4.5,4.6,0.81,3.56,1.5,3.5,9.5,13.5,6.99,0.39
57,6.53,5.5,4.5,4.43,0.88,3.7,1.5,3.5,9.5,12.5,6.52,0.38
58,6.08,5.5,3.5,4.27,0.94,3.85,1.5,2.5,8.5,11.5,6.05,0.4
59,5.67,4.5,2.5,4.12,1.0,4.0,1.5,2.5,8.5,11.5,5.64,0.4
60,5.31,4.5,1.5,3.97,1.06,4.15,0.5,2.5,7.5,10.5,5.27,0.41
61,4.98,4.5,1.5,3.82,1.11,4.31,0.5,1.5,7.5,10.5,4.92,0.42
