age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,37.87,39.5,41.5,9.93,-0.73,3.99,25.5,32.5,44.5,49.5,37.86,0.22
19,37.14,38.5,40.5,9.86,-0.71,3.94,24.5,31.5,43.5,48.5,37.12,0.22
20,36.39,37.5,40.5,9.78,-0.69,3.88,23.5,30.5,43.5,47.5,36.38,0.22
21,35.64,36.5,39.5,9.68,-0.67,3.82,23.5,30.5,42.5,46.5,35.63,0.22
22,34.89,35.5,38.5,9.58,-0.65,3.76,22.5,29.5,41.5,45.5,34.88,0.22
23,34.14,35.5,37.5,9.47,-0.62,3.69,21.5,28.5,40.5,45.5,34.13,0.23
24,33.37,34.5,37.5,9.36,-0.6,3.62,21.5,27.5,39.5,44.5,33.37,0.23
25,32.6,33.5,36.5,9.25,-0.57,3.56,20.5,27.5,38.5,43.5,32.58,0.22
26,31.81,32.5,35.5,9.14,-0.55,3.49,19.5,26.5,38.5,42.5,31.79,0.22
27,31.02,31.5,34.5,9.03,-0.52,3.43,19.5,25.5,37.5,41.5,31.0,0.22
28,30.23,31.5,33.5,8.92,-0.49,3.37,18.5,24.5,36.5,40.5,30.22,0.21
29,29.44,30.5,32.5,8.81,-0.47,3.31,17.5,24.5,35.5,39.5,29.43,0.21
30,28.64,29.5,31.5,8.7,-0.44,3.26,17.5,23.5,34.5,38.5,28.62,0.21
31,27.83,28.5,30.5,8.6,-0.41,3.2,16.5,22.5,33.5,38.5,27.81,0.2
32,27.0,27.5,29.5,8.49,-0.38,3.15,15.5,21.5,32.5,37.5,26.99,0.19
33,26.17,26.5,28.5,8.39,-0.36,3.1,14.5,20.5,31.5,36.5,26.15,0.19
34,25.34,26.5,28.5,8.29,-0.33,3.05,14.5,20.5,31.5,35.5,25.32,0.19
35,24.52,25.5,27.5,8.19,-0.3,3.01,13.5,19.5,30.5,34.5,24.49,0.19
36,23.7,24.5,26.5,8.08,-0.28,2.97,12.5,18.5,29.5,33.5,23.68,0.18
37,22.89,23.5,25.5,7.97,-0.25,2.94,12.5,17.5,28.5,32.5,22.87,0.18
38,22.08,22.5,24.5,7.86,-0.22,2.91,11.5,16.5,27.5,31.5,22.06,0.17
39,21.27,21.5,23.5,7.75,-0.2,2.88,10.5,16.5,26.5,30.5,21.25,0.17
40,20.48,21.5,22.5,7.63,-0.17,2.86,10.5,15.5,25.5,29.5,20.45,0.17
41,19.7,20.5,21.5,7.51,-0.14,2.84,9.5,14.5,24.5,28.5,19.68,0.17
42,18.93,19.5,20.5,7.38,-0.11,2.82,8.5,14.5,23.5,28.5,18.91,0.17
43,18.17,18.5,19.5,7.24,-0.08,2.81,8.5,13.5,23.5,27.5,18.15,0.17
44,17.41,17.5,18.5,7.1,-0.04,2.8,7.5,12.5,22.5,26.5,17.4,0.16
45,16.67,16.5,17.5,6.96,-0.01,2.8,7.5,11.5,21.5,25.5,16.66,0.16
46,15.93,16.5,16.5,6.81,0.03,2.8,6.5,11.5,20.5,24.5,15.92,0.16
47,15.19,15.5,15.5,6.66,0.07,2.8,6.5,10.5,19.5,23.5,15.18,0.15
48,14.46,14.5,14.5,6.51,0.11,2.82,5.5,9.5,18.5,22.5,14.45,0.15
49,13.74,13.5,13.5,6.35,0.16,2.84,5.5,9.5,17.5,21.5,13.74,0.14
50,13.06,13.5,12.5,6.18,0.21,2.87,4.5,8.5,17.5,21.5,13.05,0.14
51,12.39,12.5,12.5,6.0,0.26,2.91,4.5,8.5,16.5,20.5,12.38,0.14
52,11.72,11.5,11.5,5.82,0.32,2.96,4.5,7.5,15.5,19.5,11.71,0.14
53,11.05,10.5,10.5,5.65,0.39,3.02,3.5,7.5,14.5,18.5,11.04,0.14
54,10.39,10.5,9.5,5.47,0.45,3.09,3.5,6.5,13.5,17.5,10.38,0.14
55,9.74,9.5,8.5,5.3,0.52,3.17,3.5,5.5,13.5,16.5,9.73,0.14
56,9.11,8.5,7.5,5.12,0.59,3.26,2.5,5.5,12.5,16.5,9.11,0.14
57,8.5,7.5,6.5,4.95,0.67,3.36,2.5,4.5,11.5,15.5,8.49,0.14
58,7.89,7.5,5.5,4.79,0.74,3.48,2.5,4.5,10.5,14.5,7.9,0.14
59,7.3,6.5,5.5,4.63,0.82,3.6,1.5,3.5,10.5,13.5,7.31,0.15
60,6.73,5.5,4.5,4.49,0.88,3.72,1.5,3.5,9.5,12.5,6.73,0.15
61,6.23,5.5,3.5,4.34,0.95,3.85,1.5,2.5,8.5,12.5,6.22,0.15
62,5.8,4.5,2.5,4.19,1.0,3.99,1.5,2.5,8.5,11.5,5.8,0.15
63,5.43,4.5,2.5,4.05,1.06,4.12,0.5,2.5,7.5,11.5,5.44,0.16
64,5.11,4.5,1.5,3.91,1.11,4.26,0.5,2.5,7.5,10.5,5.12,0.16
65,4.82,3.5,0.5,3.78,1.15,4.38,0.5,1.5,6.5,10.5,4.83,0.16
66,4.57,3.5,0.5,3.65,1.18,4.49,0.5,1.5,6.5,9.5,4.58,0.17
67,4.36,3.5,0.5,3.52,1.22,4.61,0.5,1.5,6.5,9.5,4.37,0.17
68,4.17,3.5,0.5,3.4,1.25,4.73,0.5,1.5,5.5,8.5,4.17,0.17
69,3.98,3.5,0.5,3.28,1.28,4.85,0.5,1.5,5.5,8.5,3.98,0.16
70,3.8,2.5,0.5,3.17,1.32,4.97,0.5,1.5,5.5,8.5,3.79,0.16
71,3.63,2.5,0.5,3.06,1.35,5.09,0.5,1.5,5.5,7.5,3.62,0.18
72,3.47,2.5,0.5,2.95,1.38,5.2,0.5,1.5,4.5,7.5,3.47,0.19
73,3.32,2.5,0.5,2.85,1.4,5.31,0.5,1.5,4.5,7.5,3.32,0.2
74,3.18,2.5,0.5,2.75,1.43,5.41,0.5,1.5,4.5,6.5,3.19,0.21
75,3.05,2.5,0.5,2.66,1.45,5.5,0.5,0.5,4.5,6.5,3.06,0.19
76,2.93,2.5,0.5,2.56,1.47,5.59,0.5,0.5,4.5,6.5,2.93,0.2
77,2.82,2.5,0.5,2.47,1.49,5.67,0.5,0.5,3.5,6.5,2.8,0.17
78,2.7,2.5,0.5,2.38,1.51,5.76,0.5,0.5,3.5,5.5,2.69,0.15
79,2.6,1.5,0.5,2.3,1.53,5.84,0.5,0.5,3.5,5.5,2.58,0.12
80,2.5,1.5,0.5,2.21,1.55,5.92,0.5,0.5,3.5,5.5,2.49,0.12
81,2.4,1.5,0.5,2.13,1.56,5.99,0.5,0.5,3.5,5.5,2.41,0.1
82,2.3,1.5,0.5,2.05,1.58,6.07,0.5,0.5,3.5,5.5,2.32,0.09
