age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
21,39.85,41.5,42.5,8.81,-1.29,6.03,29.5,35.5,45.5,49.5,39.86,0.27
22,38.94,40.5,41.5,8.7,-1.25,5.87,28.5,35.5,44.5,48.5,38.96,0.26
23,38.04,39.5,40.5,8.6,-1.2,5.69,27.5,34.5,43.5,47.5,38.06,0.26
24,37.14,38.5,39.5,8.49,-1.16,5.52,26.5,33.5,42.5,46.5,37.15,0.26
25,36.23,37.5,38.5,8.38,-1.11,5.35,26.5,32.5,41.5,45.5,36.25,0.27
26,35.33,36.5,37.5,8.27,-1.06,5.18,25.5,31.5,40.5,44.5,35.34,0.26
27,34.42,35.5,36.5,8.17,-1.01,5.01,24.5,30.5,39.5,43.5,34.43,0.26
28,33.51,34.5,35.5,8.07,-0.97,4.85,23.5,29.5,38.5,42.5,33.52,0.26
29,32.61,33.5,34.5,7.97,-0.92,4.7,22.5,28.5,37.5,41.5,32.62,0.26
30,31.7,32.5,33.5,7.87,-0.88,4.55,21.5,27.5,36.5,40.5,31.71,0.26
31,30.8,31.5,32.5,7.77,-0.83,4.41,20.5,26.5,35.5,39.5,30.8,0.26
32,29.89,30.5,31.5,7.67,-0.78,4.27,20.5,25.5,34.5,38.5,29.89,0.26
33,28.99,29.5,30.5,7.57,-0.74,4.14,19.5,25.5,33.5,37.5,28.99,0.26
34,28.09,28.5,29.5,7.48,-0.7,4.01,18.5,24.5,32.5,36.5,28.09,0.26
35,27.19,27.5,28.5,7.38,-0.65,3.9,17.5,23.5,32.5,35.5,27.19,0.26
36,26.29,27.5,27.5,7.29,-0.61,3.79,16.5,22.5,31.5,34.5,26.29,0.26
37,25.39,26.5,26.5,7.2,-0.57,3.69,15.5,21.5,30.5,33.5,25.39,0.26
38,24.5,25.5,25.5,7.1,-0.53,3.59,15.5,20.5,29.5,32.5,24.49,0.26
39,23.6,24.5,24.5,7.01,-0.49,3.5,14.5,19.5,28.5,31.5,23.6,0.26
40,22.72,23.5,24.5,6.91,-0.45,3.42,13.5,18.5,27.5,30.5,22.71,0.26
41,21.83,22.5,23.5,6.82,-0.41,3.35,12.5,17.5,26.5,29.5,21.83,0.25
42,20.96,21.5,22.5,6.72,-0.37,3.28,12.5,17.5,25.5,29.5,20.95,0.25
43,20.09,20.5,21.5,6.61,-0.33,3.22,11.5,16.5,24.5,28.5,20.09,0.25
44,19.23,19.5,20.5,6.5,-0.29,3.16,10.5,15.5,23.5,27.5,19.23,0.25
45,18.38,18.5,19.5,6.39,-0.24,3.11,9.5,14.5,22.5,26.5,18.39,0.25
46,17.54,17.5,18.5,6.27,-0.2,3.07,9.5,13.5,21.5,25.5,17.55,0.24
47,16.71,16.5,17.5,6.15,-0.15,3.03,8.5,12.5,20.5,24.5,16.72,0.24
48,15.89,16.5,16.5,6.01,-0.09,3.0,7.5,12.5,19.5,23.5,15.89,0.24
49,15.08,15.5,15.5,5.88,-0.04,2.97,7.5,11.5,18.5,22.5,15.08,0.24
50,14.27,14.5,14.5,5.74,0.02,2.95,6.5,10.5,18.5,21.5,14.27,0.23
51,13.46,13.5,13.5,5.6,0.08,2.93,5.5,9.5,17.5,20.5,13.45,0.23
52,12.64,12.5,12.5,5.47,0.14,2.93,5.5,8.5,16.5,19.5,12.65,0.24
53,11.85,11.5,11.5,5.33,0.2,2.93,4.5,8.5,15.5,18.5,11.85,0.23
54,11.09,10.5,10.5,5.18,0.27,2.96,4.5,7.5,14.5,17.5,11.09,0.23
55,10.36,10.5,9.5,5.03,0.34,2.99,3.5,6.5,13.5,16.5,10.35,0.22
56,9.64,9.5,8.5,4.86,0.42,3.04,3.5,6.5,12.5,16.5,9.64,0.22
57,8.93,8.5,7.5,4.71,0.5,3.1,3.5,5.5,11.5,15.5,8.93,0.21
58,8.23,7.5,6.5,4.55,0.58,3.18,2.5,4.5,11.5,14.5,8.23,0.21
59,7.56,7.5,5.5,4.41,0.65,3.27,2.5,4.5,10.5,13.5,7.56,0.21
60,6.92,6.5,5.5,4.25,0.72,3.37,1.5,3.5,9.5,12.5,6.93,0.22
61,6.34,5.5,4.5,4.1,0.8,3.49,1.5,3.5,8.5,12.5,6.36,0.22
62,5.83,5.5,3.5,3.95,0.87,3.62,1.5,2.5,8.5,11.5,5.85,0.21
63,5.38,4.5,2.5,3.79,0.93,3.76,1.5,2.5,7.5,10.5,5.39,0.21
64,4.99,4.5,1.5,3.64,0.99,3.9,0.5,2.5,7.5,10.5,4.98,0.21
65,4.65,3.5,1.5,3.49,1.04,4.05,0.5,1.5,6.5,9.5,4.65,0.23
66,4.36,3.5,0.5,3.35,1.09,4.2,0.5,1.5,6.5,9.5,4.36,0.25
67,4.1,3.5,0.5,3.21,1.14,4.35,0.5,1.5,5.5,8.5,4.09,0.25
68,3.87,3.5,0.5,3.07,1.18,4.51,0.5,1.5,5.5,8.5,3.85,0.26
69,3.64,2.5,0.5,2.94,1.23,4.68,0.5,1.5,5.5,7.5,3.64,0.29
70,3.44,2.5,0.5,2.81,1.28,4.85,0.5,1.5,4.5,7.5,3.42,0.29
71,3.24,2.5,0.5,2.69,1.33,5.03,0.5,1.5,4.5,6.5,3.24,0.31
72,3.06,2.5,0.5,2.58,1.37,5.21,0.5,1.5,4.5,6.5,3.03,0.32
73,2.9,2.5,0.5,2.47,1.41,5.39,0.5,0.5,4.5,6.5,2.88,0.35
74,2.74,2.5,0.5,2.36,1.46,5.56,0.5,0.5,3.5,6.5,2.71,0.37
75,2.6,1.5,0.5,2.27,1.49,5.72,0.5,0.5,3.5,5.5,2.59,0.36
76,2.48,1.5,0.5,2.17,1.53,5.87,0.5,0.5,3.5,5.5,2.43,0.39
77,2.36,1.5,0.5,2.08,1.56,6.01,0.5,0.5,3.5,5.5,2.29,0.39
