age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
22,40.68,41.5,42.5,9.07,-1.29,6.13,30.5,36.5,46.5,50.5,40.67,0.19
23,39.81,41.5,41.5,8.96,-1.25,5.97,29.5,36.5,45.5,49.5,39.79,0.19
24,38.92,40.5,40.5,8.84,-1.2,5.81,28.5,35.5,44.5,48.5,38.91,0.19
25,38.03,39.5,39.5,8.73,-1.15,5.64,27.5,34.5,43.5,47.5,38.01,0.19
26,37.12,38.5,38.5,8.62,-1.11,5.48,26.5,33.5,42.5,46.5,37.11,0.19
27,36.22,37.5,37.5,8.51,-1.06,5.32,25.5,32.5,41.5,45.5,36.2,0.19
28,35.31,36.5,36.5,8.4,-1.01,5.16,25.5,31.5,40.5,44.5,35.29,0.18
29,34.4,35.5,36.5,8.3,-0.96,5.01,24.5,30.5,39.5,43.5,34.38,0.18
30,33.49,34.5,35.5,8.19,-0.92,4.86,23.5,29.5,38.5,42.5,33.48,0.18
31,32.58,33.5,34.5,8.09,-0.87,4.71,22.5,28.5,37.5,41.5,32.56,0.18
32,31.66,32.5,33.5,7.99,-0.82,4.57,21.5,27.5,36.5,40.5,31.65,0.18
33,30.74,31.5,32.5,7.89,-0.77,4.43,20.5,26.5,35.5,39.5,30.72,0.18
34,29.82,30.5,31.5,7.79,-0.73,4.3,20.5,25.5,34.5,38.5,29.8,0.18
35,28.9,29.5,30.5,7.69,-0.68,4.18,19.5,25.5,33.5,37.5,28.89,0.18
36,27.99,28.5,29.5,7.6,-0.64,4.06,18.5,24.5,32.5,36.5,27.97,0.18
37,27.08,27.5,28.5,7.5,-0.59,3.95,17.5,23.5,31.5,35.5,27.06,0.18
38,26.17,26.5,27.5,7.4,-0.54,3.85,16.5,22.5,30.5,34.5,26.15,0.18
39,25.26,25.5,26.5,7.3,-0.5,3.76,15.5,21.5,29.5,33.5,25.24,0.18
40,24.36,24.5,25.5,7.21,-0.45,3.67,15.5,20.5,28.5,32.5,24.34,0.18
41,23.46,23.5,24.5,7.11,-0.41,3.58,14.5,19.5,28.5,31.5,23.44,0.18
42,22.56,22.5,23.5,7.01,-0.36,3.51,13.5,18.5,27.5,30.5,22.54,0.18
43,21.67,22.5,22.5,6.9,-0.31,3.43,12.5,17.5,26.5,30.5,21.65,0.17
44,20.78,21.5,21.5,6.8,-0.27,3.37,11.5,16.5,25.5,29.5,20.76,0.17
45,19.9,20.5,20.5,6.69,-0.22,3.31,11.5,15.5,24.5,28.5,19.89,0.17
46,19.04,19.5,19.5,6.57,-0.16,3.25,10.5,15.5,23.5,27.5,19.02,0.17
47,18.17,18.5,18.5,6.45,-0.11,3.21,9.5,14.5,22.5,26.5,18.16,0.16
48,17.31,17.5,17.5,6.34,-0.05,3.16,9.5,13.5,21.5,25.5,17.29,0.16
49,16.45,16.5,16.5,6.22,0.0,3.12,8.5,12.5,20.5,24.5,16.43,0.16
50,15.59,15.5,15.5,6.1,0.06,3.1,7.5,11.5,19.5,23.5,15.57,0.16
51,14.75,14.5,14.5,5.97,0.12,3.07,7.5,10.5,18.5,22.5,14.73,0.16
52,13.92,13.5,13.5,5.85,0.19,3.06,6.5,10.5,17.5,21.5,13.9,0.16
53,13.1,12.5,12.5,5.72,0.25,3.06,5.5,9.5,16.5,20.5,13.08,0.15
54,12.3,12.5,11.5,5.58,0.32,3.07,5.5,8.5,15.5,19.5,12.28,0.15
55,11.5,11.5,10.5,5.45,0.39,3.1,4.5,7.5,14.5,18.5,11.49,0.15
56,10.72,10.5,9.5,5.32,0.46,3.13,4.5,6.5,14.5,17.5,10.71,0.15
57,9.96,9.5,8.5,5.18,0.52,3.18,3.5,6.5,13.5,16.5,9.94,0.14
58,9.22,8.5,7.5,5.05,0.59,3.24,3.5,5.5,12.5,16.5,9.21,0.14
59,8.52,7.5,6.5,4.91,0.66,3.32,2.5,4.5,11.5,15.5,8.51,0.14
60,7.87,7.5,5.5,4.76,0.73,3.41,2.5,4.5,10.5,14.5,7.86,0.15
61,7.26,6.5,4.5,4.61,0.8,3.51,1.5,3.5,10.5,13.5,7.24,0.14
62,6.7,5.5,3.5,4.46,0.87,3.63,1.5,3.5,9.5,12.5,6.68,0.14
63,6.19,5.5,3.5,4.32,0.93,3.74,1.5,2.5,8.5,12.5,6.17,0.14
64,5.75,4.5,2.5,4.18,0.98,3.86,1.5,2.5,8.5,11.5,5.74,0.14
65,5.39,4.5,1.5,4.03,1.02,3.97,0.5,2.5,7.5,11.5,5.38,0.14
66,5.1,4.5,0.5,3.89,1.06,4.08,0.5,2.5,7.5,10.5,5.09,0.16
67,4.84,4.5,0.5,3.75,1.1,4.2,0.5,1.5,6.5,10.5,4.82,0.16
68,4.6,3.5,0.5,3.61,1.14,4.32,0.5,1.5,6.5,9.5,4.59,0.15
69,4.37,3.5,0.5,3.48,1.18,4.45,0.5,1.5,6.5,9.5,4.35,0.16
70,4.15,3.5,0.5,3.34,1.21,4.58,0.5,1.5,5.5,8.5,4.12,0.18
71,3.94,3.5,0.5,3.22,1.25,4.71,0.5,1.5,5.5,8.5,3.93,0.19
72,3.74,2.5,0.5,3.1,1.29,4.84,0.5,1.5,5.5,8.5,3.73,0.21
73,3.56,2.5,0.5,2.98,1.32,4.96,0.5,1.5,5.5,7.5,3.53,0.23
74,3.39,2.5,0.5,2.87,1.35,5.07,0.5,1.5,4.5,7.5,3.39,0.21
75,3.23,2.5,0.5,2.76,1.38,5.17,0.5,1.5,4.5,7.5,3.23,0.23
76,3.09,2.5,0.5,2.66,1.4,5.27,0.5,1.5,4.5,6.5,3.08,0.23
77,2.96,2.5,0.5,2.55,1.42,5.37,0.5,0.5,4.5,6.5,2.97,0.22
78,2.83,2.5,0.5,2.45,1.45,5.47,0.5,0.5,4.5,6.5,2.82,0.18
79,2.7,2.5,0.5,2.36,1.47,5.58,0.5,0.5,3.5,5.5,2.69,0.11
80,2.58,1.5,0.5,2.26,1.5,5.68,0.5,0.5,3.5,5.5,2.57,0.11
81,2.47,1.5,0.5,2.17,1.52,5.79,0.5,0.5,3.5,5.5,2.46,0.1
82,2.36,1.5,0.5,2.08,1.54,5.88,0.5,0.5,3.5,5.5,2.35,0.1
83,2.26,1.5,0.5,2.0,1.56,5.98,0.5,0.5,3.5,5.5,2.25,0.09
84,2.16,1.5,0.5,1.92,1.58,6.07,0.5,0.5,3.5,4.5,2.16,0.1
85,2.07,1.5,0.5,1.83,1.6,6.17,0.5,0.5,2.5,4.5,2.07,0.09
86,1.98,1.5,0.5,1.76,1.62,6.27,0.5,0.5,2.5,4.5,1.98,0.09
87,1.89,1.5,0.5,1.68,1.65,6.38,0.5,0.5,2.5,4.5,1.9,0.07
88,1.81,1.5,0.5,1.61,1.67,6.49,0.5,0.5,2.5,3.5,1.81,0.07
89,1.73,1.5,0.5,1.53,1.69,6.61,0.5,0.5,2.5,3.5,1.73,0.06
90,1.65,1.5,0.5,1.46,1.72,6.74,0.5,0.5,2.5,3.5,1.65,0.06
