age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
25,38.66,39.5,40.5,8.57,-1.31,6.16,28.5,35.5,44.5,47.5,38.67,0.27
26,37.74,38.5,39.5,8.46,-1.26,5.97,28.5,34.5,43.5,46.5,37.74,0.26
27,36.82,37.5,38.5,8.35,-1.21,5.79,27.5,33.5,42.5,45.5,36.82,0.27
28,35.9,36.5,37.5,8.24,-1.16,5.61,26.5,32.5,41.5,44.5,35.89,0.27
29,34.97,35.5,36.5,8.13,-1.11,5.43,25.5,31.5,40.5,43.5,34.97,0.26
30,34.05,34.5,35.5,8.02,-1.06,5.26,24.5,30.5,39.5,42.5,34.04,0.27
31,33.12,34.5,34.5,7.92,-1.01,5.08,23.5,29.5,38.5,41.5,33.12,0.26
32,32.2,33.5,33.5,7.81,-0.96,4.92,22.5,28.5,37.5,40.5,32.19,0.26
33,31.28,32.5,32.5,7.71,-0.91,4.75,21.5,27.5,36.5,39.5,31.26,0.26
34,30.35,31.5,31.5,7.61,-0.85,4.6,21.5,26.5,35.5,38.5,30.34,0.27
35,29.43,30.5,30.5,7.51,-0.8,4.45,20.5,25.5,34.5,37.5,29.43,0.26
36,28.51,29.5,29.5,7.41,-0.76,4.31,19.5,24.5,33.5,36.5,28.51,0.26
37,27.6,28.5,28.5,7.31,-0.71,4.17,18.5,23.5,32.5,36.5,27.6,0.26
38,26.69,27.5,27.5,7.21,-0.66,4.04,17.5,22.5,31.5,35.5,26.69,0.26
39,25.77,26.5,26.5,7.12,-0.61,3.92,16.5,21.5,30.5,34.5,25.78,0.26
40,24.86,25.5,25.5,7.02,-0.56,3.8,15.5,21.5,29.5,33.5,24.87,0.25
41,23.94,24.5,24.5,6.92,-0.51,3.69,15.5,20.5,28.5,32.5,23.95,0.25
42,23.02,23.5,23.5,6.83,-0.46,3.58,14.5,19.5,27.5,31.5,23.03,0.25
43,22.11,22.5,22.5,6.73,-0.41,3.49,13.5,18.5,26.5,30.5,22.11,0.25
44,21.2,21.5,21.5,6.64,-0.36,3.39,12.5,17.5,25.5,29.5,21.2,0.25
45,20.29,20.5,20.5,6.54,-0.31,3.31,11.5,16.5,24.5,28.5,20.3,0.25
46,19.39,19.5,19.5,6.44,-0.26,3.23,11.5,15.5,23.5,27.5,19.4,0.25
47,18.51,18.5,18.5,6.33,-0.21,3.16,10.5,14.5,22.5,26.5,18.51,0.25
48,17.63,17.5,17.5,6.22,-0.15,3.09,9.5,13.5,21.5,25.5,17.63,0.25
49,16.75,16.5,16.5,6.1,-0.1,3.03,8.5,12.5,20.5,24.5,16.76,0.24
50,15.89,15.5,15.5,5.99,-0.04,2.98,8.5,12.5,19.5,23.5,15.9,0.24
51,15.02,15.5,14.5,5.87,0.02,2.94,7.5,11.5,18.5,22.5,15.03,0.24
52,14.16,14.5,13.5,5.76,0.08,2.91,6.5,10.5,17.5,21.5,14.17,0.24
53,13.31,13.5,12.5,5.64,0.13,2.89,5.5,9.5,17.5,20.5,13.33,0.25
54,12.49,12.5,11.5,5.52,0.19,2.88,5.5,8.5,16.5,19.5,12.5,0.25
55,11.69,11.5,11.5,5.38,0.25,2.88,4.5,7.5,15.5,18.5,11.71,0.24
56,10.93,10.5,10.5,5.24,0.31,2.9,4.5,7.5,14.5,17.5,10.94,0.24
57,10.19,9.5,9.5,5.1,0.38,2.93,3.5,6.5,13.5,16.5,10.21,0.24
58,9.48,9.5,8.5,4.95,0.44,2.97,3.5,5.5,12.5,16.5,9.5,0.24
59,8.79,8.5,7.5,4.8,0.51,3.02,2.5,5.5,11.5,15.5,8.81,0.23
60,8.13,7.5,6.5,4.65,0.57,3.09,2.5,4.5,11.5,14.5,8.15,0.23
61,7.52,6.5,5.5,4.5,0.64,3.17,2.5,4.5,10.5,13.5,7.53,0.23
62,6.95,6.5,4.5,4.34,0.7,3.26,1.5,3.5,9.5,12.5,6.96,0.22
63,6.43,5.5,4.5,4.18,0.76,3.37,1.5,3.5,9.5,12.5,6.44,0.23
64,5.97,5.5,3.5,4.02,0.82,3.48,1.5,2.5,8.5,11.5,5.98,0.22
65,5.56,4.5,2.5,3.86,0.87,3.61,1.5,2.5,7.5,10.5,5.57,0.23
66,5.19,4.5,2.5,3.7,0.93,3.75,0.5,2.5,7.5,10.5,5.21,0.23
67,4.85,4.5,1.5,3.55,0.99,3.9,0.5,2.5,6.5,9.5,4.88,0.24
68,4.53,3.5,1.5,3.4,1.04,4.06,0.5,1.5,6.5,9.5,4.55,0.23
69,4.23,3.5,0.5,3.25,1.1,4.22,0.5,1.5,6.5,8.5,4.24,0.24
70,3.96,3.5,0.5,3.11,1.15,4.4,0.5,1.5,5.5,8.5,3.97,0.23
71,3.71,3.5,0.5,2.97,1.2,4.57,0.5,1.5,5.5,7.5,3.72,0.26
72,3.49,2.5,0.5,2.84,1.26,4.76,0.5,1.5,4.5,7.5,3.51,0.26
73,3.28,2.5,0.5,2.71,1.31,4.94,0.5,1.5,4.5,7.5,3.3,0.26
74,3.09,2.5,0.5,2.59,1.35,5.13,0.5,1.5,4.5,6.5,3.14,0.28
75,2.91,2.5,0.5,2.48,1.4,5.31,0.5,0.5,4.5,6.5,2.92,0.29
76,2.75,2.5,0.5,2.37,1.44,5.49,0.5,0.5,3.5,6.5,2.73,0.29
77,2.61,1.5,0.5,2.26,1.48,5.66,0.5,0.5,3.5,5.5,2.63,0.25
78,2.47,1.5,0.5,2.17,1.52,5.82,0.5,0.5,3.5,5.5,2.49,0.24
79,2.35,1.5,0.5,2.07,1.55,5.96,0.5,0.5,3.5,5.5,2.36,0.11
80,2.24,1.5,0.5,1.99,1.58,6.08,0.5,0.5,3.5,4.5,2.24,0.11
81,2.14,1.5,0.5,1.91,1.61,6.19,0.5,0.5,2.5,4.5,2.14,0.1
82,2.05,1.5,0.5,1.83,1.62,6.28,0.5,0.5,2.5,4.5,2.05,0.1
83,1.96,1.5,0.5,1.75,1.64,6.36,0.5,0.5,2.5,4.5,1.96,0.09
84,1.88,1.5,0.5,1.68,1.66,6.46,0.5,0.5,2.5,4.5,1.89,0.09
85,1.8,1.5,0.5,1.61,1.68,6.56,0.5,0.5,2.5,3.5,1.8,0.08
86,1.72,1.5,0.5,1.54,1.7,6.67,0.5,0.5,2.5,3.5,1.73,0.07
87,1.65,1.5,0.5,1.47,1.73,6.79,0.5,0.5,2.5,3.5,1.65,0.07
88,1.58,1.5,0.5,1.4,1.75,6.9,0.5,0.5,2.5,3.5,1.58,0.06
89,1.51,1.5,0.5,1.34,1.78,7.02,0.5,0.5,2.5,3.5,1.52,0.06
90,1.45,1.5,0.5,1.28,1.8,7.14,0.5,0.5,1.5,3.5,1.45,0.06
