age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
26,40.16,41.5,42.5,9.21,-1.24,5.79,29.5,36.5,45.5,50.5,40.14,0.32
27,39.24,40.5,41.5,9.1,-1.19,5.62,28.5,35.5,44.5,49.5,39.21,0.31
28,38.31,39.5,40.5,8.99,-1.14,5.46,27.5,34.5,44.5,48.5,38.28,0.32
29,37.39,38.5,39.5,8.88,-1.1,5.3,26.5,33.5,43.5,47.5,37.36,0.32
30,36.46,37.5,38.5,8.77,-1.05,5.14,25.5,32.5,42.5,46.5,36.43,0.32
31,35.54,36.5,37.5,8.66,-1.0,4.98,25.5,31.5,41.5,45.5,35.51,0.32
32,34.61,35.5,36.5,8.55,-0.95,4.82,24.5,30.5,40.5,44.5,34.58,0.32
33,33.68,34.5,35.5,8.45,-0.91,4.67,23.5,29.5,39.5,43.5,33.64,0.32
34,32.74,33.5,34.5,8.35,-0.86,4.53,22.5,28.5,38.5,42.5,32.71,0.31
35,31.81,32.5,33.5,8.25,-0.81,4.39,21.5,27.5,37.5,41.5,31.78,0.31
36,30.88,31.5,32.5,8.15,-0.77,4.25,20.5,26.5,36.5,40.5,30.84,0.31
37,29.94,30.5,31.5,8.05,-0.72,4.13,19.5,25.5,35.5,39.5,29.91,0.31
38,29.01,29.5,30.5,7.96,-0.67,4.0,18.5,24.5,34.5,38.5,28.97,0.31
39,28.07,28.5,29.5,7.87,-0.63,3.89,18.5,23.5,33.5,37.5,28.04,0.32
40,27.14,27.5,28.5,7.77,-0.58,3.77,17.5,22.5,32.5,36.5,27.1,0.32
41,26.21,26.5,27.5,7.68,-0.54,3.67,16.5,22.5,31.5,35.5,26.18,0.31
42,25.29,25.5,26.5,7.58,-0.49,3.57,15.5,21.5,30.5,34.5,25.25,0.31
43,24.37,24.5,25.5,7.49,-0.45,3.48,14.5,20.5,29.5,33.5,24.33,0.31
44,23.45,23.5,24.5,7.39,-0.4,3.4,13.5,19.5,28.5,32.5,23.41,0.31
45,22.54,22.5,23.5,7.29,-0.36,3.31,13.5,18.5,27.5,31.5,22.49,0.31
46,21.63,21.5,22.5,7.19,-0.31,3.24,12.5,17.5,26.5,30.5,21.59,0.31
47,20.73,21.5,21.5,7.08,-0.26,3.17,11.5,16.5,25.5,29.5,20.69,0.31
48,19.84,20.5,20.5,6.97,-0.21,3.1,10.5,15.5,24.5,28.5,19.79,0.32
49,18.96,19.5,19.5,6.86,-0.16,3.04,10.5,14.5,23.5,27.5,18.91,0.32
50,18.08,18.5,18.5,6.74,-0.11,2.99,9.5,13.5,22.5,26.5,18.04,0.31
51,17.22,17.5,17.5,6.61,-0.05,2.94,8.5,12.5,21.5,25.5,17.17,0.31
52,16.36,16.5,16.5,6.49,0.0,2.9,7.5,12.5,20.5,24.5,16.31,0.31
53,15.51,15.5,15.5,6.36,0.06,2.87,7.5,11.5,19.5,23.5,15.46,0.31
54,14.67,14.5,14.5,6.22,0.12,2.84,6.5,10.5,18.5,22.5,14.63,0.3
55,13.84,13.5,13.5,6.09,0.18,2.82,5.5,9.5,17.5,21.5,13.8,0.3
56,13.01,12.5,12.5,5.96,0.24,2.81,5.5,8.5,17.5,20.5,12.98,0.3
57,12.19,11.5,11.5,5.83,0.3,2.81,4.5,7.5,16.5,19.5,12.15,0.31
58,11.38,11.5,10.5,5.7,0.35,2.83,4.5,7.5,15.5,18.5,11.35,0.31
59,10.61,10.5,9.5,5.57,0.41,2.85,3.5,6.5,14.5,18.5,10.57,0.3
60,9.87,9.5,8.5,5.43,0.46,2.89,2.5,5.5,13.5,17.5,9.85,0.31
61,9.19,8.5,8.5,5.27,0.51,2.94,2.5,5.5,12.5,16.5,9.18,0.3
62,8.57,8.5,7.5,5.11,0.57,3.01,2.5,4.5,11.5,15.5,8.58,0.3
63,8.0,7.5,6.5,4.93,0.62,3.09,1.5,4.5,11.5,14.5,8.0,0.31
64,7.48,6.5,5.5,4.75,0.68,3.19,1.5,3.5,10.5,14.5,7.48,0.31
65,6.99,6.5,4.5,4.58,0.74,3.3,1.5,3.5,9.5,13.5,6.99,0.31
66,6.53,5.5,3.5,4.4,0.8,3.41,1.5,3.5,9.5,12.5,6.53,0.29
67,6.1,5.5,3.5,4.23,0.85,3.54,1.5,2.5,8.5,11.5,6.09,0.28
68,5.7,4.5,2.5,4.06,0.91,3.67,1.5,2.5,8.5,11.5,5.7,0.3
69,5.33,4.5,1.5,3.9,0.97,3.81,0.5,2.5,7.5,10.5,5.34,0.29
70,4.99,4.5,1.5,3.73,1.02,3.96,0.5,2.5,7.5,10.5,4.99,0.29
71,4.67,3.5,0.5,3.58,1.07,4.11,0.5,1.5,6.5,9.5,4.67,0.28
72,4.38,3.5,0.5,3.43,1.13,4.27,0.5,1.5,6.5,9.5,4.39,0.29
73,4.11,3.5,0.5,3.28,1.18,4.42,0.5,1.5,5.5,8.5,4.1,0.29
74,3.87,3.5,0.5,3.14,1.22,4.58,0.5,1.5,5.5,8.5,3.84,0.27
75,3.64,2.5,0.5,3.0,1.27,4.74,0.5,1.5,5.5,7.5,3.63,0.27
76,3.44,2.5,0.5,2.87,1.31,4.88,0.5,1.5,4.5,7.5,3.38,0.28
77,3.25,2.5,0.5,2.75,1.35,5.03,0.5,1.5,4.5,7.5,3.21,0.27
78,3.08,2.5,0.5,2.63,1.38,5.16,0.5,1.5,4.5,6.5,3.08,0.24
79,2.92,2.5,0.5,2.52,1.41,5.28,0.5,0.5,4.5,6.5,2.91,0.13
80,2.78,2.5,0.5,2.41,1.44,5.4,0.5,0.5,3.5,6.5,2.78,0.13
81,2.64,1.5,0.5,2.3,1.46,5.5,0.5,0.5,3.5,5.5,2.66,0.12
82,2.52,1.5,0.5,2.2,1.49,5.61,0.5,0.5,3.5,5.5,2.52,0.12
83,2.4,1.5,0.5,2.1,1.51,5.71,0.5,0.5,3.5,5.5,2.4,0.1
84,2.29,1.5,0.5,2.01,1.53,5.83,0.5,0.5,3.5,5.5,2.3,0.1
85,2.18,1.5,0.5,1.92,1.56,5.95,0.5,0.5,3.5,4.5,2.19,0.09
86,2.07,1.5,0.5,1.83,1.58,6.08,0.5,0.5,2.5,4.5,2.07,0.08
87,1.97,1.5,0.5,1.75,1.61,6.2,0.5,0.5,2.5,4.5,1.97,0.08
88,1.88,1.5,0.5,1.67,1.64,6.33,0.5,0.5,2.5,4.5,1.88,0.07
89,1.79,1.5,0.5,1.59,1.66,6.46,0.5,0.5,2.5,3.5,1.79,0.07
90,1.71,1.5,0.5,1.51,1.69,6.6,0.5,0.5,2.5,3.5,1.71,0.07
