age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,38.96,40.5,42.0,9.98,-0.9,4.54,26.5,34.5,46.5,50.5,38.92,0.13
19,38.17,39.5,41.0,9.91,-0.88,4.48,26.5,33.5,45.5,49.5,38.13,0.12
20,37.33,39.5,41.0,9.83,-0.86,4.39,25.5,32.5,44.5,48.5,37.3,0.12
21,36.47,38.5,40.0,9.75,-0.83,4.3,24.5,31.5,43.5,47.5,36.44,0.13
22,35.59,37.5,39.0,9.66,-0.8,4.2,23.5,30.5,42.5,46.5,35.56,0.14
23,34.69,36.5,38.0,9.58,-0.76,4.09,22.5,30.5,41.5,46.5,34.66,0.15
24,33.78,35.5,37.0,9.49,-0.73,3.98,22.5,29.5,40.5,45.5,33.75,0.14
25,32.84,34.5,36.0,9.41,-0.69,3.88,21.5,28.5,39.5,44.5,32.82,0.15
26,31.9,33.5,35.0,9.33,-0.66,3.78,20.5,27.5,38.5,43.5,31.88,0.14
27,30.94,32.5,34.0,9.25,-0.62,3.68,19.5,26.5,37.5,42.5,30.93,0.14
28,29.98,31.5,33.0,9.18,-0.59,3.58,18.5,25.5,36.5,41.5,29.96,0.15
29,29.0,30.5,32.0,9.12,-0.55,3.49,17.5,24.5,35.5,40.5,28.98,0.16
30,28.02,29.5,31.0,9.05,-0.52,3.4,16.5,23.5,34.5,39.5,27.99,0.16
31,27.03,28.5,30.0,8.99,-0.49,3.32,15.5,22.5,33.5,38.5,27.0,0.16
32,26.04,27.5,29.0,8.93,-0.46,3.24,14.5,21.5,32.5,37.5,26.03,0.17
33,25.05,26.5,28.0,8.87,-0.42,3.16,13.5,20.5,31.5,36.5,25.04,0.18
34,24.06,25.5,27.0,8.81,-0.39,3.09,12.5,19.5,30.5,35.5,24.05,0.17
35,23.07,24.5,26.0,8.75,-0.36,3.01,11.5,18.5,29.5,34.5,23.07,0.17
36,22.07,23.5,25.0,8.69,-0.33,2.94,10.5,17.5,28.5,33.5,22.07,0.17
37,21.08,22.5,24.0,8.62,-0.29,2.88,9.5,16.5,27.5,31.5,21.09,0.15
38,20.09,21.5,23.0,8.55,-0.25,2.81,8.5,15.5,26.5,30.5,20.1,0.18
39,19.1,20.5,22.0,8.48,-0.21,2.75,7.5,14.5,25.5,29.5,19.1,0.18
