age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,26.38,27.5,28.0,11.25,-0.12,2.58,11.5,19.5,34.5,41.5,26.45,1.57
19,25.78,26.5,28.0,11.17,-0.11,2.57,11.5,18.5,34.5,40.5,25.84,1.56
20,25.17,26.5,27.0,11.09,-0.1,2.55,10.5,17.5,33.5,39.5,25.22,1.62
21,24.56,25.5,27.0,11.0,-0.09,2.54,9.5,17.5,32.5,39.5,24.56,1.63
22,23.93,24.5,26.0,10.9,-0.08,2.53,9.5,16.5,32.5,38.5,23.91,1.57
23,23.3,24.5,25.0,10.8,-0.07,2.51,8.5,16.5,31.5,37.5,23.22,1.56
24,22.66,23.5,25.0,10.7,-0.06,2.5,8.5,15.5,30.5,36.5,22.55,1.57
25,22.01,22.5,24.0,10.6,-0.05,2.48,7.5,14.5,30.5,36.5,21.94,1.39
26,21.34,22.5,23.0,10.49,-0.03,2.46,7.5,14.5,29.5,35.5,21.3,1.31
27,20.66,21.5,22.0,10.38,-0.02,2.45,6.5,13.5,28.5,34.5,20.73,1.36
28,19.97,20.5,22.0,10.27,-0.0,2.43,6.5,13.5,27.5,33.5,19.95,1.34
29,19.26,20.5,0.0,10.15,0.02,2.42,5.5,12.5,27.5,32.5,19.34,1.3
30,18.54,19.5,0.0,10.03,0.04,2.4,4.5,11.5,26.5,32.5,18.61,1.3
31,17.82,18.5,0.0,9.9,0.07,2.38,4.5,10.5,25.5,31.5,17.85,1.22
32,17.08,17.5,0.0,9.77,0.09,2.37,3.5,10.5,24.5,30.5,17.1,1.19
33,16.33,16.5,0.0,9.62,0.13,2.36,3.5,9.5,23.5,29.5,16.36,1.23
34,15.57,16.5,0.0,9.47,0.16,2.35,2.5,8.5,22.5,28.5,15.59,1.29
35,14.81,15.5,0.0,9.31,0.2,2.35,2.5,8.5,22.5,27.5,14.78,1.29
36,14.05,14.5,0.0,9.14,0.24,2.35,1.5,7.5,21.5,26.5,13.98,1.19
37,13.29,13.5,0.0,8.96,0.28,2.36,0.0,6.5,20.5,25.5,13.29,1.16
38,12.54,12.5,0.0,8.77,0.33,2.37,0.0,5.5,19.5,24.5,12.62,1.05
39,11.81,11.5,0.0,8.57,0.38,2.4,0.0,5.5,18.5,24.5,11.91,0.92
