age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,28.44,29.5,30.0,10.1,-0.19,2.88,15.5,22.5,36.5,41.5,28.31,0.68
19,27.8,28.5,29.0,10.04,-0.18,2.86,15.5,21.5,35.5,40.5,27.66,0.69
20,27.14,28.5,28.0,9.98,-0.17,2.84,14.5,21.5,34.5,40.5,27.01,0.68
21,26.47,27.5,28.0,9.91,-0.15,2.81,13.5,20.5,33.5,39.5,26.34,0.7
22,25.79,26.5,27.0,9.84,-0.14,2.79,13.5,19.5,33.5,38.5,25.69,0.71
23,25.11,25.5,26.0,9.76,-0.12,2.77,12.5,19.5,32.5,37.5,24.99,0.72
24,24.41,25.5,25.0,9.68,-0.11,2.75,12.5,18.5,31.5,37.5,24.31,0.72
25,23.69,24.5,25.0,9.59,-0.09,2.73,11.5,17.5,30.5,36.5,23.58,0.72
26,22.96,23.5,24.0,9.51,-0.08,2.7,10.5,16.5,30.5,35.5,22.84,0.72
27,22.21,22.5,23.0,9.42,-0.06,2.68,10.5,16.5,29.5,34.5,22.09,0.74
28,21.45,22.5,22.0,9.33,-0.04,2.66,9.5,15.5,28.5,33.5,21.35,0.72
29,20.68,21.5,21.0,9.24,-0.02,2.64,8.5,14.5,27.5,33.5,20.55,0.73
30,19.9,20.5,21.0,9.14,0.0,2.62,8.5,14.5,26.5,32.5,19.79,0.77
31,19.12,19.5,20.0,9.04,0.02,2.6,7.5,13.5,25.5,31.5,18.99,0.72
32,18.35,18.5,19.0,8.93,0.05,2.59,6.5,12.5,25.5,30.5,18.23,0.72
33,17.59,18.5,18.0,8.82,0.07,2.57,6.5,11.5,24.5,29.5,17.47,0.78
34,16.83,17.5,17.0,8.7,0.1,2.56,5.5,11.5,23.5,28.5,16.69,0.79
35,16.08,16.5,16.0,8.58,0.13,2.54,4.5,10.5,22.5,27.5,15.99,0.81
36,15.33,15.5,16.0,8.45,0.16,2.53,4.5,9.5,21.5,26.5,15.22,0.8
37,14.59,14.5,0.0,8.32,0.19,2.53,3.5,8.5,20.5,26.5,14.49,0.82
38,13.85,14.5,0.0,8.18,0.23,2.52,3.5,8.5,20.5,25.5,13.76,0.78
39,13.13,13.5,0.0,8.04,0.26,2.52,2.5,7.5,19.5,24.5,13.01,0.83
40,12.41,12.5,0.0,7.89,0.3,2.53,2.5,6.5,18.5,23.5,12.28,0.75
41,11.69,11.5,0.0,7.72,0.35,2.55,1.5,6.5,17.5,22.5,11.59,0.7
42,10.98,11.5,0.0,7.55,0.4,2.57,0.0,5.5,16.5,21.5,10.87,0.74
43,10.28,10.5,0.0,7.37,0.45,2.61,0.0,4.5,15.5,20.5,10.2,0.69
44,9.59,9.5,0.0,7.18,0.5,2.65,0.0,4.5,15.5,19.5,9.52,0.67
45,8.92,8.5,0.0,6.97,0.56,2.72,0.0,3.5,14.5,19.5,8.89,0.64
46,8.27,7.5,0.0,6.76,0.63,2.79,0.0,2.5,13.5,18.5,8.26,0.64
47,7.65,7.5,0.0,6.53,0.69,2.89,0.0,2.5,12.5,17.5,7.62,0.6
48,7.05,6.5,0.0,6.3,0.76,3.01,0.0,1.5,11.5,16.5,7.07,0.57
49,6.48,5.5,0.0,6.06,0.84,3.14,0.0,1.5,10.5,15.5,6.45,0.51
50,5.95,5.5,0.0,5.82,0.92,3.3,0.0,0.0,10.5,14.5,5.91,0.47
51,5.44,4.5,0.0,5.58,1.0,3.49,0.0,0.0,9.5,14.5,5.42,0.45
52,4.96,3.5,0.0,5.34,1.09,3.71,0.0,0.0,8.5,13.5,4.98,0.43
53,4.51,3.5,0.0,5.09,1.18,3.96,0.0,0.0,8.5,12.5,4.5,0.41
54,4.08,2.5,0.0,4.84,1.28,4.26,0.0,0.0,7.5,11.5,4.07,0.35
55,3.68,2.5,0.0,4.6,1.39,4.61,0.0,0.0,6.5,10.5,3.69,0.34
56,3.29,1.5,0.0,4.35,1.5,5.03,0.0,0.0,6.5,10.5,3.28,0.32
57,2.92,1.5,0.0,4.09,1.63,5.54,0.0,0.0,5.5,9.5,2.89,0.3
58,2.56,0.0,0.0,3.82,1.78,6.18,0.0,0.0,4.5,8.5,2.54,0.26
59,2.22,0.0,0.0,3.55,1.95,6.96,0.0,0.0,3.5,7.5,2.22,0.24
60,1.91,0.0,0.0,3.28,2.13,7.9,0.0,0.0,3.5,7.5,1.89,0.22
61,1.64,0.0,0.0,3.01,2.32,8.97,0.0,0.0,2.5,6.5,1.63,0.2
62,1.41,0.0,0.0,2.77,2.52,10.16,0.0,0.0,2.5,5.5,1.4,0.19
63,1.23,0.0,0.0,2.55,2.71,11.42,0.0,0.0,1.5,5.5,1.21,0.18
64,1.07,0.0,0.0,2.36,2.89,12.73,0.0,0.0,1.5,4.5,1.06,0.16
65,0.94,0.0,0.0,2.19,3.07,14.08,0.0,0.0,0.0,4.5,0.93,0.18
66,0.84,0.0,0.0,2.04,3.25,15.52,0.0,0.0,0.0,3.5,0.83,0.17
67,0.74,0.0,0.0,1.9,3.44,17.14,0.0,0.0,0.0,3.5,0.73,0.15
68,0.65,0.0,0.0,1.76,3.65,19.06,0.0,0.0,0.0,2.5,0.65,0.12
69,0.56,0.0,0.0,1.62,3.89,21.31,0.0,0.0,0.0,2.5,0.57,0.12
70,0.49,0.0,0.0,1.5,4.15,23.95,0.0,0.0,0.0,2.5,0.48,0.1
71,0.42,0.0,0.0,1.37,4.44,27.14,0.0,0.0,0.0,1.5,0.41,0.09
72,0.36,0.0,0.0,1.25,4.77,31.02,0.0,0.0,0.0,1.5,0.35,0.08
73,0.3,0.0,0.0,1.13,5.13,35.6,0.0,0.0,0.0,1.5,0.3,0.08
74,0.26,0.0,0.0,1.02,5.52,40.81,0.0,0.0,0.0,0.0,0.25,0.07
75,0.22,0.0,0.0,0.93,5.91,46.54,0.0,0.0,0.0,0.0,0.21,0.07
76,0.19,0.0,0.0,0.85,6.32,52.92,0.0,0.0,0.0,0.0,0.18,0.05
77,0.16,0.0,0.0,0.77,6.75,60.13,0.0,0.0,0.0,0.0,0.15,0.04
78,0.13,0.0,0.0,0.7,7.22,68.49,0.0,0.0,0.0,0.0,0.14,0.03
79,0.11,0.0,0.0,0.64,7.75,78.7,0.0,0.0,0.0,0.0,0.11,0.0
80,0.09,0.0,0.0,0.57,8.38,91.54,0.0,0.0,0.0,0.0,0.09,0.0
81,0.08,0.0,0.0,0.51,9.09,107.48,0.0,0.0,0.0,0.0,0.08,0.0
82,0.06,0.0,0.0,0.45,9.88,126.62,0.0,0.0,0.0,0.0,0.06,0.0
83,0.05,0.0,0.0,0.4,10.66,147.35,0.0,0.0,0.0,0.0,0.05,0.0
84,0.04,0.0,0.0,0.36,11.39,167.87,0.0,0.0,0.0,0.0,0.04,0.0
85,0.04,0.0,0.0,0.33,12.04,187.31,0.0,0.0,0.0,0.0,0.04,0.0
86,0.03,0.0,0.0,0.31,12.72,208.83,0.0,0.0,0.0,0.0,0.03,0.0
87,0.03,0.0,0.0,0.28,13.58,238.01,0.0,0.0,0.0,0.0,0.03,0.0
88,0.02,0.0,0.0,0.25,14.64,276.25,0.0,0.0,0.0,0.0,0.02,0.0
89,0.02,0.0,0.0,0.22,15.78,320.72,0.0,0.0,0.0,0.0,0.02,0.0
90,0.02,0.0,0.0,0.2,17.05,374.62,0.0,0.0,0.0,0.0,0.02,0.0
