age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,32.35,33.5,34.0,9.26,-0.46,3.51,21.5,27.5,39.5,43.5,32.28,0.67
19,31.56,32.5,33.0,9.2,-0.45,3.46,20.5,26.5,38.5,43.5,31.52,0.68
20,30.76,31.5,33.0,9.14,-0.42,3.4,19.5,25.5,37.5,42.5,30.72,0.66
21,29.95,31.5,32.0,9.07,-0.4,3.35,18.5,24.5,36.5,41.5,29.9,0.7
22,29.15,30.5,31.0,9.0,-0.38,3.29,17.5,24.5,35.5,40.5,29.15,0.67
23,28.34,29.5,30.0,8.92,-0.35,3.23,17.5,23.5,34.5,39.5,28.34,0.64
24,27.51,28.5,29.0,8.85,-0.33,3.17,16.5,22.5,34.5,38.5,27.51,0.68
25,26.68,27.5,28.0,8.77,-0.3,3.11,15.5,21.5,33.5,37.5,26.66,0.7
26,25.85,26.5,27.0,8.7,-0.28,3.06,14.5,20.5,32.5,37.5,25.81,0.68
27,25.0,25.5,27.0,8.63,-0.25,3.01,14.5,19.5,31.5,36.5,24.94,0.75
28,24.14,25.5,26.0,8.56,-0.23,2.97,13.5,19.5,30.5,35.5,24.1,0.72
29,23.27,24.5,25.0,8.49,-0.2,2.92,12.5,18.5,29.5,34.5,23.22,0.72
30,22.4,23.5,24.0,8.42,-0.18,2.88,11.5,17.5,28.5,33.5,22.38,0.69
31,21.51,22.5,23.0,8.35,-0.16,2.84,10.5,16.5,27.5,32.5,21.47,0.73
32,20.62,21.5,22.0,8.28,-0.13,2.81,10.5,15.5,26.5,31.5,20.59,0.75
33,19.72,20.5,21.0,8.21,-0.1,2.77,9.5,14.5,25.5,30.5,19.74,0.7
34,18.83,19.5,20.0,8.13,-0.08,2.73,8.5,13.5,25.5,29.5,18.81,0.68
35,17.94,18.5,19.0,8.05,-0.05,2.7,7.5,12.5,24.5,28.5,17.89,0.7
36,17.05,17.5,18.0,7.97,-0.02,2.67,6.5,12.5,23.5,27.5,17.03,0.79
37,16.17,16.5,17.0,7.87,0.01,2.64,5.5,11.5,22.5,26.5,16.14,0.74
38,15.31,15.5,16.0,7.78,0.05,2.61,5.5,10.5,21.5,25.5,15.3,0.76
39,14.45,15.5,15.0,7.67,0.09,2.58,4.5,9.5,20.5,24.5,14.42,0.74
40,13.61,14.5,0.0,7.56,0.13,2.56,3.5,8.5,19.5,23.5,13.57,0.7
41,12.77,13.5,0.0,7.43,0.17,2.55,2.5,7.5,18.5,22.5,12.75,0.69
42,11.95,12.5,0.0,7.3,0.22,2.54,2.5,6.5,17.5,22.5,11.95,0.69
43,11.13,11.5,0.0,7.16,0.28,2.54,1.5,6.5,16.5,21.5,11.14,0.65
44,10.32,10.5,0.0,7.0,0.34,2.56,0.0,5.5,15.5,20.5,10.33,0.68
45,9.52,9.5,0.0,6.82,0.41,2.59,0.0,4.5,14.5,19.5,9.47,0.68
46,8.73,8.5,0.0,6.63,0.49,2.65,0.0,3.5,13.5,18.5,8.71,0.61
47,7.96,7.5,0.0,6.42,0.57,2.73,0.0,2.5,12.5,17.5,7.9,0.63
