age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,36.59,38.5,40.0,9.98,-0.71,3.95,24.5,31.5,43.5,48.5,36.57,0.24
19,35.85,37.5,39.0,9.91,-0.7,3.89,23.5,30.5,43.5,47.5,35.84,0.25
20,35.06,36.5,39.0,9.85,-0.67,3.82,22.5,29.5,42.5,46.5,35.05,0.24
21,34.11,35.5,38.0,9.78,-0.65,3.74,21.5,29.5,41.5,45.5,34.11,0.24
22,33.09,34.5,37.0,9.71,-0.61,3.65,20.5,27.5,40.5,44.5,33.07,0.27
23,32.12,33.5,36.0,9.63,-0.58,3.56,20.5,26.5,39.5,43.5,32.11,0.26
24,31.2,32.5,35.0,9.54,-0.55,3.48,19.5,26.5,38.5,42.5,31.2,0.27
25,30.3,31.5,34.0,9.46,-0.52,3.41,18.5,25.5,37.5,41.5,30.3,0.3
26,29.39,30.5,33.0,9.38,-0.49,3.34,17.5,24.5,36.5,40.5,29.36,0.31
27,28.46,29.5,32.0,9.3,-0.47,3.27,16.5,23.5,35.5,39.5,28.43,0.29
28,27.56,28.5,31.0,9.21,-0.44,3.2,15.5,22.5,34.5,39.5,27.56,0.31
29,26.69,28.5,30.0,9.13,-0.41,3.14,14.5,21.5,33.5,38.5,26.69,0.29
30,25.81,27.5,29.0,9.05,-0.39,3.08,14.5,20.5,32.5,37.5,25.82,0.3
31,24.91,26.5,28.0,8.97,-0.36,3.03,13.5,19.5,31.5,36.5,24.9,0.35
32,24.0,25.5,27.0,8.9,-0.33,2.97,12.5,18.5,30.5,35.5,23.97,0.33
33,23.1,24.5,26.0,8.82,-0.31,2.92,11.5,17.5,29.5,34.5,23.08,0.32
34,22.21,23.5,25.0,8.75,-0.28,2.87,10.5,17.5,28.5,33.5,22.21,0.34
35,21.29,22.5,24.0,8.69,-0.25,2.81,9.5,16.5,27.5,32.5,21.28,0.32
36,20.31,21.5,23.0,8.61,-0.21,2.76,8.5,15.5,26.5,31.5,20.33,0.31
37,19.33,20.5,22.0,8.53,-0.18,2.71,8.5,14.5,25.5,30.5,19.34,0.31
38,18.38,19.5,21.0,8.45,-0.14,2.66,7.5,13.5,24.5,29.5,18.38,0.32
39,17.46,18.5,20.0,8.35,-0.11,2.61,6.5,12.5,23.5,28.5,17.46,0.31
40,16.54,17.5,19.0,8.25,-0.07,2.57,5.5,11.5,22.5,27.5,16.53,0.31
41,15.6,16.5,18.0,8.13,-0.02,2.54,4.5,10.5,21.5,26.5,15.58,0.27
42,14.68,15.5,0.0,8.0,0.03,2.5,3.5,9.5,20.5,25.5,14.64,0.26
43,13.81,14.5,0.0,7.86,0.07,2.48,2.5,8.5,19.5,24.5,13.75,0.29
44,12.98,13.5,0.0,7.72,0.12,2.46,2.5,7.5,18.5,23.5,12.95,0.29
45,12.16,12.5,0.0,7.56,0.18,2.46,1.5,6.5,18.5,22.5,12.16,0.28
46,11.33,11.5,0.0,7.4,0.24,2.46,0.0,5.5,17.5,21.5,11.35,0.28
47,10.51,10.5,0.0,7.21,0.31,2.48,0.0,5.5,16.5,20.5,10.49,0.24
48,9.73,10.5,0.0,7.02,0.38,2.52,0.0,4.5,15.5,19.5,9.73,0.27
49,8.96,9.5,0.0,6.81,0.46,2.58,0.0,3.5,14.5,18.5,8.96,0.27
50,8.18,8.5,0.0,6.57,0.55,2.67,0.0,2.5,13.5,17.5,8.17,0.24
