age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
20,37.36,39.5,40.0,9.51,-0.89,4.53,26.5,32.5,44.5,48.5,37.33,0.32
21,36.48,38.5,40.0,9.43,-0.86,4.42,25.5,31.5,43.5,47.5,36.44,0.33
22,35.58,37.5,39.0,9.34,-0.82,4.3,24.5,31.5,42.5,46.5,35.55,0.33
23,34.67,36.5,38.0,9.25,-0.78,4.18,23.5,30.5,41.5,45.5,34.62,0.31
24,33.74,35.5,37.0,9.17,-0.74,4.06,22.5,29.5,40.5,44.5,33.7,0.35
25,32.8,34.5,36.0,9.08,-0.71,3.94,21.5,28.5,39.5,43.5,32.73,0.36
26,31.85,33.5,35.0,9.0,-0.67,3.83,20.5,27.5,38.5,42.5,31.8,0.36
27,30.89,32.5,34.0,8.93,-0.63,3.72,19.5,26.5,37.5,41.5,30.84,0.38
28,29.92,31.5,33.0,8.86,-0.6,3.61,18.5,25.5,36.5,40.5,29.9,0.39
29,28.95,30.5,32.0,8.79,-0.56,3.51,17.5,24.5,35.5,39.5,28.97,0.41
30,27.97,29.5,31.0,8.72,-0.53,3.42,17.5,23.5,34.5,38.5,27.97,0.4
31,26.99,28.5,30.0,8.66,-0.49,3.33,16.5,22.5,33.5,37.5,26.99,0.38
32,26.0,27.5,29.0,8.6,-0.46,3.24,15.5,21.5,32.5,36.5,25.96,0.4
33,25.01,26.5,28.0,8.55,-0.43,3.16,14.5,20.5,31.5,35.5,24.96,0.42
34,24.01,25.5,27.0,8.49,-0.39,3.09,13.5,19.5,30.5,34.5,23.99,0.42
35,23.01,24.5,26.0,8.44,-0.36,3.01,12.5,18.5,29.5,33.5,22.98,0.42
36,22.0,23.5,24.0,8.38,-0.33,2.94,11.5,17.5,28.5,32.5,21.97,0.43
37,20.99,22.5,23.0,8.32,-0.29,2.87,10.5,16.5,27.5,31.5,20.96,0.41
38,19.99,21.5,22.0,8.26,-0.26,2.8,9.5,15.5,26.5,30.5,20.03,0.41
39,18.99,20.5,21.0,8.2,-0.22,2.73,8.5,14.5,25.5,29.5,18.97,0.42
40,18.0,19.5,20.0,8.12,-0.18,2.67,7.5,13.5,24.5,28.5,17.97,0.49
41,17.02,18.5,19.0,8.04,-0.14,2.61,6.5,12.5,23.5,27.5,16.99,0.49
42,16.05,17.5,18.0,7.95,-0.09,2.55,5.5,11.5,22.5,26.5,15.98,0.49
43,15.09,15.5,17.0,7.84,-0.05,2.5,4.5,10.5,21.5,25.5,15.04,0.46
44,14.15,14.5,0.0,7.73,0.01,2.46,3.5,9.5,20.5,24.5,14.09,0.46
45,13.23,13.5,0.0,7.6,0.06,2.43,2.5,8.5,19.5,23.5,13.15,0.47
46,12.32,12.5,0.0,7.45,0.12,2.4,1.5,7.5,18.5,22.5,12.31,0.45
47,11.44,12.5,0.0,7.29,0.19,2.4,1.5,6.5,17.5,21.5,11.43,0.44
48,10.57,11.5,0.0,7.12,0.26,2.4,0.0,5.5,16.5,20.5,10.57,0.44
49,9.73,10.5,0.0,6.92,0.34,2.43,0.0,4.5,15.5,19.5,9.75,0.43
50,8.91,9.5,0.0,6.71,0.42,2.48,0.0,3.5,14.5,18.5,8.92,0.41
51,8.1,8.5,0.0,6.47,0.51,2.57,0.0,2.5,13.5,17.5,8.09,0.4
52,7.31,7.5,0.0,6.21,0.62,2.69,0.0,2.5,12.5,16.5,7.3,0.38
53,6.55,6.5,0.0,5.92,0.73,2.86,0.0,1.5,11.5,15.5,6.51,0.33
54,5.83,5.5,0.0,5.62,0.84,3.09,0.0,0.0,10.5,14.5,5.82,0.31
55,5.16,4.5,0.0,5.3,0.97,3.36,0.0,0.0,9.5,13.5,5.15,0.26
56,4.56,3.5,0.0,4.97,1.09,3.69,0.0,0.0,8.5,12.5,4.54,0.21
57,4.04,2.5,0.0,4.66,1.21,4.05,0.0,0.0,7.5,11.5,4.03,0.2
58,3.6,2.5,0.0,4.37,1.33,4.43,0.0,0.0,6.5,10.5,3.58,0.18
59,3.21,1.5,0.0,4.1,1.44,4.83,0.0,0.0,5.5,9.5,3.21,0.17
60,2.87,1.5,0.0,3.85,1.56,5.28,0.0,0.0,5.5,9.5,2.87,0.17
61,2.56,1.5,0.0,3.6,1.67,5.77,0.0,0.0,4.5,8.5,2.56,0.15
62,2.27,0.0,0.0,3.36,1.8,6.32,0.0,0.0,4.5,7.5,2.27,0.14
63,2.02,0.0,0.0,3.14,1.92,6.91,0.0,0.0,3.5,7.5,2.01,0.12
64,1.8,0.0,0.0,2.94,2.04,7.53,0.0,0.0,3.5,6.5,1.79,0.11
65,1.62,0.0,0.0,2.76,2.16,8.17,0.0,0.0,2.5,6.5,1.62,0.1
66,1.46,0.0,0.0,2.6,2.28,8.82,0.0,0.0,2.5,5.5,1.46,0.1
67,1.32,0.0,0.0,2.45,2.39,9.52,0.0,0.0,2.5,5.5,1.32,0.09
68,1.19,0.0,0.0,2.3,2.53,10.35,0.0,0.0,1.5,4.5,1.19,0.09
69,1.05,0.0,0.0,2.15,2.68,11.4,0.0,0.0,1.5,4.5,1.06,0.08
70,0.92,0.0,0.0,1.99,2.88,12.74,0.0,0.0,1.5,3.5,0.93,0.08
71,0.79,0.0,0.0,1.83,3.09,14.41,0.0,0.0,0.0,3.5,0.79,0.07
72,0.67,0.0,0.0,1.67,3.33,16.33,0.0,0.0,0.0,3.5,0.67,0.07
73,0.58,0.0,0.0,1.53,3.57,18.46,0.0,0.0,0.0,2.5,0.58,0.06
74,0.5,0.0,0.0,1.4,3.82,20.83,0.0,0.0,0.0,2.5,0.5,0.06
75,0.43,0.0,0.0,1.28,4.08,23.45,0.0,0.0,0.0,2.5,0.43,0.05
