age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
21,38.65,40.5,41.0,8.87,-1.26,5.9,28.5,35.5,44.5,48.5,38.7,0.44
22,37.7,39.5,40.0,8.77,-1.21,5.72,27.5,34.5,43.5,47.5,37.78,0.47
23,36.74,38.5,39.0,8.67,-1.16,5.54,26.5,33.5,42.5,46.5,36.73,0.42
24,35.79,37.5,38.0,8.57,-1.12,5.36,25.5,32.5,41.5,45.5,35.76,0.43
25,34.84,36.5,37.0,8.47,-1.07,5.17,24.5,31.5,40.5,44.5,34.86,0.4
26,33.88,35.5,36.0,8.38,-1.02,5.0,24.5,30.5,39.5,43.5,33.89,0.45
27,32.91,34.5,35.0,8.28,-0.97,4.82,23.5,29.5,38.5,42.5,32.91,0.46
28,31.95,33.5,34.0,8.2,-0.92,4.65,22.5,28.5,37.5,41.5,31.92,0.5
29,30.97,32.5,33.0,8.11,-0.87,4.49,21.5,27.5,36.5,40.5,31.0,0.45
30,30.0,31.5,32.0,8.03,-0.82,4.33,20.5,26.5,35.5,39.5,29.99,0.42
31,29.02,30.5,31.0,7.95,-0.77,4.18,19.5,25.5,34.5,38.5,29.08,0.43
32,28.04,29.5,30.0,7.87,-0.73,4.04,18.5,24.5,33.5,37.5,28.11,0.45
33,27.06,28.5,29.0,7.8,-0.68,3.9,17.5,23.5,32.5,36.5,27.14,0.51
34,26.07,27.5,28.0,7.73,-0.64,3.77,16.5,22.5,31.5,35.5,26.06,0.52
35,25.07,26.5,27.0,7.67,-0.6,3.65,15.5,21.5,30.5,34.5,25.09,0.51
36,24.07,25.5,26.0,7.61,-0.55,3.53,14.5,20.5,29.5,33.5,24.08,0.5
37,23.06,24.5,25.0,7.55,-0.51,3.43,13.5,19.5,28.5,32.5,23.04,0.49
38,22.05,23.5,24.0,7.5,-0.47,3.32,12.5,18.5,27.5,31.5,22.06,0.51
39,21.03,22.5,23.0,7.44,-0.43,3.23,11.5,17.5,26.5,30.5,21.02,0.52
40,20.02,21.5,22.0,7.39,-0.39,3.13,10.5,16.5,25.5,29.5,19.97,0.54
41,19.01,20.5,21.0,7.33,-0.35,3.04,9.5,15.5,24.5,28.5,19.02,0.5
42,18.0,19.5,20.0,7.27,-0.31,2.95,8.5,14.5,23.5,27.5,18.0,0.51
43,17.0,18.5,19.0,7.21,-0.27,2.87,7.5,13.5,22.5,26.5,17.02,0.52
44,16.0,17.5,18.0,7.14,-0.22,2.78,6.5,11.5,21.5,25.5,15.99,0.49
45,15.0,16.5,17.0,7.06,-0.16,2.71,5.5,10.5,20.5,24.5,15.01,0.5
46,14.01,14.5,16.0,6.97,-0.11,2.63,4.5,9.5,19.5,23.5,13.97,0.48
47,13.02,13.5,15.0,6.86,-0.04,2.57,3.5,8.5,18.5,22.5,13.02,0.5
48,12.05,12.5,0.0,6.74,0.03,2.52,2.5,7.5,17.5,21.5,12.04,0.46
49,11.09,11.5,0.0,6.6,0.11,2.49,1.5,6.5,16.5,20.5,11.07,0.48
50,10.15,10.5,0.0,6.43,0.19,2.47,1.5,5.5,15.5,19.5,10.1,0.49
51,9.25,9.5,0.0,6.25,0.28,2.49,0.0,4.5,14.5,17.5,9.25,0.48
52,8.38,8.5,0.0,6.04,0.38,2.53,0.0,3.5,13.5,16.5,8.38,0.44
53,7.55,7.5,0.0,5.82,0.48,2.62,0.0,2.5,12.5,15.5,7.56,0.42
54,6.75,6.5,0.0,5.57,0.59,2.74,0.0,2.5,11.5,14.5,6.79,0.4
55,6.0,5.5,0.0,5.31,0.71,2.92,0.0,1.5,10.5,13.5,6.0,0.37
56,5.28,4.5,0.0,5.02,0.84,3.16,0.0,0.0,9.5,12.5,5.27,0.34
57,4.62,4.5,0.0,4.73,0.98,3.46,0.0,0.0,8.5,11.5,4.61,0.3
58,4.02,3.5,0.0,4.42,1.13,3.84,0.0,0.0,7.5,10.5,3.97,0.27
59,3.48,2.5,0.0,4.12,1.28,4.3,0.0,0.0,6.5,10.5,3.47,0.26
60,3.0,1.5,0.0,3.82,1.44,4.84,0.0,0.0,5.5,9.5,3.0,0.24
61,2.59,1.5,0.0,3.54,1.6,5.46,0.0,0.0,4.5,8.5,2.58,0.22
62,2.23,0.0,0.0,3.26,1.76,6.16,0.0,0.0,4.5,7.5,2.21,0.21
63,1.92,0.0,0.0,3.01,1.93,6.94,0.0,0.0,3.5,6.5,1.91,0.18
64,1.67,0.0,0.0,2.78,2.09,7.76,0.0,0.0,3.5,6.5,1.66,0.17
65,1.46,0.0,0.0,2.58,2.24,8.6,0.0,0.0,2.5,5.5,1.45,0.14
66,1.29,0.0,0.0,2.4,2.39,9.47,0.0,0.0,2.5,5.5,1.28,0.14
67,1.14,0.0,0.0,2.24,2.54,10.39,0.0,0.0,1.5,4.5,1.13,0.13
68,1.01,0.0,0.0,2.09,2.69,11.43,0.0,0.0,1.5,4.5,1.0,0.12
69,0.89,0.0,0.0,1.95,2.87,12.68,0.0,0.0,1.5,3.5,0.87,0.12
70,0.78,0.0,0.0,1.81,3.08,14.24,0.0,0.0,0.0,3.5,0.76,0.12
71,0.67,0.0,0.0,1.66,3.32,16.25,0.0,0.0,0.0,3.5,0.65,0.11
72,0.56,0.0,0.0,1.51,3.62,18.89,0.0,0.0,0.0,2.5,0.55,0.1
73,0.46,0.0,0.0,1.35,3.99,22.41,0.0,0.0,0.0,2.5,0.45,0.09
74,0.37,0.0,0.0,1.2,4.43,27.11,0.0,0.0,0.0,1.5,0.36,0.07
75,0.29,0.0,0.0,1.06,4.95,33.37,0.0,0.0,0.0,1.5,0.28,0.06
76,0.23,0.0,0.0,0.92,5.56,41.65,0.0,0.0,0.0,0.0,0.22,0.05
77,0.18,0.0,0.0,0.8,6.28,52.54,0.0,0.0,0.0,0.0,0.17,0.04
78,0.13,0.0,0.0,0.68,7.09,66.49,0.0,0.0,0.0,0.0,0.14,0.03
79,0.1,0.0,0.0,0.58,7.99,84.19,0.0,0.0,0.0,0.0,0.1,0.0
80,0.08,0.0,0.0,0.49,8.97,105.73,0.0,0.0,0.0,0.0,0.08,0.0
81,0.06,0.0,0.0,0.42,9.91,128.81,0.0,0.0,0.0,0.0,0.06,0.0
82,0.05,0.0,0.0,0.37,10.58,146.3,0.0,0.0,0.0,0.0,0.05,0.0
83,0.04,0.0,0.0,0.35,10.78,151.34,0.0,0.0,0.0,0.0,0.05,0.0
84,0.05,0.0,0.0,0.35,10.56,145.16,0.0,0.0,0.0,0.0,0.05,0.0
85,0.05,0.0,0.0,0.36,10.28,137.58,0.0,0.0,0.0,0.0,0.05,0.0
86,0.05,0.0,0.0,0.35,10.33,138.88,0.0,0.0,0.0,0.0,0.05,0.0
87,0.04,0.0,0.0,0.32,10.86,153.41,0.0,0.0,0.0,0.0,0.04,0.0
88,0.03,0.0,0.0,0.29,11.73,178.47,0.0,0.0,0.0,0.0,0.03,0.0
89,0.03,0.0,0.0,0.26,12.67,208.26,0.0,0.0,0.0,0.0,0.03,0.0
90,0.02,0.0,0.0,0.23,13.7,243.03,0.0,0.0,0.0,0.0,0.02,0.0
