age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
22,39.55,41.5,42.0,9.12,-1.27,6.02,29.5,36.5,45.5,49.5,39.54,0.26
23,38.63,40.5,41.0,9.02,-1.22,5.84,28.5,35.5,44.5,48.5,38.61,0.24
24,37.67,39.5,40.0,8.91,-1.17,5.66,27.5,34.5,43.5,47.5,37.66,0.31
25,36.7,38.5,39.0,8.81,-1.12,5.48,26.5,33.5,42.5,46.5,36.7,0.29
26,35.73,37.5,38.0,8.71,-1.07,5.3,25.5,32.5,41.5,45.5,35.73,0.39
27,34.75,36.5,37.0,8.62,-1.01,5.12,24.5,31.5,40.5,44.5,34.73,0.32
28,33.76,35.5,36.0,8.53,-0.96,4.95,23.5,30.5,39.5,43.5,33.72,0.36
29,32.76,34.5,35.0,8.45,-0.91,4.78,22.5,29.5,38.5,42.5,32.71,0.38
30,31.76,33.5,34.0,8.37,-0.86,4.61,21.5,28.5,37.5,41.5,31.67,0.32
31,30.74,32.5,33.0,8.3,-0.81,4.44,20.5,27.5,36.5,40.5,30.69,0.33
32,29.71,31.5,32.0,8.23,-0.76,4.28,19.5,26.5,35.5,39.5,29.64,0.39
33,28.68,30.5,30.0,8.17,-0.71,4.13,18.5,25.5,34.5,38.5,28.61,0.41
34,27.63,28.5,29.0,8.11,-0.67,3.98,17.5,23.5,33.5,37.5,27.54,0.45
35,26.58,27.5,28.0,8.07,-0.62,3.84,16.5,22.5,32.5,36.5,26.48,0.47
36,25.51,26.5,27.0,8.02,-0.57,3.7,15.5,21.5,31.5,35.5,25.47,0.45
37,24.44,25.5,26.0,7.98,-0.53,3.57,14.5,20.5,30.5,34.5,24.42,0.46
38,23.35,24.5,25.0,7.94,-0.48,3.45,13.5,19.5,29.5,33.5,23.38,0.43
39,22.27,23.5,24.0,7.9,-0.44,3.33,12.5,18.5,27.5,32.5,22.31,0.43
40,21.19,22.5,23.0,7.85,-0.39,3.23,11.5,17.5,26.5,31.5,21.22,0.43
41,20.13,21.5,22.0,7.8,-0.35,3.12,10.5,16.5,25.5,29.5,20.11,0.45
42,19.08,20.5,21.0,7.74,-0.3,3.03,9.5,14.5,24.5,28.5,18.99,0.46
43,18.05,19.5,20.0,7.66,-0.25,2.94,7.5,13.5,23.5,27.5,17.99,0.45
44,17.04,18.5,19.0,7.58,-0.2,2.86,7.5,12.5,22.5,26.5,17.0,0.48
45,16.05,17.5,18.0,7.49,-0.14,2.79,6.5,11.5,21.5,25.5,15.99,0.5
46,15.07,16.5,17.0,7.38,-0.09,2.73,5.5,10.5,20.5,24.5,15.01,0.53
47,14.12,14.5,16.0,7.27,-0.03,2.68,4.5,9.5,19.5,23.5,14.05,0.44
48,13.18,13.5,0.0,7.14,0.03,2.64,3.5,8.5,18.5,22.5,13.12,0.42
49,12.26,12.5,0.0,7.0,0.1,2.61,2.5,7.5,17.5,21.5,12.23,0.43
50,11.36,11.5,0.0,6.84,0.17,2.59,1.5,6.5,16.5,20.5,11.31,0.44
51,10.48,10.5,0.0,6.68,0.25,2.6,1.5,5.5,15.5,19.5,10.5,0.43
52,9.62,10.5,0.0,6.5,0.33,2.62,0.0,5.5,14.5,18.5,9.65,0.4
53,8.79,9.5,0.0,6.3,0.42,2.67,0.0,4.5,13.5,17.5,8.8,0.38
54,7.98,8.5,0.0,6.09,0.52,2.76,0.0,3.5,12.5,16.5,8.0,0.37
55,7.2,7.5,0.0,5.86,0.62,2.87,0.0,2.5,11.5,15.5,7.2,0.35
56,6.46,6.5,0.0,5.62,0.73,3.03,0.0,1.5,10.5,14.5,6.43,0.32
57,5.74,5.5,0.0,5.37,0.85,3.25,0.0,1.5,9.5,13.5,5.73,0.29
58,5.04,4.5,0.0,5.09,0.99,3.54,0.0,0.0,8.5,12.5,5.05,0.24
59,4.38,3.5,0.0,4.79,1.14,3.93,0.0,0.0,7.5,11.5,4.37,0.22
60,3.76,2.5,0.0,4.46,1.31,4.43,0.0,0.0,6.5,10.5,3.75,0.19
61,3.21,1.5,0.0,4.14,1.48,5.03,0.0,0.0,5.5,9.5,3.21,0.16
62,2.75,1.5,0.0,3.83,1.65,5.7,0.0,0.0,5.5,8.5,2.75,0.15
63,2.37,0.0,0.0,3.54,1.82,6.43,0.0,0.0,4.5,8.5,2.37,0.13
64,2.07,0.0,0.0,3.28,1.97,7.16,0.0,0.0,3.5,7.5,2.07,0.13
65,1.82,0.0,0.0,3.06,2.11,7.88,0.0,0.0,3.5,6.5,1.82,0.12
66,1.64,0.0,0.0,2.87,2.23,8.55,0.0,0.0,2.5,6.5,1.63,0.12
67,1.48,0.0,0.0,2.72,2.35,9.21,0.0,0.0,2.5,5.5,1.48,0.1
68,1.34,0.0,0.0,2.57,2.47,9.93,0.0,0.0,2.5,5.5,1.34,0.1
69,1.21,0.0,0.0,2.42,2.6,10.79,0.0,0.0,1.5,5.5,1.21,0.09
70,1.08,0.0,0.0,2.27,2.75,11.82,0.0,0.0,1.5,4.5,1.08,0.09
71,0.95,0.0,0.0,2.12,2.93,13.05,0.0,0.0,1.5,4.5,0.96,0.09
72,0.83,0.0,0.0,1.96,3.13,14.59,0.0,0.0,0.0,3.5,0.83,0.09
73,0.71,0.0,0.0,1.8,3.38,16.65,0.0,0.0,0.0,3.5,0.71,0.08
74,0.59,0.0,0.0,1.62,3.68,19.37,0.0,0.0,0.0,2.5,0.59,0.07
75,0.49,0.0,0.0,1.46,4.01,22.56,0.0,0.0,0.0,2.5,0.48,0.06
76,0.42,0.0,0.0,1.32,4.32,25.8,0.0,0.0,0.0,1.5,0.41,0.05
77,0.36,0.0,0.0,1.22,4.58,28.77,0.0,0.0,0.0,1.5,0.36,0.04
78,0.32,0.0,0.0,1.13,4.82,31.59,0.0,0.0,0.0,1.5,0.32,0.03
79,0.28,0.0,0.0,1.05,5.07,34.78,0.0,0.0,0.0,1.5,0.28,0.01
80,0.24,0.0,0.0,0.96,5.39,39.09,0.0,0.0,0.0,0.0,0.24,0.01
81,0.21,0.0,0.0,0.87,5.81,45.06,0.0,0.0,0.0,0.0,0.21,0.0
82,0.17,0.0,0.0,0.78,6.3,52.51,0.0,0.0,0.0,0.0,0.17,0.0
83,0.14,0.0,0.0,0.7,6.8,60.89,0.0,0.0,0.0,0.0,0.14,0.0
84,0.12,0.0,0.0,0.63,7.29,69.83,0.0,0.0,0.0,0.0,0.12,0.0
85,0.1,0.0,0.0,0.57,7.78,79.07,0.0,0.0,0.0,0.0,0.1,0.0
86,0.09,0.0,0.0,0.52,8.26,89.11,0.0,0.0,0.0,0.0,0.09,0.0
87,0.07,0.0,0.0,0.47,8.82,101.29,0.0,0.0,0.0,0.0,0.07,0.0
88,0.06,0.0,0.0,0.43,9.45,116.06,0.0,0.0,0.0,0.0,0.06,0.0
89,0.05,0.0,0.0,0.39,10.14,133.36,0.0,0.0,0.0,0.0,0.05,0.0
90,0.04,0.0,0.0,0.35,10.88,153.41,0.0,0.0,0.0,0.0,0.04,0.0
