age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
25,37.2,38.5,39.0,8.68,-1.26,5.92,27.5,33.5,43.5,46.5,37.24,0.93
26,36.24,37.5,38.0,8.57,-1.2,5.73,26.5,32.5,42.5,45.5,36.3,0.63
27,35.27,36.5,37.0,8.47,-1.15,5.53,25.5,31.5,41.5,44.5,35.37,0.55
28,34.3,35.5,36.0,8.37,-1.1,5.34,24.5,30.5,40.5,43.5,34.34,0.57
29,33.32,34.5,35.0,8.27,-1.05,5.16,23.5,29.5,39.5,42.5,33.38,0.62
30,32.34,33.5,34.0,8.18,-0.99,4.97,22.5,28.5,38.5,41.5,32.39,0.59
31,31.36,32.5,33.0,8.09,-0.94,4.79,22.5,27.5,37.5,40.5,31.5,0.6
32,30.38,31.5,32.0,8.0,-0.89,4.62,21.5,26.5,36.5,39.5,30.43,0.73
33,29.4,30.5,31.0,7.92,-0.84,4.45,20.5,25.5,35.5,38.5,29.42,0.64
34,28.41,29.5,30.0,7.84,-0.78,4.29,19.5,24.5,34.5,37.5,28.44,0.8
35,27.42,28.5,29.0,7.76,-0.73,4.14,18.5,23.5,33.5,36.5,27.34,0.98
36,26.43,27.5,28.0,7.69,-0.69,3.99,17.5,22.5,31.5,35.5,26.22,1.25
37,25.43,26.5,27.0,7.62,-0.64,3.85,16.5,21.5,30.5,34.5,25.19,0.95
38,24.42,25.5,26.0,7.55,-0.59,3.72,15.5,20.5,29.5,33.5,24.27,0.96
39,23.41,24.5,25.0,7.49,-0.54,3.59,14.5,19.5,28.5,32.5,23.39,0.91
40,22.4,23.5,24.0,7.43,-0.5,3.47,13.5,18.5,27.5,31.5,22.26,0.84
41,21.38,22.5,23.0,7.37,-0.45,3.35,12.5,17.5,26.5,30.5,21.26,1.01
42,20.35,21.5,22.0,7.32,-0.41,3.24,11.5,16.5,25.5,29.5,20.31,0.89
43,19.33,20.5,21.0,7.26,-0.36,3.14,10.5,15.5,24.5,28.5,19.45,0.98
44,18.31,19.5,20.0,7.2,-0.31,3.04,9.5,14.5,23.5,27.5,18.34,0.79
45,17.29,18.5,19.0,7.13,-0.26,2.94,8.5,13.5,22.5,26.5,17.33,0.78
46,16.27,17.5,17.0,7.06,-0.21,2.85,7.5,12.5,21.5,25.5,16.36,0.77
47,15.25,16.5,16.0,6.98,-0.15,2.76,6.5,11.5,20.5,24.5,15.25,0.83
48,14.24,15.5,15.0,6.89,-0.09,2.69,5.5,10.5,19.5,23.5,14.27,0.88
49,13.24,14.5,14.0,6.79,-0.02,2.62,4.5,9.5,18.5,22.5,13.3,0.77
50,12.26,12.5,13.0,6.66,0.05,2.57,3.5,8.5,17.5,21.5,12.33,0.73
51,11.3,11.5,0.0,6.52,0.12,2.54,2.5,7.5,16.5,20.5,11.41,0.74
52,10.36,10.5,0.0,6.36,0.2,2.53,1.5,6.5,15.5,19.5,10.45,0.67
53,9.46,9.5,0.0,6.18,0.29,2.55,0.0,5.5,14.5,18.5,9.51,0.65
54,8.6,8.5,0.0,5.98,0.38,2.59,0.0,4.5,13.5,17.5,8.6,0.58
55,7.78,7.5,0.0,5.76,0.48,2.67,0.0,3.5,12.5,16.5,7.83,0.46
56,7.01,6.5,0.0,5.53,0.58,2.77,0.0,2.5,11.5,15.5,7.01,0.44
57,6.28,6.5,0.0,5.28,0.68,2.92,0.0,2.5,10.5,14.5,6.3,0.46
58,5.61,5.5,0.0,5.03,0.79,3.1,0.0,1.5,9.5,13.5,5.62,0.41
59,4.99,4.5,0.0,4.77,0.9,3.32,0.0,0.0,8.5,12.5,5.04,0.35
60,4.43,3.5,0.0,4.51,1.01,3.59,0.0,0.0,7.5,11.5,4.44,0.29
61,3.92,3.5,0.0,4.25,1.13,3.89,0.0,0.0,6.5,10.5,3.95,0.26
62,3.47,2.5,0.0,4.0,1.25,4.23,0.0,0.0,6.5,9.5,3.48,0.24
63,3.07,2.5,0.0,3.76,1.37,4.63,0.0,0.0,5.5,9.5,3.09,0.22
64,2.71,1.5,0.0,3.52,1.5,5.09,0.0,0.0,5.5,8.5,2.71,0.21
