age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
26,39.28,40.5,41.0,9.24,-1.23,5.74,28.5,35.5,45.5,49.5,39.26,0.73
27,38.33,39.5,40.0,9.13,-1.18,5.57,28.5,34.5,44.5,48.5,38.29,0.51
28,37.37,38.5,39.0,9.02,-1.13,5.4,27.5,33.5,43.5,47.5,37.34,0.52
29,36.4,37.5,38.0,8.91,-1.08,5.23,26.5,32.5,42.5,46.5,36.35,0.61
30,35.43,36.5,37.0,8.81,-1.03,5.06,25.5,31.5,41.5,45.5,35.4,0.56
31,34.45,35.5,36.0,8.71,-0.98,4.89,24.5,30.5,40.5,44.5,34.35,0.81
32,33.47,34.5,35.0,8.61,-0.93,4.73,23.5,29.5,39.5,43.5,33.43,0.89
33,32.48,33.5,34.0,8.52,-0.88,4.57,22.5,28.5,38.5,42.5,32.52,0.56
34,31.49,32.5,33.0,8.43,-0.83,4.42,21.5,27.5,37.5,41.5,31.5,0.65
35,30.49,31.5,32.0,8.34,-0.78,4.27,20.5,26.5,36.5,40.5,30.47,0.66
36,29.49,30.5,31.0,8.26,-0.73,4.13,19.5,25.5,35.5,39.5,29.39,0.71
37,28.48,29.5,30.0,8.18,-0.69,4.0,18.5,24.5,34.5,38.5,28.34,0.98
38,27.47,28.5,29.0,8.1,-0.64,3.87,17.5,23.5,33.5,37.5,27.32,1.11
39,26.45,27.5,28.0,8.03,-0.59,3.74,16.5,22.5,32.5,36.5,26.2,1.55
40,25.43,26.5,27.0,7.96,-0.55,3.63,15.5,21.5,31.5,35.5,25.25,1.32
41,24.4,25.5,26.0,7.89,-0.5,3.51,14.5,20.5,30.5,34.5,24.44,1.65
42,23.37,24.5,25.0,7.84,-0.46,3.41,13.5,19.5,29.5,33.5,23.23,1.28
43,22.33,23.5,23.0,7.78,-0.42,3.31,12.5,18.5,28.5,32.5,22.32,1.14
44,21.27,22.5,22.0,7.74,-0.38,3.21,11.5,17.5,26.5,31.5,21.26,1.19
45,20.2,21.5,21.0,7.7,-0.34,3.11,10.5,16.5,25.5,30.5,20.22,1.11
46,19.12,20.5,20.0,7.67,-0.29,3.01,9.5,15.5,24.5,28.5,19.15,0.97
47,18.03,18.5,19.0,7.63,-0.25,2.91,8.5,13.5,23.5,27.5,18.1,1.05
48,16.92,17.5,18.0,7.6,-0.2,2.81,6.5,12.5,22.5,26.5,16.94,1.32
49,15.8,16.5,17.0,7.56,-0.14,2.71,5.5,11.5,21.5,25.5,15.86,1.05
50,14.67,15.5,16.0,7.52,-0.08,2.61,4.5,10.5,20.5,24.5,14.6,1.16
51,13.53,14.5,0.0,7.45,-0.0,2.52,3.5,8.5,19.5,23.5,13.45,1.09
52,12.39,13.5,0.0,7.35,0.08,2.45,1.5,7.5,18.5,22.5,12.36,1.16
53,11.25,11.5,0.0,7.22,0.18,2.42,0.0,6.5,16.5,21.5,11.22,1.25
54,10.14,10.5,0.0,7.05,0.29,2.42,0.0,4.5,15.5,20.5,10.11,1.12
55,9.07,9.5,0.0,6.83,0.4,2.47,0.0,3.5,14.5,18.5,9.02,1.06
56,8.06,7.5,0.0,6.57,0.53,2.57,0.0,2.5,13.5,17.5,8.01,1.02
57,7.12,6.5,0.0,6.28,0.66,2.73,0.0,1.5,11.5,16.5,7.13,0.85
58,6.27,5.5,0.0,5.95,0.79,2.95,0.0,0.0,10.5,15.5,6.19,0.64
59,5.5,4.5,0.0,5.61,0.93,3.23,0.0,0.0,9.5,14.5,5.46,0.61
60,4.83,3.5,0.0,5.27,1.06,3.55,0.0,0.0,8.5,13.5,4.8,0.49
61,4.24,3.5,0.0,4.93,1.19,3.91,0.0,0.0,7.5,12.5,4.18,0.42
62,3.74,2.5,0.0,4.61,1.31,4.29,0.0,0.0,6.5,11.5,3.72,0.37
63,3.34,1.5,0.0,4.32,1.42,4.68,0.0,0.0,6.5,10.5,3.34,0.32
64,3.0,1.5,0.0,4.07,1.52,5.06,0.0,0.0,5.5,9.5,2.98,0.31
65,2.72,1.5,0.0,3.85,1.62,5.45,0.0,0.0,5.5,8.5,2.73,0.29
66,2.46,0.0,0.0,3.64,1.73,5.88,0.0,0.0,4.5,8.5,2.47,0.26
67,2.21,0.0,0.0,3.43,1.84,6.38,0.0,0.0,4.5,7.5,2.22,0.25
68,1.98,0.0,0.0,3.23,1.97,6.98,0.0,0.0,3.5,7.5,1.99,0.23
69,1.75,0.0,0.0,3.02,2.11,7.72,0.0,0.0,3.5,6.5,1.78,0.21
70,1.52,0.0,0.0,2.81,2.29,8.67,0.0,0.0,2.5,6.5,1.55,0.2
71,1.3,0.0,0.0,2.59,2.5,9.91,0.0,0.0,1.5,5.5,1.32,0.18
72,1.09,0.0,0.0,2.36,2.75,11.55,0.0,0.0,1.5,4.5,1.11,0.17
73,0.9,0.0,0.0,2.13,3.06,13.76,0.0,0.0,0.0,4.5,0.92,0.15
74,0.72,0.0,0.0,1.89,3.42,16.69,0.0,0.0,0.0,3.5,0.75,0.14
75,0.57,0.0,0.0,1.67,3.85,20.57,0.0,0.0,0.0,2.5,0.59,0.12
76,0.45,0.0,0.0,1.46,4.35,25.7,0.0,0.0,0.0,1.5,0.46,0.1
77,0.34,0.0,0.0,1.26,4.93,32.48,0.0,0.0,0.0,1.5,0.35,0.07
78,0.26,0.0,0.0,1.09,5.61,41.48,0.0,0.0,0.0,0.0,0.26,0.05
79,0.2,0.0,0.0,0.93,6.4,53.39,0.0,0.0,0.0,0.0,0.2,0.01
80,0.15,0.0,0.0,0.78,7.31,69.13,0.0,0.0,0.0,0.0,0.15,0.0
81,0.11,0.0,0.0,0.66,8.32,89.26,0.0,0.0,0.0,0.0,0.11,0.0
82,0.08,0.0,0.0,0.56,9.36,112.86,0.0,0.0,0.0,0.0,0.08,0.0
83,0.06,0.0,0.0,0.48,10.25,135.05,0.0,0.0,0.0,0.0,0.06,0.0
84,0.06,0.0,0.0,0.45,10.7,146.93,0.0,0.0,0.0,0.0,0.06,0.0
85,0.05,0.0,0.0,0.43,10.81,149.83,0.0,0.0,0.0,0.0,0.05,0.0
86,0.05,0.0,0.0,0.41,11.06,156.86,0.0,0.0,0.0,0.0,0.05,0.0
87,0.04,0.0,0.0,0.37,11.81,178.67,0.0,0.0,0.0,0.0,0.04,0.0
88,0.03,0.0,0.0,0.33,12.95,214.69,0.0,0.0,0.0,0.0,0.03,0.0
89,0.03,0.0,0.0,0.29,14.24,259.57,0.0,0.0,0.0,0.0,0.03,0.0
90,0.02,0.0,0.0,0.25,15.67,314.38,0.0,0.0,0.0,0.0,0.02,0.0
