age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,35.71,36.5,38.5,9.62,-0.4,3.24,23.5,29.5,42.5,47.5,35.71,0.15
19,35.06,35.5,37.5,9.56,-0.4,3.22,22.5,29.5,41.5,46.5,35.06,0.15
20,34.4,35.5,36.5,9.49,-0.39,3.2,21.5,28.5,41.5,45.5,34.39,0.14
21,33.72,34.5,36.5,9.43,-0.38,3.18,21.5,27.5,40.5,45.5,33.71,0.14
22,33.03,33.5,35.5,9.35,-0.38,3.15,20.5,27.5,39.5,44.5,33.02,0.14
23,32.33,33.5,35.5,9.28,-0.37,3.13,19.5,26.5,38.5,43.5,32.32,0.14
24,31.61,32.5,34.5,9.2,-0.36,3.11,19.5,25.5,38.5,42.5,31.6,0.13
25,30.89,31.5,33.5,9.12,-0.35,3.08,18.5,25.5,37.5,41.5,30.88,0.13
26,30.15,30.5,33.5,9.04,-0.34,3.06,18.5,24.5,36.5,41.5,30.14,0.13
27,29.42,30.5,32.5,8.96,-0.33,3.04,17.5,23.5,35.5,40.5,29.41,0.13
28,28.69,29.5,31.5,8.87,-0.32,3.02,16.5,23.5,34.5,39.5,28.69,0.13
29,27.96,28.5,31.5,8.78,-0.3,2.99,16.5,22.5,34.5,38.5,27.96,0.13
30,27.22,27.5,30.5,8.68,-0.29,2.97,15.5,21.5,33.5,37.5,27.22,0.13
31,26.48,27.5,29.5,8.59,-0.28,2.96,14.5,20.5,32.5,36.5,26.47,0.12
32,25.74,26.5,28.5,8.49,-0.27,2.94,14.5,20.5,31.5,36.5,25.73,0.12
33,25.01,25.5,27.5,8.39,-0.25,2.92,13.5,19.5,30.5,35.5,25.0,0.12
34,24.29,24.5,26.5,8.28,-0.24,2.9,13.5,18.5,30.5,34.5,24.29,0.12
35,23.57,24.5,26.5,8.16,-0.22,2.89,12.5,18.5,29.5,33.5,23.57,0.12
36,22.85,23.5,25.5,8.04,-0.2,2.87,11.5,17.5,28.5,32.5,22.85,0.12
37,22.13,22.5,24.5,7.92,-0.18,2.86,11.5,16.5,27.5,31.5,22.13,0.11
38,21.4,21.5,23.5,7.8,-0.16,2.84,10.5,16.5,26.5,30.5,21.39,0.11
39,20.66,21.5,22.5,7.68,-0.14,2.83,10.5,15.5,25.5,30.5,20.65,0.11
40,19.92,20.5,21.5,7.55,-0.11,2.82,9.5,14.5,25.5,29.5,19.9,0.11
41,19.17,19.5,20.5,7.43,-0.09,2.81,9.5,14.5,24.5,28.5,19.15,0.11
42,18.42,18.5,20.5,7.31,-0.06,2.8,8.5,13.5,23.5,27.5,18.41,0.11
43,17.69,18.5,19.5,7.18,-0.04,2.8,7.5,12.5,22.5,26.5,17.68,0.1
44,16.98,17.5,18.5,7.03,-0.01,2.8,7.5,12.5,21.5,25.5,16.97,0.1
45,16.28,16.5,17.5,6.88,0.03,2.8,6.5,11.5,20.5,24.5,16.27,0.11
46,15.59,15.5,16.5,6.72,0.06,2.81,6.5,10.5,20.5,24.5,15.58,0.1
47,14.9,15.5,15.5,6.57,0.1,2.83,6.5,10.5,19.5,23.5,14.89,0.1
48,14.2,14.5,14.5,6.41,0.15,2.85,5.5,9.5,18.5,22.5,14.18,0.1
49,13.5,13.5,13.5,6.25,0.19,2.87,5.5,9.5,17.5,21.5,13.48,0.1
50,12.81,12.5,13.5,6.09,0.24,2.9,4.5,8.5,16.5,20.5,12.79,0.1
51,12.13,12.5,12.5,5.93,0.29,2.95,4.5,7.5,15.5,19.5,12.11,0.09
52,11.46,11.5,11.5,5.76,0.34,3.0,3.5,7.5,15.5,18.5,11.45,0.08
53,10.82,10.5,10.5,5.58,0.4,3.07,3.5,6.5,14.5,18.5,10.81,0.08
54,10.18,9.5,9.5,5.41,0.47,3.15,3.5,6.5,13.5,17.5,10.18,0.07
55,9.56,9.5,8.5,5.23,0.54,3.24,2.5,5.5,12.5,16.5,9.55,0.07
56,8.95,8.5,8.5,5.05,0.61,3.35,2.5,5.5,12.5,15.5,8.94,0.07
57,8.34,7.5,7.5,4.88,0.69,3.47,2.5,4.5,11.5,14.5,8.33,0.07
58,7.73,7.5,6.5,4.72,0.76,3.6,2.5,4.5,10.5,14.5,7.73,0.07
59,7.15,6.5,5.5,4.57,0.84,3.74,1.5,3.5,9.5,13.5,7.15,0.07
60,6.61,5.5,4.5,4.41,0.91,3.89,1.5,3.5,9.5,12.5,6.6,0.07
61,6.12,5.5,3.5,4.26,0.99,4.06,1.5,2.5,8.5,11.5,6.11,0.07
62,5.68,4.5,3.5,4.11,1.06,4.23,1.5,2.5,7.5,11.5,5.67,0.08
63,5.28,4.5,2.5,3.97,1.13,4.41,0.5,2.5,7.5,10.5,5.27,0.08
64,4.92,4.5,1.5,3.83,1.19,4.58,0.5,1.5,6.5,10.5,4.91,0.07
65,4.62,3.5,0.5,3.71,1.24,4.73,0.5,1.5,6.5,9.5,4.61,0.07
66,4.37,3.5,0.5,3.59,1.28,4.87,0.5,1.5,6.5,9.5,4.37,0.08
67,4.17,3.5,0.5,3.47,1.32,4.99,0.5,1.5,5.5,8.5,4.17,0.08
68,3.99,3.5,0.5,3.36,1.35,5.12,0.5,1.5,5.5,8.5,3.98,0.09
69,3.82,2.5,0.5,3.25,1.38,5.24,0.5,1.5,5.5,8.5,3.8,0.09
70,3.67,2.5,0.5,3.15,1.41,5.35,0.5,1.5,5.5,8.5,3.66,0.1
71,3.52,2.5,0.5,3.05,1.43,5.46,0.5,1.5,5.5,7.5,3.52,0.1
72,3.38,2.5,0.5,2.95,1.46,5.57,0.5,1.5,4.5,7.5,3.37,0.1
73,3.25,2.5,0.5,2.86,1.48,5.67,0.5,1.5,4.5,7.5,3.23,0.11
74,3.13,2.5,0.5,2.77,1.51,5.77,0.5,1.5,4.5,6.5,3.12,0.12
75,3.02,2.5,0.5,2.68,1.53,5.85,0.5,0.5,4.5,6.5,3.0,0.12
76,2.91,2.5,0.5,2.59,1.54,5.93,0.5,0.5,4.5,6.5,2.9,0.13
77,2.81,2.5,0.5,2.51,1.56,6.0,0.5,0.5,3.5,6.5,2.8,0.13
78,2.71,1.5,0.5,2.43,1.57,6.06,0.5,0.5,3.5,6.5,2.7,0.14
79,2.62,1.5,0.5,2.35,1.58,6.11,0.5,0.5,3.5,5.5,2.62,0.11
80,2.53,1.5,0.5,2.28,1.59,6.16,0.5,0.5,3.5,5.5,2.52,0.11
81,2.45,1.5,0.5,2.2,1.61,6.23,0.5,0.5,3.5,5.5,2.43,0.11
82,2.36,1.5,0.5,2.12,1.62,6.3,0.5,0.5,3.5,5.5,2.35,0.1
83,2.27,1.5,0.5,2.05,1.64,6.38,0.5,0.5,3.5,5.5,2.27,0.09
84,2.19,1.5,0.5,1.98,1.65,6.45,0.5,0.5,3.5,4.5,2.18,0.1
85,2.11,1.5,0.5,1.91,1.67,6.5,0.5,0.5,2.5,4.5,2.11,0.1
86,2.04,1.5,0.5,1.84,1.68,6.56,0.5,0.5,2.5,4.5,2.04,0.09
87,1.96,1.5,0.5,1.77,1.69,6.61,0.5,0.5,2.5,4.5,1.96,0.09
88,1.89,1.5,0.5,1.71,1.7,6.65,0.5,0.5,2.5,4.5,1.9,0.09
89,1.83,1.5,0.5,1.65,1.71,6.68,0.5,0.5,2.5,4.5,1.82,0.08
90,1.76,1.5,0.5,1.58,1.72,6.73,0.5,0.5,2.5,3.5,1.77,0.08
