age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,19.55,18.5,17.5,9.2,0.39,2.82,8.5,12.5,25.5,32.5,19.6,1.19
19,19.2,18.5,16.5,9.15,0.4,2.82,7.5,12.5,25.5,31.5,19.26,1.19
20,18.85,18.5,16.5,9.09,0.4,2.82,7.5,12.5,24.5,31.5,18.91,1.16
21,18.5,17.5,16.5,9.03,0.41,2.81,7.5,11.5,24.5,30.5,18.56,1.17
22,18.15,17.5,15.5,8.97,0.41,2.81,6.5,11.5,24.5,30.5,18.16,1.16
23,17.8,17.5,15.5,8.91,0.42,2.81,6.5,11.5,23.5,29.5,17.86,1.03
24,17.46,16.5,14.5,8.84,0.43,2.81,6.5,10.5,23.5,29.5,17.5,1.04
25,17.11,16.5,14.5,8.77,0.43,2.8,6.5,10.5,22.5,29.5,17.13,1.1
26,16.77,16.5,14.5,8.7,0.44,2.8,5.5,10.5,22.5,28.5,16.83,1.0
27,16.43,15.5,13.5,8.62,0.45,2.8,5.5,9.5,22.5,28.5,16.48,0.97
28,16.1,15.5,13.5,8.55,0.45,2.8,5.5,9.5,21.5,27.5,16.16,0.98
29,15.76,14.5,13.5,8.46,0.46,2.79,5.5,9.5,21.5,27.5,15.81,1.01
30,15.43,14.5,12.5,8.38,0.47,2.79,4.5,9.5,21.5,26.5,15.44,1.04
31,15.09,14.5,12.5,8.29,0.47,2.79,4.5,8.5,20.5,26.5,15.08,1.08
32,14.76,13.5,11.5,8.19,0.48,2.79,4.5,8.5,20.5,26.5,14.74,0.99
33,14.42,13.5,11.5,8.09,0.49,2.78,4.5,8.5,19.5,25.5,14.43,0.94
34,14.08,13.5,10.5,7.99,0.5,2.78,4.5,7.5,19.5,25.5,14.11,0.9
35,13.73,12.5,10.5,7.88,0.51,2.78,3.5,7.5,19.5,24.5,13.81,0.83
36,13.38,12.5,9.5,7.77,0.51,2.78,3.5,7.5,18.5,24.5,13.47,0.78
37,13.04,12.5,9.5,7.66,0.52,2.78,3.5,7.5,18.5,23.5,13.11,0.76
38,12.68,11.5,8.5,7.54,0.53,2.78,3.5,6.5,17.5,23.5,12.75,0.74
39,12.33,11.5,8.5,7.42,0.54,2.78,3.5,6.5,17.5,22.5,12.37,0.72
40,11.96,11.5,7.5,7.3,0.55,2.77,2.5,6.5,16.5,22.5,12.05,0.72
41,11.6,10.5,6.5,7.19,0.56,2.77,2.5,5.5,16.5,21.5,11.68,0.64
42,11.24,10.5,6.5,7.06,0.56,2.77,2.5,5.5,16.5,21.5,11.34,0.66
43,10.9,10.5,5.5,6.94,0.57,2.77,2.5,5.5,15.5,20.5,11.02,0.64
44,10.59,9.5,4.5,6.81,0.57,2.76,2.5,5.5,15.5,20.5,10.67,0.62
45,10.3,9.5,4.5,6.67,0.56,2.77,2.5,4.5,14.5,19.5,10.38,0.61
46,10.04,9.5,3.5,6.51,0.56,2.78,1.5,4.5,14.5,19.5,10.12,0.67
47,9.79,9.5,3.5,6.35,0.55,2.79,1.5,4.5,14.5,18.5,9.86,0.66
48,9.56,8.5,3.5,6.16,0.55,2.83,1.5,4.5,13.5,17.5,9.63,0.59
49,9.31,8.5,8.5,5.97,0.56,2.88,1.5,4.5,13.5,17.5,9.38,0.6
50,9.04,8.5,8.5,5.76,0.57,2.95,1.5,4.5,12.5,16.5,9.09,0.57
51,8.74,8.5,7.5,5.55,0.6,3.03,1.5,4.5,12.5,16.5,8.79,0.53
