age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,22.01,21.5,20.5,8.76,0.27,2.86,10.5,15.5,27.5,33.5,21.95,0.81
19,21.56,21.5,20.5,8.71,0.27,2.85,10.5,15.5,27.5,33.5,21.5,0.8
20,21.12,20.5,19.5,8.66,0.28,2.85,10.5,14.5,26.5,32.5,21.05,0.81
21,20.67,20.5,19.5,8.6,0.28,2.85,9.5,14.5,26.5,32.5,20.6,0.83
22,20.23,19.5,18.5,8.54,0.29,2.85,9.5,14.5,25.5,31.5,20.18,0.82
23,19.79,19.5,18.5,8.48,0.3,2.84,9.5,13.5,25.5,31.5,19.73,0.79
24,19.34,18.5,17.5,8.42,0.31,2.84,8.5,13.5,24.5,30.5,19.29,0.79
25,18.9,18.5,17.5,8.35,0.31,2.84,8.5,12.5,24.5,30.5,18.86,0.78
26,18.46,18.5,17.5,8.28,0.32,2.84,7.5,12.5,23.5,29.5,18.44,0.78
27,18.02,17.5,16.5,8.21,0.33,2.84,7.5,12.5,23.5,28.5,18.0,0.77
28,17.58,17.5,16.5,8.13,0.34,2.84,7.5,11.5,22.5,28.5,17.56,0.74
29,17.14,16.5,15.5,8.05,0.35,2.84,6.5,11.5,22.5,27.5,17.12,0.74
30,16.7,16.5,15.5,7.96,0.36,2.84,6.5,10.5,21.5,27.5,16.67,0.72
31,16.26,15.5,14.5,7.87,0.37,2.84,6.5,10.5,21.5,26.5,16.21,0.72
32,15.81,15.5,14.5,7.77,0.39,2.85,5.5,10.5,20.5,26.5,15.78,0.7
33,15.37,14.5,13.5,7.67,0.4,2.85,5.5,9.5,20.5,25.5,15.31,0.69
34,14.92,14.5,13.5,7.56,0.41,2.86,5.5,9.5,19.5,25.5,14.87,0.67
35,14.47,13.5,12.5,7.45,0.43,2.87,5.5,8.5,19.5,24.5,14.44,0.67
36,14.02,13.5,12.5,7.34,0.45,2.89,4.5,8.5,18.5,23.5,13.98,0.65
37,13.57,12.5,11.5,7.22,0.46,2.9,4.5,8.5,18.5,23.5,13.54,0.63
38,13.12,12.5,11.5,7.1,0.48,2.92,4.5,7.5,17.5,22.5,13.08,0.6
39,12.67,12.5,10.5,6.97,0.5,2.94,3.5,7.5,17.5,22.5,12.67,0.57
40,12.23,11.5,10.5,6.84,0.52,2.96,3.5,7.5,16.5,21.5,12.22,0.58
41,11.78,11.5,9.5,6.71,0.55,2.99,3.5,6.5,16.5,20.5,11.75,0.57
42,11.34,10.5,8.5,6.58,0.57,3.02,3.5,6.5,15.5,20.5,11.33,0.55
43,10.9,10.5,8.5,6.44,0.59,3.05,2.5,5.5,15.5,19.5,10.87,0.53
44,10.47,9.5,7.5,6.3,0.62,3.08,2.5,5.5,14.5,19.5,10.41,0.51
45,10.05,9.5,7.5,6.16,0.65,3.12,2.5,5.5,13.5,18.5,9.98,0.45
46,9.63,8.5,6.5,6.01,0.67,3.17,2.5,4.5,13.5,17.5,9.56,0.45
47,9.23,8.5,6.5,5.87,0.7,3.22,2.5,4.5,12.5,17.5,9.16,0.42
48,8.84,8.5,5.5,5.72,0.73,3.27,1.5,4.5,12.5,16.5,8.79,0.41
49,8.46,7.5,5.5,5.57,0.76,3.33,1.5,4.5,11.5,16.5,8.41,0.41
50,8.09,7.5,4.5,5.42,0.79,3.4,1.5,3.5,11.5,15.5,8.06,0.38
51,7.73,6.5,4.5,5.27,0.82,3.47,1.5,3.5,10.5,15.5,7.69,0.39
52,7.38,6.5,3.5,5.12,0.86,3.54,1.5,3.5,10.5,14.5,7.36,0.35
53,7.04,6.5,3.5,4.96,0.89,3.62,1.5,3.5,10.5,13.5,7.01,0.36
54,6.71,5.5,2.5,4.81,0.92,3.7,1.5,2.5,9.5,13.5,6.73,0.35
55,6.4,5.5,2.5,4.67,0.96,3.8,1.5,2.5,9.5,12.5,6.43,0.32
56,6.1,5.5,1.5,4.52,0.99,3.89,1.5,2.5,8.5,12.5,6.13,0.34
57,5.82,4.5,1.5,4.37,1.03,3.99,0.5,2.5,8.5,11.5,5.86,0.37
58,5.54,4.5,0.5,4.23,1.06,4.1,0.5,2.5,7.5,11.5,5.58,0.38
59,5.28,4.5,0.5,4.09,1.1,4.2,0.5,2.5,7.5,11.5,5.29,0.39
60,5.04,4.5,0.5,3.95,1.13,4.32,0.5,1.5,7.5,10.5,5.04,0.38
61,4.8,3.5,0.5,3.81,1.17,4.43,0.5,1.5,6.5,10.5,4.79,0.35
62,4.58,3.5,0.5,3.68,1.2,4.55,0.5,1.5,6.5,9.5,4.59,0.33
63,4.37,3.5,0.5,3.55,1.24,4.68,0.5,1.5,6.5,9.5,4.38,0.37
64,4.17,3.5,0.5,3.43,1.27,4.8,0.5,1.5,5.5,8.5,4.15,0.37
65,3.98,3.5,0.5,3.31,1.3,4.93,0.5,1.5,5.5,8.5,3.96,0.42
66,3.8,2.5,0.5,3.19,1.34,5.06,0.5,1.5,5.5,8.5,3.79,0.44
67,3.63,2.5,0.5,3.08,1.37,5.19,0.5,1.5,5.5,7.5,3.57,0.41
68,3.47,2.5,0.5,2.97,1.4,5.32,0.5,1.5,4.5,7.5,3.43,0.4
69,3.32,2.5,0.5,2.87,1.43,5.44,0.5,1.5,4.5,7.5,3.28,0.38
70,3.18,2.5,0.5,2.77,1.46,5.57,0.5,1.5,4.5,7.5,3.13,0.43
71,3.05,2.5,0.5,2.67,1.49,5.69,0.5,0.5,4.5,6.5,3.0,0.5
72,2.92,2.5,0.5,2.58,1.51,5.81,0.5,0.5,4.5,6.5,2.89,0.57
