age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,28.21,28.5,27.5,9.6,0.05,2.81,15.5,21.5,34.5,40.5,28.13,1.06
19,27.68,27.5,27.5,9.54,0.05,2.8,15.5,21.5,34.5,40.5,27.56,0.95
20,27.15,27.5,26.5,9.49,0.06,2.79,14.5,20.5,33.5,39.5,27.02,0.93
21,26.61,26.5,25.5,9.43,0.06,2.78,14.5,20.5,33.5,38.5,26.5,0.91
22,26.07,25.5,25.5,9.36,0.07,2.77,14.5,19.5,32.5,38.5,25.96,0.9
23,25.53,25.5,24.5,9.3,0.08,2.77,13.5,19.5,31.5,37.5,25.44,0.93
24,24.98,24.5,24.5,9.23,0.09,2.76,13.5,18.5,31.5,37.5,24.91,0.91
25,24.43,24.5,23.5,9.15,0.1,2.75,12.5,17.5,30.5,36.5,24.37,0.91
26,23.87,23.5,22.5,9.07,0.11,2.74,12.5,17.5,30.5,35.5,23.85,0.9
27,23.3,23.5,22.5,8.99,0.12,2.73,11.5,16.5,29.5,35.5,23.29,0.9
28,22.73,22.5,21.5,8.9,0.13,2.72,11.5,16.5,28.5,34.5,22.69,0.88
29,22.14,21.5,21.5,8.81,0.14,2.71,10.5,15.5,28.5,33.5,22.09,0.85
30,21.54,21.5,20.5,8.72,0.15,2.7,10.5,15.5,27.5,33.5,21.47,0.82
31,20.93,20.5,19.5,8.62,0.17,2.7,9.5,14.5,26.5,32.5,20.86,0.77
32,20.31,20.5,19.5,8.53,0.18,2.69,9.5,14.5,26.5,31.5,20.23,0.77
33,19.68,19.5,18.5,8.43,0.2,2.68,8.5,13.5,25.5,30.5,19.58,0.75
34,19.04,18.5,18.5,8.33,0.21,2.67,8.5,12.5,24.5,30.5,18.94,0.76
35,18.4,18.5,17.5,8.23,0.23,2.67,7.5,12.5,24.5,29.5,18.3,0.76
36,17.76,17.5,16.5,8.13,0.25,2.66,7.5,11.5,23.5,28.5,17.66,0.75
37,17.11,16.5,16.5,8.03,0.27,2.66,6.5,11.5,22.5,27.5,17.02,0.73
38,16.48,16.5,15.5,7.93,0.28,2.66,6.5,10.5,21.5,27.5,16.39,0.7
39,15.85,15.5,14.5,7.82,0.3,2.66,5.5,9.5,21.5,26.5,15.77,0.68
40,15.24,14.5,14.5,7.71,0.32,2.66,5.5,9.5,20.5,25.5,15.19,0.66
41,14.66,14.5,13.5,7.6,0.33,2.67,4.5,8.5,19.5,24.5,14.62,0.68
42,14.1,13.5,13.5,7.47,0.35,2.67,4.5,8.5,19.5,24.5,14.06,0.68
43,13.58,13.5,12.5,7.34,0.36,2.69,4.5,7.5,18.5,23.5,13.53,0.66
44,13.08,12.5,12.5,7.2,0.38,2.71,3.5,7.5,18.5,22.5,13.05,0.63
45,12.62,12.5,12.5,7.05,0.39,2.73,3.5,7.5,17.5,22.5,12.59,0.63
46,12.18,11.5,12.5,6.88,0.41,2.76,3.5,6.5,16.5,21.5,12.13,0.63
47,11.76,11.5,11.5,6.71,0.43,2.8,3.5,6.5,16.5,20.5,11.73,0.6
48,11.34,10.5,11.5,6.52,0.45,2.85,2.5,6.5,15.5,20.5,11.33,0.58
49,10.92,10.5,10.5,6.33,0.48,2.91,2.5,6.5,15.5,19.5,10.9,0.57
50,10.49,10.5,9.5,6.14,0.52,2.98,2.5,5.5,14.5,18.5,10.45,0.53
