age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,32.1,32.5,33.5,9.69,-0.24,2.85,19.5,25.5,39.5,44.5,32.12,0.31
19,31.4,31.5,33.5,9.64,-0.24,2.83,18.5,24.5,38.5,43.5,31.43,0.3
20,30.71,31.5,32.5,9.59,-0.23,2.82,17.5,24.5,37.5,42.5,30.75,0.3
21,30.04,30.5,31.5,9.53,-0.23,2.8,17.5,23.5,36.5,41.5,30.08,0.3
22,29.37,29.5,31.5,9.47,-0.22,2.78,16.5,23.5,36.5,41.5,29.41,0.3
23,28.71,29.5,30.5,9.4,-0.22,2.77,16.5,22.5,35.5,40.5,28.76,0.29
24,28.06,28.5,29.5,9.32,-0.21,2.75,15.5,21.5,34.5,39.5,28.1,0.28
25,27.42,27.5,29.5,9.25,-0.21,2.73,14.5,21.5,34.5,39.5,27.47,0.28
26,26.79,27.5,28.5,9.16,-0.2,2.72,14.5,20.5,33.5,38.5,26.83,0.28
27,26.16,26.5,27.5,9.08,-0.2,2.71,13.5,20.5,32.5,37.5,26.21,0.28
28,25.54,25.5,27.5,8.98,-0.19,2.69,13.5,19.5,32.5,36.5,25.59,0.28
29,24.92,25.5,26.5,8.89,-0.18,2.68,12.5,18.5,31.5,36.5,24.97,0.28
30,24.3,24.5,25.5,8.79,-0.18,2.66,12.5,18.5,30.5,35.5,24.36,0.28
31,23.68,24.5,25.5,8.68,-0.17,2.65,11.5,17.5,29.5,34.5,23.74,0.27
32,23.06,23.5,24.5,8.58,-0.16,2.64,11.5,17.5,29.5,33.5,23.12,0.26
33,22.45,22.5,24.5,8.46,-0.15,2.63,10.5,16.5,28.5,33.5,22.5,0.26
34,21.83,22.5,24.5,8.34,-0.15,2.62,10.5,16.5,27.5,32.5,21.88,0.24
35,21.2,21.5,23.5,8.22,-0.14,2.6,9.5,15.5,27.5,31.5,21.25,0.23
36,20.57,20.5,23.5,8.1,-0.12,2.59,9.5,14.5,26.5,30.5,20.62,0.23
37,19.94,20.5,22.5,7.97,-0.11,2.58,9.5,14.5,25.5,29.5,19.99,0.23
38,19.3,19.5,22.5,7.83,-0.1,2.57,8.5,13.5,24.5,29.5,19.35,0.22
39,18.66,19.5,21.5,7.69,-0.08,2.57,8.5,13.5,24.5,28.5,18.7,0.21
40,18.02,18.5,20.5,7.55,-0.06,2.56,7.5,12.5,23.5,27.5,18.05,0.2
41,17.37,17.5,19.5,7.4,-0.05,2.55,7.5,12.5,22.5,26.5,17.4,0.19
42,16.72,17.5,19.5,7.25,-0.03,2.55,6.5,11.5,21.5,25.5,16.74,0.19
43,16.08,16.5,18.5,7.1,-0.0,2.55,6.5,10.5,21.5,25.5,16.09,0.19
44,15.44,15.5,17.5,6.94,0.02,2.55,5.5,10.5,20.5,24.5,15.44,0.18
45,14.8,15.5,16.5,6.77,0.05,2.56,5.5,9.5,19.5,23.5,14.81,0.17
46,14.16,14.5,15.5,6.6,0.08,2.57,5.5,9.5,18.5,22.5,14.18,0.17
47,13.53,13.5,14.5,6.43,0.11,2.58,4.5,8.5,18.5,21.5,13.53,0.17
48,12.89,12.5,14.5,6.25,0.14,2.6,4.5,8.5,17.5,20.5,12.89,0.16
49,12.26,12.5,13.5,6.08,0.18,2.62,4.5,7.5,16.5,20.5,12.26,0.16
50,11.63,11.5,12.5,5.89,0.22,2.65,3.5,7.5,15.5,19.5,11.64,0.15
51,11.02,10.5,11.5,5.71,0.26,2.7,3.5,6.5,14.5,18.5,11.02,0.15
52,10.43,10.5,10.5,5.52,0.3,2.75,3.5,6.5,14.5,17.5,10.42,0.14
53,9.85,9.5,9.5,5.32,0.36,2.81,2.5,5.5,13.5,16.5,9.85,0.14
54,9.29,8.5,8.5,5.11,0.42,2.89,2.5,5.5,12.5,16.5,9.28,0.14
55,8.73,8.5,7.5,4.91,0.48,2.98,2.5,5.5,11.5,15.5,8.72,0.13
56,8.16,7.5,7.5,4.72,0.55,3.08,2.5,4.5,11.5,14.5,8.16,0.13
57,7.59,7.5,6.5,4.53,0.63,3.18,1.5,4.5,10.5,13.5,7.59,0.12
58,7.03,6.5,5.5,4.35,0.7,3.3,1.5,3.5,9.5,12.5,7.02,0.12
59,6.48,5.5,4.5,4.18,0.77,3.43,1.5,3.5,9.5,12.5,6.47,0.11
60,5.97,5.5,3.5,4.02,0.84,3.56,1.5,2.5,8.5,11.5,5.97,0.11
61,5.51,4.5,2.5,3.85,0.91,3.71,1.5,2.5,7.5,10.5,5.51,0.11
62,5.1,4.5,2.5,3.69,0.97,3.86,0.5,2.5,7.5,10.5,5.1,0.11
63,4.74,4.5,1.5,3.54,1.03,4.02,0.5,1.5,6.5,9.5,4.76,0.12
