age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
20,33.16,33.5,35.5,9.49,-0.31,3.02,20.5,27.5,39.5,44.5,33.16,0.34
21,32.39,32.5,34.5,9.45,-0.3,3.0,19.5,26.5,39.5,44.5,32.38,0.34
22,31.63,32.5,33.5,9.39,-0.29,2.97,19.5,25.5,38.5,43.5,31.63,0.33
23,30.9,31.5,32.5,9.33,-0.28,2.95,18.5,24.5,37.5,42.5,30.89,0.33
24,30.19,30.5,32.5,9.26,-0.28,2.93,17.5,24.5,36.5,41.5,30.18,0.33
25,29.49,30.5,31.5,9.19,-0.27,2.91,17.5,23.5,36.5,40.5,29.48,0.33
26,28.8,29.5,30.5,9.11,-0.26,2.89,16.5,22.5,35.5,40.5,28.79,0.33
27,28.12,28.5,30.5,9.02,-0.25,2.87,16.5,22.5,34.5,39.5,28.12,0.33
28,27.45,27.5,29.5,8.94,-0.24,2.85,15.5,21.5,33.5,38.5,27.45,0.32
29,26.78,27.5,28.5,8.84,-0.23,2.84,14.5,20.5,33.5,37.5,26.78,0.31
30,26.1,26.5,28.5,8.75,-0.22,2.82,14.5,20.5,32.5,36.5,26.1,0.3
31,25.43,25.5,27.5,8.65,-0.21,2.8,13.5,19.5,31.5,36.5,25.42,0.31
32,24.74,25.5,27.5,8.55,-0.2,2.79,13.5,19.5,30.5,35.5,24.74,0.31
33,24.06,24.5,26.5,8.44,-0.19,2.77,12.5,18.5,30.5,34.5,24.05,0.29
34,23.38,23.5,25.5,8.34,-0.18,2.76,12.5,17.5,29.5,33.5,23.38,0.28
35,22.7,23.5,25.5,8.22,-0.16,2.74,11.5,17.5,28.5,32.5,22.71,0.27
36,22.02,22.5,24.5,8.11,-0.15,2.73,11.5,16.5,27.5,32.5,22.03,0.26
37,21.34,21.5,23.5,7.99,-0.13,2.71,10.5,15.5,27.5,31.5,21.35,0.27
38,20.65,21.5,23.5,7.86,-0.12,2.7,10.5,15.5,26.5,30.5,20.67,0.26
39,19.96,20.5,22.5,7.74,-0.1,2.69,9.5,14.5,25.5,29.5,19.98,0.26
