age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
21,35.85,36.5,38.5,9.01,-0.46,3.55,24.5,30.5,41.5,46.5,35.81,0.34
22,35.03,35.5,37.5,8.95,-0.45,3.51,23.5,29.5,41.5,45.5,35.0,0.33
23,34.22,34.5,36.5,8.89,-0.43,3.47,22.5,28.5,40.5,44.5,34.19,0.34
24,33.41,34.5,35.5,8.83,-0.42,3.42,21.5,28.5,39.5,43.5,33.38,0.34
25,32.61,33.5,34.5,8.77,-0.41,3.38,21.5,27.5,38.5,43.5,32.58,0.33
26,31.82,32.5,34.5,8.7,-0.39,3.35,20.5,26.5,37.5,42.5,31.8,0.33
27,31.04,31.5,33.5,8.64,-0.38,3.31,19.5,25.5,36.5,41.5,31.01,0.32
28,30.26,30.5,32.5,8.56,-0.36,3.27,18.5,24.5,36.5,40.5,30.23,0.32
29,29.49,30.5,31.5,8.48,-0.35,3.24,18.5,24.5,35.5,39.5,29.46,0.32
30,28.71,29.5,30.5,8.41,-0.33,3.21,17.5,23.5,34.5,38.5,28.68,0.32
31,27.93,28.5,29.5,8.32,-0.31,3.18,16.5,22.5,33.5,37.5,27.9,0.32
32,27.14,27.5,28.5,8.24,-0.3,3.15,16.5,21.5,32.5,37.5,27.11,0.32
33,26.35,26.5,28.5,8.16,-0.28,3.12,15.5,21.5,31.5,36.5,26.33,0.32
34,25.56,26.5,27.5,8.07,-0.26,3.09,14.5,20.5,31.5,35.5,25.54,0.32
35,24.76,25.5,26.5,7.99,-0.24,3.07,14.5,19.5,30.5,34.5,24.75,0.31
36,23.98,24.5,25.5,7.89,-0.22,3.04,13.5,18.5,29.5,33.5,23.96,0.3
37,23.19,23.5,24.5,7.8,-0.2,3.02,12.5,18.5,28.5,32.5,23.18,0.3
38,22.41,22.5,23.5,7.7,-0.18,3.0,12.5,17.5,27.5,31.5,22.41,0.29
39,21.64,22.5,22.5,7.59,-0.16,2.98,11.5,16.5,26.5,30.5,21.63,0.28
40,20.87,21.5,21.5,7.48,-0.13,2.97,10.5,16.5,25.5,30.5,20.87,0.27
41,20.11,20.5,21.5,7.37,-0.11,2.96,10.5,15.5,25.5,29.5,20.11,0.27
42,19.36,19.5,20.5,7.24,-0.08,2.95,9.5,14.5,24.5,28.5,19.36,0.26
43,18.62,18.5,19.5,7.11,-0.05,2.94,9.5,13.5,23.5,27.5,18.62,0.26
44,17.88,18.5,18.5,6.98,-0.01,2.93,8.5,13.5,22.5,26.5,17.89,0.25
45,17.15,17.5,17.5,6.84,0.03,2.93,8.5,12.5,21.5,25.5,17.17,0.25
46,16.42,16.5,16.5,6.7,0.07,2.93,7.5,11.5,20.5,24.5,16.43,0.25
47,15.69,15.5,15.5,6.55,0.11,2.94,6.5,11.5,19.5,24.5,15.7,0.25
48,14.95,14.5,14.5,6.41,0.16,2.95,6.5,10.5,19.5,23.5,14.97,0.24
49,14.21,14.5,14.5,6.27,0.2,2.96,5.5,9.5,18.5,22.5,14.23,0.23
50,13.48,13.5,13.5,6.13,0.25,2.98,5.5,9.5,17.5,21.5,13.5,0.23
51,12.76,12.5,12.5,5.98,0.31,3.01,4.5,8.5,16.5,20.5,12.77,0.23
52,12.05,11.5,11.5,5.83,0.36,3.04,4.5,7.5,15.5,19.5,12.06,0.22
53,11.36,10.5,10.5,5.68,0.42,3.09,4.5,7.5,14.5,18.5,11.37,0.22
54,10.68,10.5,9.5,5.52,0.49,3.15,3.5,6.5,14.5,18.5,10.7,0.22
55,10.01,9.5,8.5,5.36,0.55,3.21,3.5,6.5,13.5,17.5,10.03,0.21
56,9.35,8.5,7.5,5.21,0.62,3.29,2.5,5.5,12.5,16.5,9.37,0.21
57,8.69,8.5,6.5,5.07,0.69,3.37,2.5,4.5,11.5,15.5,8.7,0.21
58,8.05,7.5,6.5,4.93,0.75,3.46,2.5,4.5,11.5,14.5,8.06,0.22
59,7.45,6.5,5.5,4.79,0.81,3.56,1.5,3.5,10.5,14.5,7.47,0.21
60,6.92,6.5,4.5,4.64,0.87,3.67,1.5,3.5,9.5,13.5,6.93,0.22
61,6.45,5.5,3.5,4.49,0.93,3.79,1.5,2.5,9.5,12.5,6.46,0.23
62,6.02,5.5,2.5,4.34,0.99,3.92,1.5,2.5,8.5,12.5,6.03,0.23
63,5.64,4.5,2.5,4.19,1.04,4.05,0.5,2.5,8.5,11.5,5.66,0.24
64,5.31,4.5,1.5,4.05,1.08,4.17,0.5,2.5,7.5,10.5,5.33,0.26
65,5.02,4.5,0.5,3.92,1.13,4.3,0.5,1.5,7.5,10.5,5.04,0.26
66,4.77,3.5,0.5,3.78,1.16,4.42,0.5,1.5,6.5,10.5,4.78,0.28
67,4.54,3.5,0.5,3.65,1.2,4.55,0.5,1.5,6.5,9.5,4.56,0.27
68,4.32,3.5,0.5,3.52,1.24,4.68,0.5,1.5,6.5,9.5,4.36,0.28
69,4.11,3.5,0.5,3.39,1.27,4.81,0.5,1.5,5.5,8.5,4.16,0.31
70,3.92,3.5,0.5,3.27,1.31,4.93,0.5,1.5,5.5,8.5,3.96,0.33
71,3.74,2.5,0.5,3.15,1.34,5.06,0.5,1.5,5.5,8.5,3.76,0.33
72,3.57,2.5,0.5,3.04,1.37,5.18,0.5,1.5,5.5,7.5,3.57,0.38
73,3.41,2.5,0.5,2.93,1.4,5.3,0.5,1.5,4.5,7.5,3.38,0.39
74,3.27,2.5,0.5,2.83,1.43,5.42,0.5,1.5,4.5,7.5,3.25,0.42
75,3.13,2.5,0.5,2.73,1.46,5.53,0.5,1.5,4.5,6.5,3.14,0.48
76,3.0,2.5,0.5,2.63,1.48,5.64,0.5,0.5,4.5,6.5,2.97,0.4
77,2.87,2.5,0.5,2.53,1.5,5.74,0.5,0.5,4.5,6.5,2.85,0.39
78,2.76,2.5,0.5,2.44,1.53,5.83,0.5,0.5,3.5,6.5,2.77,0.29
79,2.65,1.5,0.5,2.36,1.55,5.92,0.5,0.5,3.5,5.5,2.66,0.14
80,2.55,1.5,0.5,2.27,1.56,5.99,0.5,0.5,3.5,5.5,2.56,0.12
81,2.45,1.5,0.5,2.19,1.58,6.06,0.5,0.5,3.5,5.5,2.45,0.13
82,2.35,1.5,0.5,2.11,1.59,6.13,0.5,0.5,3.5,5.5,2.36,0.1
83,2.26,1.5,0.5,2.03,1.61,6.19,0.5,0.5,3.5,5.5,2.27,0.11
84,2.18,1.5,0.5,1.95,1.62,6.25,0.5,0.5,3.5,4.5,2.18,0.1
85,2.1,1.5,0.5,1.88,1.63,6.33,0.5,0.5,2.5,4.5,2.11,0.1
86,2.01,1.5,0.5,1.8,1.65,6.41,0.5,0.5,2.5,4.5,2.03,0.09
87,1.93,1.5,0.5,1.73,1.67,6.49,0.5,0.5,2.5,4.5,1.93,0.08
88,1.85,1.5,0.5,1.66,1.69,6.58,0.5,0.5,2.5,4.5,1.85,0.07
89,1.78,1.5,0.5,1.59,1.7,6.66,0.5,0.5,2.5,3.5,1.78,0.07
90,1.71,1.5,0.5,1.52,1.72,6.75,0.5,0.5,2.5,3.5,1.71,0.07
