age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
25,36.06,36.5,37.5,7.71,-0.83,4.78,26.5,32.5,41.5,44.5,36.07,0.26
26,35.12,35.5,36.5,7.66,-0.8,4.66,25.5,31.5,40.5,43.5,35.13,0.25
27,34.19,34.5,35.5,7.6,-0.77,4.54,24.5,30.5,39.5,42.5,34.2,0.25
28,33.26,33.5,34.5,7.55,-0.74,4.43,23.5,29.5,38.5,41.5,33.27,0.25
29,32.34,33.5,33.5,7.49,-0.72,4.33,22.5,28.5,37.5,40.5,32.35,0.25
30,31.44,32.5,32.5,7.42,-0.69,4.24,22.5,27.5,36.5,40.5,31.45,0.25
31,30.54,31.5,31.5,7.35,-0.66,4.15,21.5,26.5,35.5,39.5,30.55,0.25
32,29.66,30.5,30.5,7.28,-0.63,4.07,20.5,25.5,34.5,38.5,29.67,0.24
33,28.79,29.5,30.5,7.2,-0.6,4.0,19.5,24.5,33.5,37.5,28.79,0.24
34,27.93,28.5,29.5,7.11,-0.58,3.93,18.5,23.5,32.5,36.5,27.94,0.25
35,27.08,27.5,28.5,7.02,-0.55,3.86,18.5,23.5,31.5,35.5,27.09,0.25
36,26.24,26.5,27.5,6.93,-0.52,3.8,17.5,22.5,30.5,34.5,26.25,0.24
37,25.41,25.5,26.5,6.83,-0.48,3.73,16.5,21.5,29.5,33.5,25.41,0.24
38,24.57,25.5,25.5,6.73,-0.45,3.67,16.5,20.5,29.5,32.5,24.58,0.24
39,23.73,24.5,24.5,6.63,-0.41,3.6,15.5,19.5,28.5,31.5,23.75,0.23
40,22.89,23.5,23.5,6.53,-0.37,3.53,14.5,19.5,27.5,30.5,22.91,0.22
41,22.03,22.5,22.5,6.43,-0.33,3.46,13.5,18.5,26.5,29.5,22.06,0.22
42,21.18,21.5,21.5,6.33,-0.29,3.4,13.5,17.5,25.5,28.5,21.2,0.22
43,20.32,20.5,20.5,6.24,-0.25,3.34,12.5,16.5,24.5,27.5,20.34,0.22
44,19.47,19.5,19.5,6.14,-0.21,3.28,11.5,15.5,23.5,27.5,19.48,0.21
45,18.62,18.5,18.5,6.04,-0.16,3.22,10.5,14.5,22.5,26.5,18.64,0.22
46,17.77,17.5,18.5,5.93,-0.11,3.17,10.5,14.5,21.5,25.5,17.79,0.22
47,16.92,17.5,17.5,5.83,-0.06,3.12,9.5,13.5,20.5,24.5,16.94,0.21
48,16.08,16.5,16.5,5.73,-0.01,3.07,8.5,12.5,19.5,23.5,16.09,0.21
49,15.23,15.5,15.5,5.62,0.04,3.03,8.5,11.5,18.5,22.5,15.25,0.2
50,14.39,14.5,14.5,5.52,0.09,3.0,7.5,10.5,18.5,21.5,14.41,0.2
51,13.55,13.5,13.5,5.41,0.14,2.98,6.5,9.5,17.5,20.5,13.56,0.2
52,12.73,12.5,12.5,5.31,0.2,2.96,5.5,9.5,16.5,19.5,12.73,0.2
53,11.92,11.5,11.5,5.2,0.25,2.96,5.5,8.5,15.5,18.5,11.92,0.2
54,11.12,10.5,10.5,5.08,0.31,2.97,4.5,7.5,14.5,17.5,11.13,0.2
55,10.35,10.5,9.5,4.96,0.37,2.99,4.5,6.5,13.5,16.5,10.36,0.19
56,9.61,9.5,8.5,4.83,0.43,3.02,3.5,6.5,12.5,16.5,9.62,0.18
57,8.9,8.5,7.5,4.7,0.49,3.07,3.5,5.5,11.5,15.5,8.91,0.18
58,8.23,7.5,7.5,4.55,0.56,3.14,2.5,4.5,11.5,14.5,8.23,0.18
