age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
26,37.89,38.5,39.5,8.75,-0.64,4.27,26.5,33.5,43.5,48.5,38.0,0.61
27,36.93,37.5,38.5,8.71,-0.62,4.17,25.5,32.5,42.5,47.5,37.04,0.61
28,35.98,36.5,37.5,8.66,-0.59,4.08,24.5,31.5,41.5,46.5,36.09,0.61
29,35.04,35.5,36.5,8.61,-0.57,4.0,24.5,30.5,40.5,45.5,35.15,0.61
30,34.1,34.5,35.5,8.56,-0.54,3.92,23.5,29.5,39.5,44.5,34.22,0.6
31,33.17,33.5,34.5,8.5,-0.52,3.85,22.5,28.5,38.5,43.5,33.29,0.61
32,32.26,32.5,33.5,8.44,-0.49,3.78,21.5,27.5,37.5,42.5,32.37,0.61
33,31.35,31.5,32.5,8.38,-0.47,3.71,20.5,26.5,36.5,41.5,31.46,0.6
34,30.44,31.5,31.5,8.32,-0.44,3.65,19.5,25.5,35.5,40.5,30.56,0.6
35,29.55,30.5,30.5,8.25,-0.41,3.59,18.5,24.5,34.5,39.5,29.67,0.6
36,28.66,29.5,29.5,8.18,-0.39,3.54,18.5,23.5,33.5,38.5,28.79,0.6
37,27.77,28.5,28.5,8.1,-0.36,3.49,17.5,23.5,33.5,37.5,27.9,0.6
38,26.88,27.5,27.5,8.02,-0.33,3.44,16.5,22.5,32.5,36.5,27.01,0.62
39,26.0,26.5,26.5,7.94,-0.3,3.39,15.5,21.5,31.5,35.5,26.13,0.61
40,25.12,25.5,25.5,7.86,-0.27,3.34,14.5,20.5,30.5,34.5,25.24,0.61
41,24.25,24.5,24.5,7.77,-0.24,3.3,14.5,19.5,29.5,33.5,24.39,0.6
42,23.39,23.5,24.5,7.67,-0.21,3.27,13.5,18.5,28.5,32.5,23.52,0.59
43,22.54,22.5,23.5,7.57,-0.18,3.23,12.5,17.5,27.5,31.5,22.68,0.59
44,21.71,21.5,22.5,7.46,-0.14,3.2,12.5,17.5,26.5,30.5,21.84,0.59
45,20.89,21.5,21.5,7.34,-0.1,3.17,11.5,16.5,25.5,29.5,21.0,0.58
46,20.07,20.5,20.5,7.22,-0.06,3.15,10.5,15.5,24.5,29.5,20.17,0.58
47,19.26,19.5,19.5,7.09,-0.01,3.13,10.5,14.5,23.5,28.5,19.36,0.58
48,18.44,18.5,18.5,6.97,0.04,3.11,9.5,13.5,22.5,27.5,18.54,0.57
49,17.62,17.5,17.5,6.84,0.09,3.09,8.5,13.5,22.5,26.5,17.72,0.56
50,16.81,16.5,16.5,6.72,0.14,3.08,8.5,12.5,21.5,25.5,16.9,0.53
51,16.0,15.5,15.5,6.59,0.19,3.08,7.5,11.5,20.5,24.5,16.09,0.53
52,15.2,14.5,14.5,6.46,0.24,3.08,6.5,10.5,19.5,23.5,15.29,0.53
53,14.4,14.5,13.5,6.33,0.3,3.08,6.5,10.5,18.5,22.5,14.49,0.51
54,13.61,13.5,12.5,6.2,0.36,3.1,5.5,9.5,17.5,21.5,13.7,0.51
55,12.83,12.5,11.5,6.08,0.41,3.12,5.5,8.5,16.5,20.5,12.9,0.51
56,12.05,11.5,10.5,5.96,0.47,3.15,4.5,7.5,15.5,19.5,12.13,0.51
57,11.3,10.5,9.5,5.83,0.52,3.19,4.5,7.5,14.5,19.5,11.39,0.52
58,10.58,10.5,8.5,5.69,0.58,3.24,3.5,6.5,14.5,18.5,10.66,0.51
59,9.9,9.5,8.5,5.56,0.64,3.31,3.5,5.5,13.5,17.5,9.97,0.52
60,9.24,8.5,7.5,5.42,0.7,3.38,2.5,5.5,12.5,16.5,9.29,0.52
61,8.62,7.5,6.5,5.28,0.76,3.46,2.5,4.5,11.5,15.5,8.65,0.53
62,8.04,7.5,5.5,5.14,0.81,3.55,1.5,4.5,11.5,15.5,8.05,0.52
63,7.51,6.5,4.5,5.0,0.87,3.65,1.5,3.5,10.5,14.5,7.5,0.52
64,7.03,6.5,3.5,4.85,0.92,3.75,1.5,3.5,9.5,13.5,7.0,0.54
65,6.59,5.5,3.5,4.71,0.97,3.86,1.5,2.5,9.5,13.5,6.57,0.56
66,6.21,5.5,2.5,4.57,1.02,3.97,1.5,2.5,8.5,12.5,6.19,0.57
67,5.86,4.5,1.5,4.43,1.06,4.08,0.5,2.5,8.5,12.5,5.82,0.6
68,5.56,4.5,1.5,4.29,1.1,4.18,0.5,2.5,7.5,11.5,5.49,0.6
69,5.28,4.5,0.5,4.16,1.14,4.27,0.5,2.5,7.5,11.5,5.21,0.64
70,5.03,4.5,0.5,4.03,1.17,4.36,0.5,1.5,7.5,10.5,4.99,0.66
71,4.81,3.5,0.5,3.9,1.19,4.44,0.5,1.5,6.5,10.5,4.76,0.67
72,4.61,3.5,0.5,3.77,1.22,4.52,0.5,1.5,6.5,9.5,4.61,0.64
