age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,17.65,17.5,15.0,9.16,0.41,2.82,6.5,11.5,24.5,30.5,17.68,1.15
19,17.25,17.5,15.0,9.1,0.41,2.82,6.5,10.5,23.5,30.5,17.29,1.13
20,16.84,16.5,14.0,9.04,0.42,2.82,5.5,10.5,23.5,29.5,16.86,1.09
21,16.43,16.5,14.0,8.97,0.43,2.82,5.5,10.5,22.5,29.5,16.42,1.03
22,16.02,15.5,13.0,8.91,0.44,2.81,5.5,9.5,22.5,28.5,16.02,1.0
23,15.61,15.5,13.0,8.84,0.45,2.81,5.5,9.5,21.5,28.5,15.61,1.01
24,15.2,14.5,13.0,8.77,0.46,2.81,4.5,9.5,21.5,27.5,15.21,1.03
25,14.78,14.5,12.0,8.7,0.47,2.81,4.5,8.5,21.5,27.5,14.82,1.01
26,14.36,14.5,12.0,8.62,0.48,2.81,4.5,8.5,20.5,26.5,14.39,1.03
27,13.94,13.5,11.0,8.54,0.49,2.81,3.5,7.5,20.5,26.5,13.97,0.99
28,13.51,13.5,11.0,8.45,0.5,2.82,3.5,7.5,19.5,25.5,13.58,0.98
29,13.08,12.5,10.0,8.36,0.52,2.82,3.5,7.5,19.5,25.5,13.16,0.98
30,12.64,12.5,0.0,8.27,0.53,2.82,2.5,6.5,18.5,24.5,12.74,0.93
31,12.21,11.5,0.0,8.17,0.55,2.83,2.5,6.5,18.5,24.5,12.32,0.87
32,11.76,11.5,0.0,8.06,0.57,2.84,2.5,5.5,17.5,23.5,11.88,0.83
33,11.32,10.5,0.0,7.95,0.58,2.85,1.5,5.5,17.5,22.5,11.43,0.81
34,10.88,10.5,0.0,7.84,0.6,2.86,1.5,5.5,16.5,22.5,10.98,0.82
35,10.43,9.5,0.0,7.71,0.63,2.87,1.5,4.5,16.5,21.5,10.58,0.81
36,9.98,9.5,0.0,7.59,0.65,2.89,0.0,4.5,15.5,21.5,10.12,0.79
37,9.54,8.5,0.0,7.45,0.68,2.92,0.0,3.5,14.5,20.5,9.66,0.74
38,9.1,8.5,0.0,7.32,0.7,2.94,0.0,3.5,14.5,19.5,9.24,0.71
39,8.67,7.5,0.0,7.17,0.73,2.98,0.0,3.5,13.5,19.5,8.79,0.67
