age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,20.56,20.5,19.0,8.75,0.27,2.86,9.5,14.5,26.5,32.5,20.5,0.8
19,20.07,20.5,19.0,8.7,0.28,2.85,9.5,14.5,26.5,32.5,20.01,0.81
20,19.57,19.5,18.0,8.65,0.29,2.85,9.5,13.5,25.5,31.5,19.51,0.81
21,19.07,19.5,18.0,8.6,0.29,2.85,8.5,13.5,25.5,30.5,19.03,0.79
22,18.56,18.5,17.0,8.54,0.3,2.84,8.5,12.5,24.5,30.5,18.52,0.78
23,18.05,18.5,17.0,8.48,0.31,2.84,7.5,12.5,24.5,29.5,18.01,0.78
24,17.54,17.5,16.0,8.41,0.32,2.84,7.5,11.5,23.5,29.5,17.51,0.77
25,17.02,17.5,16.0,8.35,0.33,2.84,6.5,11.5,23.5,28.5,16.98,0.76
26,16.5,16.5,15.0,8.28,0.34,2.83,6.5,10.5,22.5,28.5,16.44,0.76
27,15.97,15.5,14.0,8.2,0.36,2.83,6.5,10.5,21.5,27.5,15.91,0.74
28,15.43,15.5,14.0,8.13,0.37,2.83,5.5,9.5,21.5,26.5,15.38,0.72
29,14.89,14.5,13.0,8.04,0.38,2.84,5.5,9.5,20.5,26.5,14.84,0.7
30,14.35,14.5,13.0,7.96,0.4,2.84,4.5,8.5,20.5,25.5,14.28,0.71
31,13.8,13.5,12.0,7.87,0.42,2.84,4.5,8.5,19.5,24.5,13.73,0.71
32,13.24,13.5,11.0,7.77,0.44,2.85,3.5,7.5,18.5,24.5,13.15,0.71
33,12.69,12.5,11.0,7.67,0.46,2.86,3.5,7.5,18.5,23.5,12.63,0.69
34,12.12,11.5,10.0,7.56,0.49,2.87,2.5,6.5,17.5,22.5,12.07,0.68
35,11.56,11.5,0.0,7.44,0.51,2.89,2.5,6.5,16.5,22.5,11.5,0.71
36,11.0,10.5,0.0,7.32,0.54,2.91,2.5,5.5,16.5,21.5,10.96,0.71
37,10.44,10.5,0.0,7.19,0.58,2.94,1.5,5.5,15.5,20.5,10.41,0.67
38,9.89,9.5,0.0,7.06,0.61,2.98,1.5,4.5,14.5,20.5,9.87,0.67
39,9.33,8.5,0.0,6.91,0.65,3.02,0.0,4.5,14.5,19.5,9.38,0.63
40,8.79,8.5,0.0,6.76,0.69,3.07,0.0,3.5,13.5,18.5,8.81,0.57
41,8.26,7.5,0.0,6.6,0.74,3.14,0.0,3.5,12.5,17.5,8.26,0.55
42,7.74,7.5,0.0,6.43,0.79,3.21,0.0,2.5,12.5,17.5,7.73,0.53
43,7.23,6.5,0.0,6.26,0.84,3.3,0.0,2.5,11.5,16.5,7.23,0.52
44,6.74,6.5,0.0,6.08,0.9,3.41,0.0,1.5,11.5,15.5,6.73,0.5
45,6.27,5.5,0.0,5.89,0.96,3.53,0.0,1.5,10.5,15.5,6.23,0.5
46,5.81,4.5,0.0,5.7,1.02,3.68,0.0,1.5,9.5,14.5,5.77,0.43
47,5.36,4.5,0.0,5.5,1.09,3.85,0.0,0.0,9.5,13.5,5.33,0.39
48,4.93,3.5,0.0,5.29,1.17,4.05,0.0,0.0,8.5,13.5,4.91,0.37
49,4.52,3.5,0.0,5.08,1.25,4.28,0.0,0.0,7.5,12.5,4.49,0.38
50,4.13,2.5,0.0,4.87,1.33,4.55,0.0,0.0,7.5,11.5,4.12,0.35
51,3.76,2.5,0.0,4.65,1.43,4.86,0.0,0.0,6.5,11.5,3.76,0.33
52,3.41,2.5,0.0,4.43,1.52,5.21,0.0,0.0,6.5,10.5,3.43,0.3
53,3.08,1.5,0.0,4.21,1.63,5.62,0.0,0.0,5.5,9.5,3.09,0.28
54,2.78,1.5,0.0,3.99,1.74,6.09,0.0,0.0,5.5,9.5,2.81,0.27
55,2.49,0.0,0.0,3.77,1.86,6.62,0.0,0.0,4.5,8.5,2.53,0.26
56,2.23,0.0,0.0,3.55,1.99,7.23,0.0,0.0,3.5,7.5,2.27,0.24
57,1.98,0.0,0.0,3.34,2.12,7.93,0.0,0.0,3.5,7.5,2.01,0.22
58,1.76,0.0,0.0,3.13,2.27,8.72,0.0,0.0,2.5,6.5,1.78,0.21
59,1.56,0.0,0.0,2.93,2.42,9.62,0.0,0.0,2.5,6.5,1.58,0.21
60,1.38,0.0,0.0,2.74,2.58,10.64,0.0,0.0,2.5,5.5,1.4,0.19
61,1.22,0.0,0.0,2.55,2.75,11.79,0.0,0.0,1.5,5.5,1.22,0.19
62,1.07,0.0,0.0,2.38,2.93,13.09,0.0,0.0,1.5,4.5,1.08,0.16
63,0.94,0.0,0.0,2.21,3.12,14.55,0.0,0.0,0.0,4.5,0.94,0.14
64,0.82,0.0,0.0,2.05,3.33,16.23,0.0,0.0,0.0,3.5,0.82,0.13
65,0.72,0.0,0.0,1.9,3.55,18.16,0.0,0.0,0.0,3.5,0.73,0.12
66,0.63,0.0,0.0,1.76,3.78,20.36,0.0,0.0,0.0,2.5,0.63,0.12
67,0.55,0.0,0.0,1.63,4.04,22.91,0.0,0.0,0.0,2.5,0.55,0.1
68,0.47,0.0,0.0,1.5,4.32,25.92,0.0,0.0,0.0,2.5,0.47,0.09
69,0.4,0.0,0.0,1.38,4.64,29.5,0.0,0.0,0.0,1.5,0.41,0.08
70,0.35,0.0,0.0,1.26,4.99,33.79,0.0,0.0,0.0,1.5,0.35,0.07
71,0.29,0.0,0.0,1.15,5.39,39.02,0.0,0.0,0.0,0.0,0.3,0.07
72,0.25,0.0,0.0,1.04,5.84,45.47,0.0,0.0,0.0,0.0,0.25,0.06
