age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,26.73,27.5,26.0,9.61,0.05,2.81,14.5,20.5,33.5,39.5,26.54,0.96
19,26.14,26.5,26.0,9.56,0.06,2.8,14.5,19.5,33.5,39.5,26.01,0.97
20,25.55,25.5,25.0,9.51,0.06,2.79,13.5,19.5,32.5,38.5,25.44,0.94
21,24.94,25.5,24.0,9.45,0.07,2.78,13.5,18.5,31.5,37.5,24.81,0.9
22,24.32,24.5,24.0,9.4,0.08,2.77,12.5,18.5,31.5,37.5,24.2,0.9
23,23.68,24.5,23.0,9.34,0.09,2.76,12.5,17.5,30.5,36.5,23.56,0.92
24,23.04,23.5,22.0,9.28,0.1,2.75,11.5,16.5,29.5,35.5,22.89,0.94
25,22.38,22.5,22.0,9.22,0.11,2.73,10.5,16.5,29.5,34.5,22.23,0.93
26,21.71,22.5,21.0,9.15,0.12,2.72,10.5,15.5,28.5,34.5,21.57,0.92
27,21.03,21.5,20.0,9.08,0.13,2.71,9.5,15.5,27.5,33.5,20.97,0.9
28,20.33,20.5,19.0,9.01,0.15,2.7,9.5,14.5,27.5,32.5,20.28,0.86
29,19.62,19.5,19.0,8.94,0.16,2.69,8.5,13.5,26.5,31.5,19.57,0.86
30,18.9,19.5,18.0,8.86,0.18,2.68,7.5,12.5,25.5,31.5,18.89,0.82
31,18.18,18.5,17.0,8.78,0.19,2.67,7.5,12.5,24.5,30.5,18.15,0.81
32,17.45,17.5,16.0,8.7,0.21,2.66,6.5,11.5,23.5,29.5,17.41,0.78
33,16.72,16.5,16.0,8.61,0.23,2.65,6.5,10.5,23.5,28.5,16.72,0.78
34,15.99,16.5,15.0,8.51,0.25,2.64,5.5,10.5,22.5,27.5,15.99,0.78
35,15.26,15.5,14.0,8.41,0.28,2.64,4.5,9.5,21.5,26.5,15.22,0.82
36,14.53,14.5,13.0,8.3,0.3,2.63,4.5,8.5,20.5,26.5,14.46,0.8
37,13.82,13.5,13.0,8.19,0.33,2.63,3.5,8.5,20.5,25.5,13.78,0.83
38,13.13,13.5,0.0,8.07,0.36,2.63,3.5,7.5,19.5,24.5,13.11,0.83
39,12.44,12.5,0.0,7.95,0.39,2.64,2.5,6.5,18.5,23.5,12.45,0.8
40,11.77,11.5,0.0,7.81,0.43,2.66,1.5,6.5,17.5,22.5,11.73,0.76
41,11.11,10.5,0.0,7.67,0.47,2.68,1.5,5.5,16.5,22.5,11.1,0.73
42,10.46,10.5,0.0,7.52,0.51,2.7,0.0,4.5,16.5,21.5,10.49,0.76
43,9.82,9.5,0.0,7.35,0.55,2.74,0.0,4.5,15.5,20.5,9.83,0.75
44,9.19,8.5,0.0,7.18,0.6,2.8,0.0,3.5,14.5,19.5,9.17,0.72
45,8.56,8.5,0.0,6.99,0.66,2.87,0.0,2.5,13.5,18.5,8.52,0.78
46,7.95,7.5,0.0,6.79,0.72,2.96,0.0,2.5,13.5,17.5,7.94,0.7
47,7.35,6.5,0.0,6.57,0.79,3.07,0.0,1.5,12.5,17.5,7.39,0.66
48,6.77,6.5,0.0,6.33,0.86,3.22,0.0,1.5,11.5,16.5,6.76,0.66
49,6.2,5.5,0.0,6.09,0.95,3.4,0.0,0.0,10.5,15.5,6.2,0.62
50,5.65,4.5,0.0,5.83,1.04,3.61,0.0,0.0,9.5,14.5,5.67,0.6
51,5.13,4.5,0.0,5.56,1.13,3.87,0.0,0.0,8.5,13.5,5.13,0.53
52,4.64,3.5,0.0,5.28,1.23,4.17,0.0,0.0,8.5,12.5,4.63,0.51
53,4.19,2.5,0.0,5.01,1.34,4.52,0.0,0.0,7.5,12.5,4.15,0.48
54,3.77,2.5,0.0,4.74,1.44,4.91,0.0,0.0,6.5,11.5,3.74,0.46
55,3.39,1.5,0.0,4.47,1.56,5.34,0.0,0.0,6.5,10.5,3.36,0.43
56,3.04,1.5,0.0,4.21,1.67,5.81,0.0,0.0,5.5,9.5,3.0,0.36
57,2.74,1.5,0.0,3.97,1.79,6.33,0.0,0.0,4.5,9.5,2.7,0.33
58,2.47,0.0,0.0,3.75,1.9,6.87,0.0,0.0,4.5,8.5,2.44,0.33
59,2.22,0.0,0.0,3.53,2.01,7.45,0.0,0.0,3.5,7.5,2.19,0.32
60,2.01,0.0,0.0,3.33,2.13,8.07,0.0,0.0,3.5,7.5,1.98,0.28
61,1.82,0.0,0.0,3.15,2.25,8.73,0.0,0.0,3.5,6.5,1.79,0.26
62,1.64,0.0,0.0,2.97,2.37,9.44,0.0,0.0,2.5,6.5,1.63,0.26
63,1.48,0.0,0.0,2.8,2.49,10.21,0.0,0.0,2.5,5.5,1.48,0.25
