age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
18,30.59,31.5,32.0,9.75,-0.24,2.84,18.5,24.5,38.5,43.5,30.63,0.32
19,29.82,30.5,32.0,9.7,-0.23,2.83,17.5,23.5,37.5,42.5,29.85,0.33
20,29.03,30.5,31.0,9.66,-0.22,2.81,16.5,23.5,36.5,41.5,29.04,0.31
21,28.24,29.5,30.0,9.61,-0.22,2.79,15.5,22.5,35.5,40.5,28.26,0.31
22,27.45,28.5,29.0,9.55,-0.21,2.77,15.5,21.5,34.5,39.5,27.48,0.32
23,26.66,27.5,28.0,9.49,-0.2,2.75,14.5,20.5,33.5,39.5,26.71,0.32
24,25.88,26.5,28.0,9.43,-0.19,2.73,13.5,20.5,33.5,38.5,25.92,0.33
25,25.11,26.5,27.0,9.36,-0.18,2.71,13.5,19.5,32.5,37.5,25.15,0.31
26,24.35,25.5,26.0,9.29,-0.17,2.69,12.5,18.5,31.5,36.5,24.39,0.3
27,23.6,24.5,25.0,9.21,-0.16,2.67,11.5,17.5,30.5,35.5,23.63,0.31
28,22.87,23.5,24.0,9.13,-0.15,2.65,11.5,17.5,29.5,34.5,22.89,0.31
29,22.14,23.5,24.0,9.05,-0.14,2.63,10.5,16.5,29.5,34.5,22.19,0.33
30,21.42,22.5,23.0,8.96,-0.13,2.61,9.5,15.5,28.5,33.5,21.47,0.31
31,20.71,21.5,22.0,8.87,-0.12,2.59,9.5,15.5,27.5,32.5,20.76,0.34
32,19.99,20.5,22.0,8.78,-0.11,2.57,8.5,14.5,26.5,31.5,20.06,0.32
33,19.27,20.5,21.0,8.69,-0.09,2.55,7.5,13.5,26.5,30.5,19.33,0.31
34,18.55,19.5,20.0,8.6,-0.08,2.53,7.5,13.5,25.5,29.5,18.61,0.32
35,17.83,18.5,19.0,8.5,-0.06,2.51,6.5,12.5,24.5,29.5,17.88,0.31
36,17.1,17.5,19.0,8.4,-0.04,2.48,5.5,11.5,23.5,28.5,17.15,0.3
37,16.36,17.5,18.0,8.3,-0.01,2.46,5.5,10.5,22.5,27.5,16.4,0.29
38,15.61,16.5,17.0,8.19,0.01,2.44,4.5,10.5,22.5,26.5,15.66,0.31
39,14.84,15.5,0.0,8.07,0.04,2.41,4.5,9.5,21.5,25.5,14.89,0.31
40,14.07,14.5,0.0,7.95,0.08,2.39,3.5,8.5,20.5,24.5,14.09,0.29
41,13.3,13.5,0.0,7.82,0.11,2.37,2.5,7.5,19.5,23.5,13.33,0.27
42,12.52,13.5,0.0,7.67,0.16,2.36,2.5,7.5,18.5,23.5,12.55,0.27
43,11.74,12.5,0.0,7.52,0.2,2.35,1.5,6.5,17.5,22.5,11.78,0.27
44,10.97,11.5,0.0,7.35,0.26,2.36,0.0,5.5,16.5,21.5,11.0,0.26
45,10.2,10.5,0.0,7.17,0.31,2.37,0.0,4.5,15.5,20.5,10.23,0.25
46,9.45,9.5,0.0,6.97,0.38,2.4,0.0,3.5,15.5,19.5,9.49,0.26
47,8.72,8.5,0.0,6.76,0.45,2.45,0.0,3.5,14.5,18.5,8.75,0.25
48,8.01,7.5,0.0,6.53,0.52,2.52,0.0,2.5,13.5,17.5,8.03,0.23
49,7.31,7.5,0.0,6.29,0.61,2.62,0.0,1.5,12.5,16.5,7.34,0.21
50,6.63,6.5,0.0,6.03,0.7,2.75,0.0,1.5,11.5,15.5,6.64,0.21
51,5.97,5.5,0.0,5.76,0.8,2.92,0.0,0.0,10.5,14.5,5.97,0.19
52,5.35,4.5,0.0,5.46,0.91,3.14,0.0,0.0,9.5,13.5,5.35,0.18
53,4.76,3.5,0.0,5.16,1.02,3.42,0.0,0.0,8.5,12.5,4.75,0.16
54,4.21,3.5,0.0,4.85,1.15,3.75,0.0,0.0,7.5,11.5,4.2,0.16
55,3.7,2.5,0.0,4.54,1.28,4.16,0.0,0.0,6.5,10.5,3.69,0.14
56,3.23,1.5,0.0,4.23,1.42,4.66,0.0,0.0,6.5,10.5,3.22,0.13
57,2.81,1.5,0.0,3.91,1.58,5.25,0.0,0.0,5.5,9.5,2.8,0.12
58,2.43,0.0,0.0,3.61,1.74,5.94,0.0,0.0,4.5,8.5,2.42,0.11
59,2.1,0.0,0.0,3.32,1.91,6.72,0.0,0.0,3.5,7.5,2.1,0.1
60,1.81,0.0,0.0,3.06,2.08,7.59,0.0,0.0,3.5,6.5,1.81,0.08
61,1.57,0.0,0.0,2.82,2.25,8.55,0.0,0.0,2.5,6.5,1.56,0.07
62,1.36,0.0,0.0,2.59,2.43,9.62,0.0,0.0,2.5,5.5,1.36,0.07
63,1.18,0.0,0.0,2.39,2.61,10.79,0.0,0.0,1.5,4.5,1.18,0.06
64,1.02,0.0,0.0,2.2,2.81,12.14,0.0,0.0,1.5,4.5,1.02,0.05
65,0.88,0.0,0.0,2.02,3.02,13.74,0.0,0.0,1.5,3.5,0.88,0.05
66,0.75,0.0,0.0,1.84,3.26,15.64,0.0,0.0,0.0,3.5,0.74,0.05
67,0.64,0.0,0.0,1.67,3.52,17.88,0.0,0.0,0.0,2.5,0.63,0.04
68,0.54,0.0,0.0,1.52,3.79,20.41,0.0,0.0,0.0,2.5,0.53,0.04
69,0.46,0.0,0.0,1.38,4.06,23.11,0.0,0.0,0.0,2.5,0.45,0.04
70,0.4,0.0,0.0,1.27,4.31,25.88,0.0,0.0,0.0,1.5,0.39,0.03
71,0.35,0.0,0.0,1.17,4.57,28.78,0.0,0.0,0.0,1.5,0.34,0.03
72,0.31,0.0,0.0,1.09,4.85,32.12,0.0,0.0,0.0,1.5,0.3,0.03
73,0.26,0.0,0.0,1.0,5.18,36.44,0.0,0.0,0.0,1.5,0.26,0.03
74,0.22,0.0,0.0,0.9,5.63,42.61,0.0,0.0,0.0,0.0,0.21,0.02
75,0.18,0.0,0.0,0.79,6.21,51.4,0.0,0.0,0.0,0.0,0.17,0.02
76,0.14,0.0,0.0,0.69,6.9,62.99,0.0,0.0,0.0,0.0,0.14,0.02
77,0.11,0.0,0.0,0.61,7.65,76.99,0.0,0.0,0.0,0.0,0.11,0.01
78,0.09,0.0,0.0,0.53,8.43,93.22,0.0,0.0,0.0,0.0,0.09,0.01
79,0.07,0.0,0.0,0.47,9.24,111.49,0.0,0.0,0.0,0.0,0.07,0.0
80,0.06,0.0,0.0,0.42,10.05,131.7,0.0,0.0,0.0,0.0,0.06,0.0
81,0.05,0.0,0.0,0.37,10.92,155.16,0.0,0.0,0.0,0.0,0.05,0.0
82,0.04,0.0,0.0,0.33,11.89,183.46,0.0,0.0,0.0,0.0,0.04,0.0
83,0.03,0.0,0.0,0.29,12.97,218.1,0.0,0.0,0.0,0.0,0.03,0.0
84,0.03,0.0,0.0,0.26,14.16,259.58,0.0,0.0,0.0,0.0,0.03,0.0
85,0.02,0.0,0.0,0.23,15.47,309.63,0.0,0.0,0.0,0.0,0.02,0.0
86,0.02,0.0,0.0,0.2,16.87,368.01,0.0,0.0,0.0,0.0,0.02,0.0
87,0.01,0.0,0.0,0.18,18.37,435.81,0.0,0.0,0.0,0.0,0.01,0.0
88,0.01,0.0,0.0,0.16,20.0,516.47,0.0,0.0,0.0,0.0,0.01,0.0
89,0.01,0.0,0.0,0.14,21.9,618.94,0.0,0.0,0.0,0.0,0.01,0.0
90,0.01,0.0,0.0,0.13,23.87,734.69,0.0,0.0,0.0,0.0,0.01,0.0
