age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
20,31.92,32.5,34.0,9.55,-0.3,3.01,19.5,26.5,39.5,44.5,31.94,0.36
21,30.99,32.5,33.0,9.52,-0.29,2.98,18.5,25.5,38.5,43.5,30.99,0.38
22,30.01,31.5,32.0,9.48,-0.28,2.95,17.5,24.5,37.5,42.5,30.0,0.36
23,29.06,30.5,31.0,9.44,-0.27,2.93,17.5,23.5,36.5,41.5,29.08,0.35
24,28.15,29.5,30.0,9.39,-0.25,2.9,16.5,22.5,35.5,40.5,28.17,0.38
25,27.27,28.5,29.0,9.33,-0.24,2.87,15.5,21.5,34.5,39.5,27.27,0.36
26,26.42,27.5,28.0,9.26,-0.23,2.85,14.5,20.5,33.5,38.5,26.43,0.37
27,25.61,26.5,27.0,9.19,-0.22,2.82,13.5,20.5,32.5,37.5,25.61,0.38
28,24.83,25.5,27.0,9.12,-0.21,2.8,13.5,19.5,31.5,36.5,24.83,0.39
29,24.06,25.5,26.0,9.04,-0.19,2.78,12.5,18.5,30.5,35.5,24.08,0.36
30,23.29,24.5,25.0,8.96,-0.18,2.75,11.5,17.5,30.5,34.5,23.3,0.36
31,22.52,23.5,24.0,8.89,-0.17,2.73,11.5,17.5,29.5,34.5,22.53,0.36
32,21.74,22.5,23.0,8.8,-0.15,2.71,10.5,16.5,28.5,33.5,21.76,0.36
33,20.97,21.5,23.0,8.72,-0.14,2.68,9.5,15.5,27.5,32.5,20.97,0.37
34,20.19,21.5,22.0,8.63,-0.12,2.66,8.5,14.5,26.5,31.5,20.2,0.35
35,19.4,20.5,21.0,8.54,-0.1,2.63,8.5,14.5,26.5,30.5,19.42,0.34
36,18.62,19.5,20.0,8.45,-0.08,2.61,7.5,13.5,25.5,29.5,18.62,0.34
37,17.84,18.5,19.0,8.35,-0.06,2.58,6.5,12.5,24.5,28.5,17.86,0.35
38,17.06,17.5,19.0,8.25,-0.03,2.56,6.5,11.5,23.5,28.5,17.08,0.35
39,16.28,17.5,18.0,8.15,-0.01,2.53,5.5,10.5,22.5,27.5,16.29,0.33
40,15.48,16.5,17.0,8.03,0.03,2.51,4.5,10.5,21.5,26.5,15.51,0.34
41,14.68,15.5,16.0,7.91,0.06,2.49,4.5,9.5,20.5,25.5,14.71,0.36
42,13.88,14.5,0.0,7.78,0.1,2.47,3.5,8.5,19.5,24.5,13.9,0.37
43,13.08,13.5,0.0,7.64,0.14,2.45,2.5,7.5,19.5,23.5,13.13,0.36
44,12.31,12.5,0.0,7.5,0.18,2.44,2.5,7.5,18.5,22.5,12.33,0.35
45,11.57,12.5,0.0,7.35,0.22,2.44,1.5,6.5,17.5,21.5,11.57,0.37
46,10.84,11.5,0.0,7.19,0.27,2.45,0.0,5.5,16.5,20.5,10.84,0.35
47,10.13,10.5,0.0,7.02,0.33,2.46,0.0,4.5,15.5,19.5,10.13,0.35
48,9.4,9.5,0.0,6.84,0.39,2.49,0.0,4.5,14.5,19.5,9.42,0.33
49,8.67,8.5,0.0,6.65,0.46,2.55,0.0,3.5,13.5,18.5,8.68,0.34
50,7.93,7.5,0.0,6.43,0.55,2.63,0.0,2.5,12.5,17.5,7.93,0.32
51,7.19,6.5,0.0,6.19,0.64,2.75,0.0,1.5,12.5,16.5,7.2,0.31
52,6.46,6.5,0.0,5.92,0.75,2.91,0.0,1.5,11.5,15.5,6.45,0.27
53,5.76,5.5,0.0,5.63,0.86,3.13,0.0,0.0,10.5,14.5,5.76,0.23
54,5.11,4.5,0.0,5.33,0.98,3.41,0.0,0.0,9.5,13.5,5.09,0.22
55,4.52,3.5,0.0,5.01,1.11,3.75,0.0,0.0,8.5,12.5,4.5,0.21
56,3.97,2.5,0.0,4.7,1.25,4.15,0.0,0.0,7.5,11.5,3.94,0.19
57,3.48,2.5,0.0,4.39,1.39,4.62,0.0,0.0,6.5,10.5,3.47,0.17
58,3.04,1.5,0.0,4.08,1.54,5.18,0.0,0.0,5.5,9.5,3.03,0.16
59,2.64,1.5,0.0,3.78,1.69,5.84,0.0,0.0,4.5,8.5,2.63,0.14
60,2.29,0.0,0.0,3.5,1.85,6.57,0.0,0.0,4.5,7.5,2.27,0.13
61,2.0,0.0,0.0,3.24,2.01,7.35,0.0,0.0,3.5,7.5,1.98,0.12
62,1.76,0.0,0.0,3.02,2.16,8.14,0.0,0.0,3.5,6.5,1.74,0.11
63,1.57,0.0,0.0,2.82,2.3,8.95,0.0,0.0,2.5,6.5,1.55,0.1
64,1.4,0.0,0.0,2.64,2.45,9.82,0.0,0.0,2.5,5.5,1.38,0.09
65,1.24,0.0,0.0,2.47,2.6,10.82,0.0,0.0,1.5,5.5,1.23,0.09
66,1.09,0.0,0.0,2.3,2.78,12.05,0.0,0.0,1.5,4.5,1.08,0.09
67,0.94,0.0,0.0,2.13,2.98,13.53,0.0,0.0,1.5,4.5,0.93,0.08
68,0.82,0.0,0.0,1.96,3.21,15.27,0.0,0.0,0.0,3.5,0.81,0.07
69,0.7,0.0,0.0,1.8,3.44,17.28,0.0,0.0,0.0,3.5,0.69,0.07
70,0.61,0.0,0.0,1.65,3.69,19.54,0.0,0.0,0.0,2.5,0.6,0.06
71,0.52,0.0,0.0,1.52,3.95,22.08,0.0,0.0,0.0,2.5,0.52,0.06
72,0.45,0.0,0.0,1.39,4.24,25.09,0.0,0.0,0.0,2.5,0.45,0.05
73,0.38,0.0,0.0,1.27,4.57,28.74,0.0,0.0,0.0,1.5,0.38,0.05
74,0.32,0.0,0.0,1.15,4.93,33.12,0.0,0.0,0.0,1.5,0.32,0.04
75,0.27,0.0,0.0,1.04,5.33,38.41,0.0,0.0,0.0,0.0,0.27,0.03
76,0.22,0.0,0.0,0.94,5.78,44.8,0.0,0.0,0.0,0.0,0.22,0.02
77,0.19,0.0,0.0,0.84,6.25,52.04,0.0,0.0,0.0,0.0,0.19,0.02
78,0.16,0.0,0.0,0.76,6.72,59.75,0.0,0.0,0.0,0.0,0.16,0.01
79,0.13,0.0,0.0,0.69,7.18,67.91,0.0,0.0,0.0,0.0,0.13,0.0
80,0.11,0.0,0.0,0.63,7.65,76.86,0.0,0.0,0.0,0.0,0.12,0.0
81,0.1,0.0,0.0,0.58,8.17,87.4,0.0,0.0,0.0,0.0,0.1,0.0
82,0.08,0.0,0.0,0.52,8.79,100.82,0.0,0.0,0.0,0.0,0.08,0.0
83,0.07,0.0,0.0,0.47,9.53,118.2,0.0,0.0,0.0,0.0,0.07,0.0
84,0.06,0.0,0.0,0.42,10.35,138.95,0.0,0.0,0.0,0.0,0.06,0.0
85,0.05,0.0,0.0,0.37,11.22,163.05,0.0,0.0,0.0,0.0,0.05,0.0
86,0.04,0.0,0.0,0.33,12.14,190.7,0.0,0.0,0.0,0.0,0.04,0.0
87,0.03,0.0,0.0,0.3,13.1,221.6,0.0,0.0,0.0,0.0,0.03,0.0
88,0.03,0.0,0.0,0.27,14.16,258.83,0.0,0.0,0.0,0.0,0.03,0.0
89,0.02,0.0,0.0,0.24,15.34,303.36,0.0,0.0,0.0,0.0,0.02,0.0
90,0.02,0.0,0.0,0.21,16.61,355.65,0.0,0.0,0.0,0.0,0.02,0.0
