age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
21,34.08,35.5,36.0,9.12,-0.44,3.5,22.5,29.5,40.5,45.5,33.99,0.5
22,33.22,34.5,36.0,9.07,-0.43,3.45,21.5,28.5,39.5,44.5,33.12,0.41
23,32.36,33.5,35.0,9.02,-0.41,3.41,21.5,27.5,39.5,43.5,32.3,0.4
24,31.51,32.5,34.0,8.97,-0.4,3.36,20.5,26.5,38.5,42.5,31.45,0.37
25,30.65,31.5,33.0,8.91,-0.38,3.32,19.5,25.5,37.5,41.5,30.6,0.38
26,29.8,30.5,32.0,8.86,-0.37,3.28,18.5,24.5,36.5,40.5,29.76,0.36
27,28.94,30.5,31.0,8.81,-0.35,3.24,17.5,23.5,35.5,40.5,28.91,0.37
28,28.08,29.5,30.0,8.75,-0.34,3.2,17.5,23.5,34.5,39.5,28.05,0.38
29,27.21,28.5,29.0,8.7,-0.32,3.16,16.5,22.5,33.5,38.5,27.2,0.4
30,26.33,27.5,28.0,8.65,-0.3,3.12,15.5,21.5,32.5,37.5,26.31,0.41
31,25.44,26.5,28.0,8.59,-0.28,3.08,14.5,20.5,31.5,36.5,25.42,0.39
32,24.54,25.5,27.0,8.54,-0.27,3.04,13.5,19.5,30.5,35.5,24.52,0.37
33,23.65,24.5,26.0,8.48,-0.25,3.0,12.5,18.5,29.5,34.5,23.62,0.39
34,22.75,23.5,25.0,8.42,-0.23,2.96,11.5,17.5,29.5,33.5,22.72,0.41
35,21.85,22.5,24.0,8.36,-0.21,2.93,11.5,16.5,28.5,32.5,21.81,0.4
36,20.95,21.5,23.0,8.29,-0.18,2.89,10.5,16.5,27.5,31.5,20.95,0.38
37,20.05,21.5,22.0,8.22,-0.16,2.85,9.5,15.5,26.5,30.5,20.05,0.39
38,19.15,20.5,21.0,8.15,-0.13,2.81,8.5,14.5,25.5,29.5,19.13,0.39
39,18.26,19.5,20.0,8.07,-0.1,2.77,7.5,13.5,24.5,28.5,18.21,0.39
40,17.37,18.5,19.0,7.98,-0.07,2.74,6.5,12.5,23.5,27.5,17.32,0.4
41,16.48,17.5,18.0,7.88,-0.03,2.7,6.5,11.5,22.5,26.5,16.49,0.39
42,15.6,16.5,17.0,7.78,0.01,2.67,5.5,10.5,21.5,25.5,15.58,0.37
43,14.73,15.5,16.0,7.67,0.05,2.64,4.5,9.5,20.5,24.5,14.7,0.38
44,13.87,14.5,15.0,7.54,0.1,2.62,3.5,9.5,19.5,24.5,13.87,0.37
45,13.02,13.5,0.0,7.41,0.15,2.61,3.5,8.5,18.5,23.5,13.02,0.38
46,12.19,12.5,0.0,7.26,0.2,2.6,2.5,7.5,17.5,22.5,12.21,0.4
47,11.38,11.5,0.0,7.11,0.26,2.61,1.5,6.5,16.5,21.5,11.37,0.38
48,10.58,10.5,0.0,6.94,0.32,2.62,1.5,5.5,15.5,20.5,10.56,0.38
49,9.79,10.5,0.0,6.76,0.39,2.66,0.0,4.5,14.5,19.5,9.78,0.35
50,9.02,9.5,0.0,6.57,0.46,2.71,0.0,4.5,13.5,18.5,9.0,0.34
51,8.28,8.5,0.0,6.37,0.55,2.79,0.0,3.5,13.5,17.5,8.3,0.33
52,7.55,7.5,0.0,6.15,0.63,2.9,0.0,2.5,12.5,16.5,7.58,0.31
53,6.85,6.5,0.0,5.92,0.73,3.04,0.0,1.5,11.5,15.5,6.86,0.31
54,6.17,5.5,0.0,5.67,0.83,3.22,0.0,1.5,10.5,14.5,6.18,0.25
55,5.53,4.5,0.0,5.41,0.94,3.46,0.0,0.0,9.5,13.5,5.54,0.25
56,4.92,4.5,0.0,5.14,1.06,3.74,0.0,0.0,8.5,12.5,4.93,0.23
57,4.35,3.5,0.0,4.87,1.2,4.1,0.0,0.0,7.5,11.5,4.37,0.24
58,3.81,2.5,0.0,4.58,1.34,4.54,0.0,0.0,6.5,10.5,3.83,0.23
59,3.32,1.5,0.0,4.29,1.49,5.06,0.0,0.0,6.5,10.5,3.36,0.21
60,2.88,1.5,0.0,4.01,1.65,5.68,0.0,0.0,5.5,9.5,2.89,0.2
61,2.5,0.0,0.0,3.73,1.81,6.4,0.0,0.0,4.5,8.5,2.49,0.18
62,2.17,0.0,0.0,3.46,1.98,7.19,0.0,0.0,3.5,7.5,2.16,0.17
63,1.88,0.0,0.0,3.22,2.15,8.07,0.0,0.0,3.5,7.5,1.88,0.17
64,1.64,0.0,0.0,2.99,2.32,9.03,0.0,0.0,2.5,6.5,1.64,0.16
65,1.44,0.0,0.0,2.79,2.49,10.07,0.0,0.0,2.5,5.5,1.43,0.16
66,1.26,0.0,0.0,2.59,2.67,11.24,0.0,0.0,1.5,5.5,1.25,0.14
67,1.1,0.0,0.0,2.41,2.86,12.56,0.0,0.0,1.5,4.5,1.1,0.13
68,0.96,0.0,0.0,2.24,3.07,14.07,0.0,0.0,0.0,4.5,0.96,0.12
69,0.84,0.0,0.0,2.07,3.29,15.82,0.0,0.0,0.0,3.5,0.84,0.12
70,0.72,0.0,0.0,1.91,3.53,17.9,0.0,0.0,0.0,3.5,0.72,0.11
71,0.62,0.0,0.0,1.76,3.8,20.38,0.0,0.0,0.0,2.5,0.62,0.11
72,0.53,0.0,0.0,1.61,4.1,23.4,0.0,0.0,0.0,2.5,0.53,0.1
73,0.45,0.0,0.0,1.46,4.44,27.09,0.0,0.0,0.0,1.5,0.44,0.1
74,0.37,0.0,0.0,1.32,4.83,31.63,0.0,0.0,0.0,1.5,0.37,0.08
75,0.31,0.0,0.0,1.19,5.27,37.27,0.0,0.0,0.0,0.0,0.31,0.07
76,0.25,0.0,0.0,1.07,5.78,44.35,0.0,0.0,0.0,0.0,0.26,0.06
77,0.21,0.0,0.0,0.95,6.37,53.41,0.0,0.0,0.0,0.0,0.21,0.05
78,0.16,0.0,0.0,0.84,7.06,65.19,0.0,0.0,0.0,0.0,0.16,0.03
79,0.13,0.0,0.0,0.73,7.87,80.45,0.0,0.0,0.0,0.0,0.13,0.0
80,0.1,0.0,0.0,0.64,8.82,100.49,0.0,0.0,0.0,0.0,0.1,0.0
81,0.08,0.0,0.0,0.55,9.92,126.9,0.0,0.0,0.0,0.0,0.08,0.0
82,0.06,0.0,0.0,0.47,11.18,160.64,0.0,0.0,0.0,0.0,0.06,0.0
83,0.04,0.0,0.0,0.4,12.49,200.21,0.0,0.0,0.0,0.0,0.04,0.0
84,0.04,0.0,0.0,0.35,13.63,238.21,0.0,0.0,0.0,0.0,0.04,0.0
85,0.03,0.0,0.0,0.32,14.5,269.07,0.0,0.0,0.0,0.0,0.03,0.0
86,0.03,0.0,0.0,0.3,15.32,300.5,0.0,0.0,0.0,0.0,0.03,0.0
87,0.02,0.0,0.0,0.27,16.47,346.97,0.0,0.0,0.0,0.0,0.02,0.0
88,0.02,0.0,0.0,0.24,17.96,412.56,0.0,0.0,0.0,0.0,0.02,0.0
89,0.01,0.0,0.0,0.21,19.65,493.48,0.0,0.0,0.0,0.0,0.01,0.0
90,0.01,0.0,0.0,0.18,21.52,591.94,0.0,0.0,0.0,0.0,0.01,0.0
