age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
22,35.52,36.5,38.0,8.79,-0.64,3.79,24.5,30.5,42.5,46.5,35.51,0.28
23,34.47,35.5,37.0,8.78,-0.62,3.71,23.5,29.5,41.5,45.5,34.44,0.3
24,33.36,34.5,36.0,8.78,-0.6,3.63,22.5,28.5,39.5,44.5,33.33,0.28
25,32.23,33.5,35.0,8.78,-0.58,3.54,21.5,27.5,38.5,43.5,32.21,0.3
26,31.06,32.5,34.0,8.78,-0.55,3.46,19.5,26.5,37.5,41.5,31.05,0.27
27,29.89,31.5,32.0,8.78,-0.52,3.37,18.5,25.5,36.5,40.5,29.86,0.3
28,28.72,30.5,31.0,8.76,-0.49,3.29,17.5,23.5,35.5,39.5,28.71,0.29
29,27.6,28.5,30.0,8.72,-0.46,3.22,16.5,22.5,34.5,38.5,27.58,0.31
30,26.54,27.5,29.0,8.66,-0.44,3.16,15.5,21.5,33.5,37.5,26.52,0.32
31,25.55,26.5,28.0,8.58,-0.41,3.11,14.5,20.5,32.5,36.5,25.51,0.32
32,24.61,25.5,27.0,8.5,-0.39,3.06,13.5,19.5,31.5,35.5,24.58,0.31
33,23.72,24.5,26.0,8.4,-0.37,3.02,12.5,18.5,30.5,34.5,23.7,0.29
34,22.86,23.5,25.0,8.31,-0.34,2.98,12.5,18.5,29.5,33.5,22.84,0.28
35,22.02,23.5,24.0,8.21,-0.32,2.94,11.5,17.5,28.5,32.5,22.01,0.29
36,21.2,22.5,23.0,8.1,-0.3,2.9,10.5,16.5,27.5,31.5,21.18,0.28
37,20.38,21.5,22.0,8.0,-0.27,2.86,10.5,15.5,26.5,30.5,20.36,0.3
38,19.57,20.5,21.0,7.89,-0.25,2.82,9.5,14.5,25.5,29.5,19.54,0.31
39,18.76,19.5,20.0,7.77,-0.22,2.79,8.5,14.5,24.5,28.5,18.72,0.29
40,17.97,18.5,20.0,7.66,-0.2,2.75,8.5,13.5,23.5,28.5,17.94,0.28
41,17.2,18.5,19.0,7.54,-0.17,2.72,7.5,12.5,22.5,27.5,17.16,0.28
42,16.43,17.5,18.0,7.43,-0.14,2.68,6.5,11.5,22.5,26.5,16.41,0.27
43,15.66,16.5,17.0,7.32,-0.11,2.65,6.5,11.5,21.5,25.5,15.63,0.26
44,14.87,15.5,16.0,7.2,-0.07,2.61,5.5,10.5,20.5,24.5,14.84,0.27
45,14.07,14.5,15.0,7.08,-0.03,2.57,4.5,9.5,19.5,23.5,14.05,0.27
46,13.27,13.5,14.0,6.96,0.01,2.54,3.5,8.5,18.5,22.5,13.24,0.27
47,12.48,13.5,13.0,6.83,0.06,2.51,3.5,8.5,17.5,21.5,12.45,0.28
48,11.68,12.5,0.0,6.7,0.11,2.49,2.5,7.5,16.5,20.5,11.66,0.26
49,10.88,11.5,0.0,6.56,0.17,2.47,1.5,6.5,16.5,19.5,10.86,0.28
50,10.07,10.5,0.0,6.41,0.23,2.47,1.5,5.5,15.5,19.5,10.04,0.25
51,9.25,9.5,0.0,6.24,0.31,2.48,0.0,4.5,14.5,18.5,9.22,0.25
52,8.43,8.5,0.0,6.05,0.39,2.51,0.0,3.5,13.5,17.5,8.42,0.23
53,7.61,7.5,0.0,5.84,0.49,2.58,0.0,3.5,12.5,16.5,7.6,0.21
54,6.82,6.5,0.0,5.61,0.59,2.69,0.0,2.5,11.5,15.5,6.82,0.21
55,6.07,5.5,0.0,5.35,0.71,2.85,0.0,1.5,10.5,14.5,6.07,0.2
56,5.36,4.5,0.0,5.07,0.83,3.06,0.0,0.0,9.5,13.5,5.36,0.21
57,4.7,4.5,0.0,4.78,0.96,3.34,0.0,0.0,8.5,12.5,4.7,0.2
58,4.11,3.5,0.0,4.49,1.09,3.67,0.0,0.0,7.5,11.5,4.1,0.18
59,3.58,2.5,0.0,4.19,1.23,4.07,0.0,0.0,6.5,10.5,3.58,0.18
60,3.1,1.5,0.0,3.89,1.38,4.55,0.0,0.0,5.5,9.5,3.09,0.16
61,2.67,1.5,0.0,3.59,1.53,5.12,0.0,0.0,4.5,8.5,2.66,0.15
62,2.29,0.0,0.0,3.3,1.7,5.79,0.0,0.0,4.5,7.5,2.27,0.15
63,1.97,0.0,0.0,3.03,1.85,6.49,0.0,0.0,3.5,6.5,1.96,0.13
64,1.72,0.0,0.0,2.8,2.0,7.2,0.0,0.0,3.5,6.5,1.71,0.12
65,1.52,0.0,0.0,2.61,2.13,7.93,0.0,0.0,2.5,5.5,1.51,0.11
66,1.34,0.0,0.0,2.42,2.28,8.74,0.0,0.0,2.5,5.5,1.33,0.1
67,1.18,0.0,0.0,2.25,2.44,9.68,0.0,0.0,1.5,4.5,1.16,0.09
68,1.02,0.0,0.0,2.08,2.62,10.83,0.0,0.0,1.5,4.5,1.02,0.09
69,0.88,0.0,0.0,1.9,2.83,12.29,0.0,0.0,1.5,3.5,0.87,0.08
70,0.74,0.0,0.0,1.73,3.07,14.15,0.0,0.0,0.0,3.5,0.74,0.08
71,0.62,0.0,0.0,1.56,3.36,16.52,0.0,0.0,0.0,2.5,0.62,0.07
72,0.51,0.0,0.0,1.39,3.7,19.54,0.0,0.0,0.0,2.5,0.51,0.06
73,0.41,0.0,0.0,1.24,4.08,23.33,0.0,0.0,0.0,1.5,0.41,0.05
74,0.33,0.0,0.0,1.1,4.48,27.75,0.0,0.0,0.0,1.5,0.33,0.05
