age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
25,34.38,35.5,36.0,7.89,-0.79,4.56,25.5,30.5,40.5,43.5,34.36,0.56
26,33.34,34.5,35.0,7.87,-0.76,4.42,23.5,29.5,39.5,42.5,33.29,0.5
27,32.27,33.5,34.0,7.85,-0.72,4.29,22.5,28.5,37.5,41.5,32.3,0.42
28,31.2,32.5,33.0,7.83,-0.69,4.16,21.5,27.5,36.5,40.5,31.24,0.37
29,30.14,31.5,32.0,7.8,-0.65,4.03,20.5,26.5,35.5,39.5,30.14,0.35
30,29.08,30.5,31.0,7.77,-0.62,3.91,19.5,25.5,34.5,38.5,29.08,0.35
31,28.03,29.5,30.0,7.73,-0.59,3.81,18.5,24.5,33.5,37.5,28.04,0.4
32,26.99,28.5,29.0,7.69,-0.55,3.71,17.5,23.5,32.5,36.5,27.02,0.38
33,25.98,27.5,28.0,7.63,-0.52,3.62,16.5,22.5,31.5,35.5,26.0,0.37
34,24.99,26.5,27.0,7.56,-0.49,3.53,15.5,21.5,30.5,34.5,24.98,0.4
35,24.04,25.5,26.0,7.49,-0.46,3.46,14.5,20.5,29.5,33.5,24.02,0.39
36,23.12,24.5,25.0,7.4,-0.42,3.39,14.5,19.5,28.5,32.5,23.13,0.37
37,22.24,23.5,24.0,7.32,-0.39,3.33,13.5,18.5,27.5,31.5,22.24,0.4
38,21.38,22.5,23.0,7.23,-0.36,3.27,12.5,17.5,26.5,30.5,21.38,0.39
39,20.53,21.5,22.0,7.14,-0.33,3.21,11.5,16.5,25.5,29.5,20.54,0.37
40,19.68,20.5,21.0,7.05,-0.3,3.16,10.5,15.5,24.5,28.5,19.67,0.37
41,18.83,19.5,20.0,6.96,-0.27,3.1,10.5,15.5,24.5,27.5,18.85,0.37
42,17.98,18.5,19.0,6.87,-0.23,3.04,9.5,14.5,23.5,26.5,18.01,0.39
43,17.13,17.5,18.0,6.78,-0.2,2.99,8.5,13.5,22.5,25.5,17.15,0.38
44,16.27,17.5,17.0,6.69,-0.16,2.93,7.5,12.5,21.5,25.5,16.29,0.37
45,15.4,16.5,16.0,6.59,-0.12,2.88,7.5,11.5,20.5,24.5,15.43,0.4
46,14.53,15.5,15.0,6.5,-0.07,2.83,6.5,10.5,19.5,23.5,14.55,0.39
47,13.66,14.5,14.0,6.4,-0.03,2.78,5.5,9.5,18.5,22.5,13.71,0.4
48,12.78,13.5,13.0,6.29,0.03,2.74,4.5,9.5,17.5,21.5,12.84,0.42
49,11.92,12.5,12.0,6.18,0.08,2.7,3.5,8.5,16.5,20.5,11.96,0.4
50,11.06,11.5,11.0,6.06,0.14,2.67,3.5,7.5,15.5,19.5,11.05,0.39
51,10.2,10.5,10.0,5.93,0.21,2.66,2.5,6.5,14.5,18.5,10.24,0.38
52,9.36,9.5,0.0,5.79,0.28,2.66,1.5,5.5,13.5,17.5,9.4,0.38
53,8.52,8.5,0.0,5.63,0.37,2.68,1.5,4.5,12.5,16.5,8.58,0.33
54,7.7,7.5,0.0,5.45,0.46,2.74,0.0,3.5,11.5,15.5,7.72,0.35
55,6.9,6.5,0.0,5.26,0.56,2.83,0.0,3.5,10.5,14.5,6.89,0.31
56,6.11,6.5,0.0,5.04,0.68,2.97,0.0,2.5,9.5,13.5,6.08,0.29
57,5.37,5.5,0.0,4.79,0.8,3.18,0.0,1.5,8.5,12.5,5.37,0.23
58,4.68,4.5,0.0,4.53,0.94,3.45,0.0,0.0,8.5,11.5,4.67,0.22
59,4.05,3.5,0.0,4.25,1.08,3.81,0.0,0.0,7.5,10.5,4.04,0.21
60,3.49,2.5,0.0,3.96,1.24,4.24,0.0,0.0,6.5,9.5,3.49,0.2
61,3.01,2.5,0.0,3.68,1.39,4.73,0.0,0.0,5.5,8.5,3.01,0.17
62,2.63,1.5,0.0,3.43,1.53,5.25,0.0,0.0,4.5,8.5,2.63,0.16
63,2.32,1.5,0.0,3.22,1.66,5.79,0.0,0.0,4.5,7.5,2.32,0.14
64,2.04,0.0,0.0,3.01,1.81,6.43,0.0,0.0,3.5,6.5,2.03,0.14
65,1.76,0.0,0.0,2.79,1.98,7.25,0.0,0.0,3.5,6.5,1.74,0.13
66,1.49,0.0,0.0,2.56,2.18,8.31,0.0,0.0,2.5,5.5,1.48,0.12
67,1.26,0.0,0.0,2.34,2.4,9.56,0.0,0.0,2.5,5.5,1.26,0.12
68,1.07,0.0,0.0,2.14,2.61,10.91,0.0,0.0,1.5,4.5,1.07,0.11
69,0.92,0.0,0.0,1.98,2.82,12.36,0.0,0.0,1.5,4.5,0.92,0.1
70,0.79,0.0,0.0,1.82,3.05,14.12,0.0,0.0,0.0,3.5,0.79,0.09
71,0.66,0.0,0.0,1.65,3.34,16.47,0.0,0.0,0.0,3.5,0.65,0.09
72,0.54,0.0,0.0,1.47,3.7,19.66,0.0,0.0,0.0,2.5,0.53,0.08
73,0.43,0.0,0.0,1.31,4.1,23.61,0.0,0.0,0.0,2.5,0.43,0.07
74,0.35,0.0,0.0,1.16,4.5,28.0,0.0,0.0,0.0,1.5,0.35,0.06
75,0.29,0.0,0.0,1.05,4.89,32.68,0.0,0.0,0.0,1.5,0.29,0.06
76,0.25,0.0,0.0,0.94,5.28,37.83,0.0,0.0,0.0,0.0,0.25,0.05
77,0.21,0.0,0.0,0.86,5.7,43.63,0.0,0.0,0.0,0.0,0.21,0.04
78,0.17,0.0,0.0,0.78,6.14,50.26,0.0,0.0,0.0,0.0,0.17,0.03
79,0.15,0.0,0.0,0.7,6.63,58.27,0.0,0.0,0.0,0.0,0.15,0.0
80,0.12,0.0,0.0,0.63,7.21,68.61,0.0,0.0,0.0,0.0,0.12,0.0
81,0.1,0.0,0.0,0.56,7.92,82.44,0.0,0.0,0.0,0.0,0.1,0.0
82,0.08,0.0,0.0,0.49,8.78,100.76,0.0,0.0,0.0,0.0,0.08,0.0
83,0.06,0.0,0.0,0.43,9.79,124.77,0.0,0.0,0.0,0.0,0.06,0.0
84,0.05,0.0,0.0,0.37,10.96,156.02,0.0,0.0,0.0,0.0,0.05,0.0
85,0.04,0.0,0.0,0.32,12.25,194.41,0.0,0.0,0.0,0.0,0.04,0.0
86,0.03,0.0,0.0,0.28,13.62,239.76,0.0,0.0,0.0,0.0,0.03,0.0
87,0.02,0.0,0.0,0.24,15.03,292.0,0.0,0.0,0.0,0.0,0.02,0.0
88,0.02,0.0,0.0,0.21,16.54,353.08,0.0,0.0,0.0,0.0,0.02,0.0
89,0.01,0.0,0.0,0.19,18.18,426.37,0.0,0.0,0.0,0.0,0.01,0.0
90,0.01,0.0,0.0,0.16,19.99,515.23,0.0,0.0,0.0,0.0,0.01,0.0
