age,wle_mean,wle_median,wle_mode,wle_sd,wle_skewness,wle_kurtosis,wle_p10,wle_p25,wle_p75,wle_p90,wle_b_mean,wle_b_se
26,36.07,37.5,38.0,8.93,-0.61,4.13,25.5,31.5,42.5,46.5,36.17,1.2
27,35.06,36.5,37.0,8.9,-0.59,4.03,24.5,30.5,41.5,45.5,35.21,1.15
28,34.04,35.5,36.0,8.87,-0.56,3.94,23.5,29.5,40.5,44.5,34.21,0.94
29,33.02,34.5,35.0,8.84,-0.54,3.85,22.5,28.5,39.5,43.5,33.14,1.0
30,32.0,33.5,34.0,8.81,-0.51,3.77,21.5,27.5,38.5,42.5,32.14,0.93
31,30.99,32.5,33.0,8.78,-0.49,3.69,20.5,26.5,37.5,41.5,31.12,0.8
32,29.97,31.5,32.0,8.75,-0.46,3.61,19.5,25.5,36.5,40.5,30.11,0.87
33,28.95,30.5,31.0,8.72,-0.44,3.54,18.5,24.5,35.5,39.5,29.05,0.81
34,27.92,29.5,30.0,8.7,-0.42,3.47,17.5,23.5,34.5,38.5,28.11,0.83
35,26.89,28.5,29.0,8.68,-0.39,3.39,15.5,22.5,33.5,37.5,27.04,0.9
36,25.85,26.5,27.0,8.65,-0.37,3.32,14.5,21.5,32.5,36.5,26.02,0.96
37,24.8,25.5,26.0,8.63,-0.34,3.25,13.5,20.5,31.5,35.5,24.94,0.92
38,23.75,24.5,25.0,8.6,-0.31,3.17,12.5,19.5,29.5,34.5,23.92,0.95
39,22.7,23.5,24.0,8.57,-0.28,3.1,11.5,18.5,28.5,33.5,22.87,0.99
40,21.66,22.5,23.0,8.53,-0.24,3.03,10.5,16.5,27.5,32.5,21.77,0.94
41,20.62,21.5,22.0,8.48,-0.21,2.96,9.5,15.5,26.5,31.5,20.7,1.18
42,19.59,20.5,21.0,8.42,-0.17,2.89,8.5,14.5,25.5,30.5,19.68,1.18
43,18.57,19.5,20.0,8.35,-0.13,2.83,7.5,13.5,24.5,29.5,18.75,1.03
44,17.58,18.5,19.0,8.27,-0.08,2.77,6.5,12.5,23.5,28.5,17.69,1.03
45,16.59,17.5,18.0,8.18,-0.03,2.72,5.5,11.5,22.5,27.5,16.76,1.08
46,15.61,16.5,17.0,8.07,0.02,2.68,4.5,10.5,21.5,26.5,15.79,1.08
47,14.65,15.5,0.0,7.94,0.08,2.65,3.5,9.5,20.5,25.5,14.84,1.15
48,13.71,14.5,0.0,7.8,0.14,2.63,3.5,8.5,19.5,24.5,13.93,1.15
49,12.79,13.5,0.0,7.65,0.2,2.62,2.5,7.5,18.5,23.5,13.1,1.14
