age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,47.39,48.5,47.5,11.49,-0.87,4.97,33.5,42.5,54.5,60.5,47.39,0.12,40.16,7.23,1.18
19,46.43,47.5,46.5,11.42,-0.84,4.88,32.5,41.5,53.5,59.5,46.42,0.12,39.48,6.95,1.18
20,45.47,46.5,45.5,11.34,-0.81,4.78,32.5,40.5,52.5,58.5,45.46,0.13,38.77,6.7,1.17
21,44.52,45.5,44.5,11.25,-0.77,4.67,31.5,39.5,51.5,57.5,44.51,0.12,38.03,6.49,1.17
22,43.57,44.5,43.5,11.15,-0.73,4.56,30.5,38.5,50.5,56.5,43.56,0.13,37.26,6.3,1.17
23,42.62,43.5,42.5,11.05,-0.69,4.45,29.5,37.5,49.5,55.5,42.62,0.13,36.49,6.14,1.17
24,41.68,42.5,41.5,10.95,-0.65,4.33,28.5,36.5,48.5,54.5,41.67,0.13,35.69,5.99,1.17
25,40.73,41.5,40.5,10.85,-0.61,4.22,27.5,35.5,47.5,53.5,40.73,0.13,34.87,5.87,1.17
26,39.79,40.5,39.5,10.75,-0.57,4.12,26.5,34.5,46.5,52.5,39.79,0.13,34.04,5.75,1.17
27,38.84,39.5,38.5,10.66,-0.53,4.02,25.5,33.5,45.5,51.5,38.84,0.13,33.2,5.65,1.17
28,37.9,38.5,37.5,10.57,-0.49,3.92,24.5,32.5,44.5,50.5,37.9,0.13,32.36,5.54,1.17
29,36.95,37.5,36.5,10.48,-0.45,3.83,23.5,31.5,43.5,49.5,36.95,0.13,31.51,5.44,1.17
30,36.01,36.5,35.5,10.39,-0.41,3.75,23.5,30.5,42.5,48.5,36.0,0.13,30.66,5.35,1.17
31,35.06,35.5,34.5,10.3,-0.38,3.66,22.5,29.5,41.5,47.5,35.06,0.12,29.81,5.26,1.18
32,34.12,34.5,33.5,10.21,-0.34,3.59,21.5,28.5,40.5,46.5,34.11,0.12,28.94,5.17,1.18
33,33.17,33.5,32.5,10.13,-0.3,3.51,20.5,27.5,39.5,45.5,33.17,0.12,28.08,5.09,1.18
34,32.23,32.5,31.5,10.05,-0.27,3.44,19.5,26.5,38.5,44.5,32.22,0.12,27.23,5.0,1.18
35,31.28,31.5,30.5,9.96,-0.23,3.38,18.5,25.5,37.5,43.5,31.28,0.12,26.37,4.91,1.19
36,30.34,30.5,29.5,9.88,-0.2,3.32,17.5,24.5,36.5,42.5,30.33,0.12,25.52,4.82,1.19
37,29.4,29.5,28.5,9.8,-0.16,3.26,16.5,23.5,35.5,41.5,29.39,0.12,24.67,4.72,1.19
38,28.46,28.5,27.5,9.72,-0.13,3.21,16.5,22.5,34.5,40.5,28.45,0.12,23.83,4.63,1.19
39,27.52,27.5,26.5,9.63,-0.09,3.16,15.5,21.5,33.5,39.5,27.51,0.12,22.98,4.54,1.2
40,26.58,26.5,25.5,9.55,-0.06,3.12,14.5,20.5,32.5,38.5,26.58,0.12,22.14,4.45,1.2
41,25.65,25.5,24.5,9.46,-0.02,3.08,13.5,19.5,31.5,37.5,25.64,0.12,21.3,4.35,1.2
42,24.72,24.5,23.5,9.38,0.01,3.04,12.5,18.5,30.5,36.5,24.71,0.11,20.46,4.26,1.21
43,23.79,23.5,22.5,9.28,0.05,3.01,11.5,18.5,29.5,35.5,23.79,0.11,19.64,4.16,1.21
44,22.87,22.5,21.5,9.19,0.09,2.98,10.5,17.5,28.5,34.5,22.87,0.11,18.82,4.05,1.22
45,21.96,21.5,20.5,9.09,0.12,2.96,10.5,16.5,27.5,33.5,21.96,0.11,18.01,3.95,1.22
46,21.05,20.5,19.5,8.98,0.17,2.94,9.5,15.5,26.5,32.5,21.05,0.11,17.22,3.84,1.22
47,20.16,19.5,18.5,8.87,0.21,2.92,8.5,14.5,25.5,31.5,20.15,0.11,16.42,3.73,1.23
48,19.26,18.5,17.5,8.76,0.25,2.91,7.5,13.5,24.5,30.5,19.26,0.11,15.64,3.63,1.23
49,18.39,17.5,16.5,8.63,0.29,2.91,7.5,12.5,24.5,29.5,18.38,0.11,14.87,3.51,1.24
50,17.52,16.5,15.5,8.5,0.34,2.92,6.5,11.5,23.5,28.5,17.52,0.11,14.13,3.4,1.24
51,16.67,15.5,14.5,8.36,0.39,2.93,5.5,10.5,22.5,27.5,16.67,0.11,13.39,3.28,1.24
52,15.82,15.5,13.5,8.22,0.45,2.95,5.5,10.5,21.5,26.5,15.82,0.11,12.66,3.17,1.25
53,14.99,14.5,12.5,8.07,0.5,2.98,4.5,9.5,20.5,26.5,14.99,0.11,11.93,3.06,1.26
54,14.17,13.5,11.5,7.92,0.55,3.01,4.5,8.5,19.5,25.5,14.17,0.11,11.22,2.95,1.26
55,13.37,12.5,10.5,7.76,0.61,3.06,3.5,7.5,18.5,24.5,13.37,0.11,10.53,2.84,1.27
56,12.59,11.5,9.5,7.59,0.67,3.12,3.5,6.5,17.5,23.5,12.58,0.1,9.87,2.72,1.28
57,11.82,10.5,8.5,7.41,0.72,3.19,3.5,6.5,16.5,22.5,11.82,0.1,9.21,2.6,1.28
58,11.07,9.5,7.5,7.24,0.78,3.27,2.5,5.5,15.5,21.5,11.06,0.1,8.58,2.49,1.29
59,10.33,8.5,6.5,7.06,0.84,3.37,2.5,4.5,14.5,20.5,10.33,0.1,7.95,2.38,1.3
60,9.62,8.5,5.5,6.87,0.9,3.47,1.5,4.5,13.5,19.5,9.61,0.1,7.36,2.26,1.31
61,8.95,7.5,3.5,6.67,0.96,3.6,1.5,3.5,12.5,18.5,8.95,0.09,6.81,2.13,1.31
62,8.32,6.5,2.5,6.45,1.02,3.75,1.5,3.5,12.5,17.5,8.32,0.09,6.33,1.99,1.31
63,7.74,6.5,0.5,6.22,1.09,3.92,1.5,2.5,11.5,16.5,7.74,0.09,5.9,1.84,1.31
64,7.2,5.5,0.5,5.98,1.16,4.12,0.5,2.5,10.5,15.5,7.2,0.08,5.51,1.69,1.31
65,6.7,5.5,0.5,5.74,1.22,4.34,0.5,2.5,9.5,14.5,6.7,0.08,5.17,1.53,1.3
66,6.26,4.5,0.5,5.48,1.29,4.58,0.5,1.5,9.5,14.5,6.26,0.08,4.89,1.37,1.28
67,5.86,4.5,0.5,5.22,1.35,4.84,0.5,1.5,8.5,13.5,5.86,0.08,4.65,1.21,1.26
68,5.49,4.5,0.5,4.96,1.42,5.12,0.5,1.5,7.5,12.5,5.48,0.08,4.43,1.06,1.24
69,5.14,3.5,0.5,4.71,1.48,5.4,0.5,1.5,7.5,11.5,5.13,0.08,4.21,0.93,1.22
70,4.81,3.5,0.5,4.47,1.54,5.69,0.5,1.5,6.5,11.5,4.81,0.09,4.01,0.8,1.2
71,4.51,3.5,0.5,4.23,1.6,5.96,0.5,1.5,6.5,10.5,4.51,0.1,3.82,0.69,1.18
72,4.24,2.5,0.5,4.01,1.65,6.22,0.5,1.5,5.5,9.5,4.24,0.1,3.65,0.6,1.16
73,4.0,2.5,0.5,3.8,1.69,6.47,0.5,1.5,5.5,9.5,3.99,0.11,3.49,0.51,1.15
