age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,42.88,43.5,44.5,13.53,-0.52,3.49,25.5,35.5,51.5,59.5,42.85,0.61,29.0,13.88,1.48
19,41.92,42.5,43.5,13.46,-0.5,3.44,24.5,34.5,50.5,58.5,41.89,0.6,28.49,13.43,1.47
20,40.97,41.5,42.5,13.39,-0.48,3.39,23.5,33.5,49.5,57.5,40.94,0.6,27.98,12.98,1.46
21,40.02,40.5,41.5,13.31,-0.45,3.34,22.5,32.5,48.5,56.5,39.99,0.6,27.48,12.54,1.46
22,39.08,39.5,40.5,13.21,-0.43,3.29,21.5,31.5,47.5,55.5,39.05,0.6,26.98,12.1,1.45
23,38.14,39.5,39.5,13.12,-0.4,3.24,20.5,30.5,46.5,54.5,38.12,0.6,26.48,11.66,1.44
24,37.21,38.5,38.5,13.02,-0.37,3.19,19.5,29.5,45.5,53.5,37.18,0.59,25.98,11.23,1.43
25,36.28,37.5,37.5,12.91,-0.35,3.14,19.5,28.5,44.5,52.5,36.25,0.59,25.47,10.81,1.42
26,35.35,36.5,36.5,12.81,-0.32,3.09,18.5,27.5,43.5,51.5,35.32,0.59,24.96,10.39,1.42
27,34.42,35.5,35.5,12.7,-0.29,3.04,17.5,26.5,42.5,50.5,34.4,0.59,24.45,9.98,1.41
28,33.5,34.5,34.5,12.58,-0.26,3.0,16.5,26.5,41.5,49.5,33.48,0.58,23.93,9.57,1.4
29,32.58,33.5,33.5,12.47,-0.22,2.95,15.5,25.5,40.5,48.5,32.56,0.57,23.4,9.18,1.39
30,31.67,32.5,32.5,12.34,-0.19,2.91,15.5,24.5,39.5,47.5,31.65,0.57,22.88,8.79,1.38
31,30.76,31.5,31.5,12.22,-0.16,2.87,14.5,23.5,38.5,46.5,30.74,0.57,22.34,8.42,1.38
32,29.85,30.5,30.5,12.09,-0.12,2.84,13.5,22.5,37.5,45.5,29.83,0.57,21.8,8.06,1.37
