age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,43.26,44.5,44.5,12.01,-0.6,3.94,28.5,36.5,50.5,57.5,43.22,0.6,29.74,13.52,1.45
19,42.29,43.5,43.5,11.95,-0.58,3.88,27.5,35.5,49.5,56.5,42.25,0.6,29.16,13.13,1.45
20,41.33,42.5,42.5,11.89,-0.56,3.81,26.5,34.5,48.5,55.5,41.29,0.6,28.6,12.74,1.45
21,40.38,41.5,41.5,11.81,-0.53,3.75,25.5,33.5,47.5,54.5,40.33,0.6,28.03,12.34,1.44
22,39.43,40.5,40.5,11.73,-0.5,3.68,24.5,32.5,46.5,53.5,39.39,0.6,27.47,11.96,1.44
23,38.48,39.5,39.5,11.65,-0.47,3.61,23.5,31.5,46.5,52.5,38.44,0.6,26.91,11.57,1.43
24,37.53,38.5,38.5,11.56,-0.44,3.54,22.5,31.5,45.5,51.5,37.49,0.6,26.36,11.18,1.42
25,36.59,37.5,37.5,11.48,-0.41,3.47,21.5,30.5,44.5,50.5,36.54,0.6,25.8,10.79,1.42
26,35.64,36.5,36.5,11.39,-0.38,3.41,20.5,29.5,43.5,49.5,35.6,0.6,25.24,10.4,1.41
27,34.7,35.5,35.5,11.3,-0.35,3.35,19.5,28.5,42.5,48.5,34.65,0.6,24.67,10.02,1.41
28,33.75,34.5,34.5,11.22,-0.32,3.29,19.5,27.5,41.5,47.5,33.71,0.6,24.1,9.65,1.4
29,32.81,33.5,33.5,11.13,-0.29,3.23,18.5,26.5,40.5,46.5,32.76,0.6,23.52,9.29,1.39
30,31.87,32.5,32.5,11.04,-0.26,3.17,17.5,25.5,39.5,45.5,31.82,0.6,22.93,8.94,1.39
31,30.93,31.5,31.5,10.95,-0.22,3.12,16.5,24.5,38.5,44.5,30.88,0.6,22.33,8.6,1.39
32,30.0,30.5,30.5,10.86,-0.19,3.07,15.5,23.5,37.5,43.5,29.95,0.6,21.71,8.28,1.38
33,29.06,29.5,29.5,10.77,-0.16,3.03,14.5,22.5,36.5,42.5,29.01,0.6,21.09,7.98,1.38
34,28.13,28.5,28.5,10.68,-0.13,2.99,13.5,21.5,35.5,41.5,28.08,0.59,20.45,7.68,1.38
35,27.2,27.5,27.5,10.58,-0.1,2.95,12.5,20.5,34.5,40.5,27.15,0.59,19.8,7.4,1.37
36,26.27,26.5,26.5,10.49,-0.06,2.91,12.5,19.5,33.5,39.5,26.22,0.59,19.15,7.12,1.37
37,25.35,25.5,25.5,10.38,-0.03,2.88,11.5,18.5,32.5,38.5,25.3,0.59,18.5,6.85,1.37
38,24.43,24.5,24.5,10.28,0.01,2.86,10.5,17.5,31.5,37.5,24.38,0.58,17.85,6.58,1.37
39,23.51,23.5,23.5,10.17,0.04,2.83,9.5,16.5,30.5,36.5,23.46,0.57,17.21,6.31,1.37
40,22.61,22.5,22.5,10.05,0.08,2.81,8.5,15.5,29.5,35.5,22.56,0.57,16.57,6.04,1.36
41,21.71,21.5,21.5,9.93,0.12,2.8,8.5,14.5,28.5,34.5,21.66,0.57,15.94,5.77,1.36
42,20.82,20.5,20.5,9.8,0.16,2.79,7.5,14.5,27.5,33.5,20.77,0.55,15.31,5.51,1.36
