age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,42.89,43.5,43.5,10.83,-0.69,4.31,29.5,37.5,50.5,55.5,42.81,0.65,33.33,9.56,1.29
19,41.92,42.5,42.5,10.77,-0.66,4.23,28.5,36.5,49.5,54.5,41.84,0.65,32.59,9.33,1.29
20,40.96,41.5,41.5,10.7,-0.63,4.14,27.5,35.5,48.5,53.5,40.88,0.65,31.85,9.11,1.29
21,40.0,40.5,40.5,10.63,-0.6,4.05,26.5,34.5,47.5,52.5,39.92,0.65,31.11,8.89,1.29
22,39.05,39.5,39.5,10.55,-0.56,3.95,26.5,33.5,46.5,51.5,38.97,0.65,30.37,8.67,1.29
23,38.09,38.5,38.5,10.46,-0.52,3.85,25.5,32.5,45.5,50.5,38.02,0.65,29.64,8.46,1.29
24,37.14,37.5,37.5,10.38,-0.49,3.75,24.5,31.5,44.5,49.5,37.07,0.65,28.9,8.24,1.29
25,36.19,36.5,36.5,10.29,-0.45,3.66,23.5,30.5,43.5,48.5,36.11,0.65,28.17,8.03,1.29
26,35.24,35.5,35.5,10.21,-0.42,3.57,22.5,29.5,42.5,47.5,35.16,0.65,27.43,7.82,1.29
27,34.29,34.5,34.5,10.13,-0.38,3.49,21.5,28.5,41.5,46.5,34.21,0.66,26.68,7.61,1.29
28,33.34,33.5,33.5,10.06,-0.35,3.41,20.5,27.5,40.5,45.5,33.26,0.65,25.94,7.4,1.29
29,32.39,32.5,32.5,9.98,-0.32,3.34,19.5,26.5,39.5,44.5,32.31,0.65,25.2,7.19,1.29
30,31.44,31.5,31.5,9.91,-0.28,3.27,18.5,25.5,38.5,43.5,31.36,0.66,24.46,6.98,1.29
31,30.49,30.5,30.5,9.83,-0.25,3.21,17.5,24.5,37.5,42.5,30.41,0.66,23.72,6.77,1.29
32,29.54,29.5,29.5,9.76,-0.22,3.15,16.5,23.5,36.5,41.5,29.46,0.66,22.99,6.56,1.29
33,28.59,28.5,28.5,9.68,-0.19,3.09,16.5,22.5,35.5,40.5,28.51,0.66,22.25,6.35,1.29
34,27.65,27.5,27.5,9.61,-0.16,3.04,15.5,21.5,34.5,39.5,27.56,0.66,21.51,6.14,1.29
35,26.7,26.5,26.5,9.53,-0.12,2.99,14.5,20.5,33.5,38.5,26.62,0.66,20.77,5.93,1.29
36,25.76,25.5,25.5,9.45,-0.09,2.94,13.5,19.5,32.5,37.5,25.67,0.66,20.04,5.72,1.29
37,24.82,24.5,24.5,9.37,-0.06,2.9,12.5,18.5,31.5,36.5,24.73,0.65,19.31,5.51,1.29
38,23.88,23.5,23.5,9.29,-0.03,2.86,11.5,17.5,30.5,35.5,23.79,0.65,18.58,5.3,1.29
39,22.95,22.5,22.5,9.2,0.01,2.82,10.5,16.5,29.5,34.5,22.86,0.65,17.85,5.1,1.29
40,22.03,21.5,21.5,9.11,0.04,2.79,10.5,16.5,28.5,33.5,21.94,0.65,17.13,4.9,1.29
41,21.11,20.5,20.5,9.01,0.08,2.76,9.5,15.5,27.5,32.5,21.02,0.65,16.41,4.69,1.29
