age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,46.55,47.5,46.5,11.77,-0.69,4.57,32.5,40.5,53.5,60.5,46.54,0.2,37.87,8.68,1.23
19,45.59,46.5,45.5,11.71,-0.67,4.49,31.5,39.5,52.5,59.5,45.58,0.2,37.14,8.45,1.23
20,44.63,45.5,44.5,11.63,-0.64,4.4,30.5,38.5,51.5,58.5,44.62,0.2,36.39,8.24,1.23
21,43.68,44.5,43.5,11.55,-0.6,4.31,29.5,38.5,50.5,57.5,43.67,0.2,35.64,8.04,1.23
22,42.73,43.5,42.5,11.46,-0.57,4.22,28.5,37.5,49.5,56.5,42.72,0.2,34.89,7.84,1.22
23,41.78,42.5,41.5,11.36,-0.53,4.12,27.5,36.5,48.5,55.5,41.77,0.2,34.14,7.64,1.22
24,40.84,41.5,40.5,11.27,-0.49,4.03,26.5,35.5,47.5,54.5,40.83,0.2,33.37,7.46,1.22
25,39.89,40.5,39.5,11.18,-0.45,3.94,26.5,34.5,46.5,53.5,39.88,0.2,32.6,7.3,1.22
26,38.95,39.5,38.5,11.09,-0.41,3.85,25.5,33.5,45.5,52.5,38.94,0.2,31.81,7.14,1.22
27,38.0,38.5,37.5,11.0,-0.38,3.77,24.5,32.5,44.5,51.5,37.99,0.2,31.02,6.98,1.23
28,37.06,37.5,36.5,10.91,-0.34,3.69,23.5,31.5,43.5,50.5,37.04,0.19,30.23,6.83,1.23
29,36.11,36.5,35.5,10.82,-0.31,3.61,22.5,30.5,42.5,49.5,36.1,0.19,29.44,6.67,1.23
30,35.16,35.5,34.5,10.74,-0.27,3.54,21.5,29.5,41.5,48.5,35.15,0.19,28.64,6.52,1.23
31,34.22,34.5,33.5,10.66,-0.24,3.48,20.5,28.5,40.5,47.5,34.21,0.19,27.83,6.39,1.23
32,33.27,33.5,32.5,10.58,-0.2,3.42,19.5,27.5,39.5,46.5,33.26,0.19,27.0,6.27,1.23
33,32.33,32.5,31.5,10.5,-0.17,3.36,18.5,26.5,38.5,45.5,32.32,0.19,26.17,6.16,1.24
34,31.38,31.5,30.5,10.42,-0.14,3.31,18.5,25.5,37.5,44.5,31.37,0.2,25.34,6.04,1.24
35,30.44,30.5,29.5,10.34,-0.11,3.27,17.5,24.5,36.5,43.5,30.43,0.2,24.52,5.92,1.24
36,29.5,29.5,28.5,10.26,-0.07,3.22,16.5,23.5,35.5,42.5,29.49,0.19,23.7,5.8,1.24
37,28.56,28.5,27.5,10.18,-0.04,3.18,15.5,22.5,34.5,41.5,28.55,0.19,22.89,5.67,1.25
38,27.62,27.5,26.5,10.1,-0.01,3.14,14.5,21.5,34.5,40.5,27.61,0.19,22.08,5.54,1.25
39,26.68,26.5,25.5,10.02,0.02,3.11,13.5,20.5,33.5,39.5,26.67,0.19,21.27,5.41,1.25
40,25.75,25.5,24.5,9.93,0.06,3.08,12.5,19.5,32.5,38.5,25.74,0.19,20.48,5.27,1.26
41,24.82,24.5,23.5,9.84,0.09,3.05,12.5,18.5,31.5,37.5,24.82,0.19,19.7,5.13,1.26
42,23.9,23.5,22.5,9.75,0.13,3.03,11.5,17.5,30.5,36.5,23.89,0.19,18.93,4.97,1.26
43,22.98,22.5,21.5,9.65,0.17,3.0,10.5,16.5,29.5,35.5,22.98,0.19,18.17,4.82,1.27
44,22.08,21.5,20.5,9.54,0.2,2.99,9.5,16.5,28.5,34.5,22.07,0.19,17.41,4.66,1.27
45,21.17,20.5,19.5,9.43,0.24,2.98,8.5,15.5,27.5,33.5,21.17,0.19,16.67,4.5,1.27
46,20.28,19.5,18.5,9.32,0.29,2.97,8.5,14.5,26.5,32.5,20.28,0.19,15.93,4.35,1.27
47,19.39,18.5,17.5,9.2,0.33,2.97,7.5,13.5,25.5,31.5,19.39,0.19,15.19,4.21,1.28
48,18.52,17.5,15.5,9.07,0.37,2.98,6.5,12.5,24.5,30.5,18.52,0.19,14.46,4.06,1.28
49,17.66,16.5,14.5,8.94,0.42,2.99,6.5,11.5,23.5,29.5,17.66,0.18,13.74,3.91,1.28
50,16.81,15.5,13.5,8.79,0.47,3.02,5.5,10.5,22.5,28.5,16.81,0.18,13.06,3.76,1.29
51,15.99,14.5,12.5,8.63,0.53,3.05,5.5,9.5,21.5,27.5,15.98,0.18,12.39,3.6,1.29
52,15.17,14.5,11.5,8.47,0.58,3.09,4.5,9.5,20.5,26.5,15.17,0.18,11.72,3.45,1.29
53,14.36,13.5,10.5,8.31,0.64,3.14,4.5,8.5,19.5,25.5,14.36,0.18,11.05,3.31,1.3
54,13.57,12.5,9.5,8.14,0.7,3.2,3.5,7.5,18.5,25.5,13.56,0.18,10.39,3.18,1.31
