age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
20,45.44,46.5,45.5,11.44,-0.76,4.59,31.5,39.5,52.5,58.5,45.42,0.24,38.54,6.9,1.18
21,44.49,45.5,44.5,11.35,-0.72,4.49,30.5,38.5,51.5,57.5,44.47,0.24,37.71,6.77,1.18
22,43.54,44.5,43.5,11.25,-0.68,4.39,29.5,37.5,50.5,56.5,43.52,0.24,36.89,6.65,1.18
23,42.59,43.5,42.5,11.16,-0.64,4.27,29.5,36.5,49.5,55.5,42.58,0.24,36.06,6.53,1.18
24,41.65,42.5,41.5,11.06,-0.6,4.17,28.5,35.5,48.5,54.5,41.63,0.24,35.23,6.42,1.18
25,40.7,41.5,40.5,10.96,-0.56,4.06,27.5,34.5,47.5,53.5,40.69,0.24,34.39,6.32,1.18
26,39.76,40.5,39.5,10.87,-0.52,3.96,26.5,33.5,46.5,52.5,39.74,0.24,33.54,6.22,1.19
27,38.81,39.5,38.5,10.78,-0.49,3.86,25.5,32.5,45.5,51.5,38.8,0.24,32.68,6.14,1.19
28,37.86,38.5,37.5,10.69,-0.45,3.77,24.5,31.5,44.5,50.5,37.85,0.24,31.81,6.05,1.19
29,36.92,37.5,36.5,10.6,-0.41,3.68,23.5,31.5,43.5,49.5,36.9,0.24,30.94,5.98,1.19
30,35.97,36.5,35.5,10.51,-0.37,3.6,22.5,30.5,42.5,48.5,35.96,0.24,30.08,5.89,1.2
31,35.03,35.5,34.5,10.43,-0.34,3.52,21.5,29.5,41.5,47.5,35.01,0.24,29.22,5.81,1.2
32,34.08,34.5,33.5,10.34,-0.3,3.45,20.5,28.5,40.5,46.5,34.07,0.24,28.36,5.72,1.2
33,33.14,33.5,32.5,10.26,-0.27,3.38,20.5,27.5,39.5,45.5,33.12,0.24,27.51,5.62,1.2
34,32.19,32.5,31.5,10.18,-0.23,3.31,19.5,26.5,38.5,44.5,32.17,0.24,26.67,5.52,1.21
35,31.25,31.5,30.5,10.1,-0.2,3.25,18.5,25.5,37.5,43.5,31.23,0.24,25.83,5.42,1.21
36,30.3,30.5,29.5,10.02,-0.17,3.19,17.5,24.5,36.5,42.5,30.29,0.24,25.0,5.31,1.21
37,29.36,29.5,28.5,9.94,-0.13,3.14,16.5,23.5,35.5,41.5,29.35,0.24,24.16,5.2,1.22
38,28.42,28.5,27.5,9.86,-0.1,3.09,15.5,22.5,34.5,40.5,28.41,0.24,23.32,5.1,1.22
39,27.48,27.5,26.5,9.78,-0.07,3.04,14.5,21.5,33.5,39.5,27.47,0.24,22.48,5.0,1.22
40,26.54,26.5,25.5,9.7,-0.04,3.0,13.5,20.5,32.5,39.5,26.53,0.24,21.63,4.91,1.23
41,25.61,25.5,24.5,9.62,-0.01,2.96,13.5,19.5,31.5,38.5,25.6,0.24,20.78,4.82,1.23
42,24.67,24.5,23.5,9.54,0.03,2.93,12.5,18.5,30.5,37.5,24.66,0.24,19.94,4.74,1.24
43,23.75,23.5,22.5,9.45,0.06,2.9,11.5,17.5,29.5,36.5,23.73,0.24,19.1,4.65,1.24
44,22.82,22.5,21.5,9.36,0.09,2.88,10.5,16.5,28.5,35.5,22.81,0.23,18.27,4.56,1.25
45,21.9,21.5,20.5,9.27,0.12,2.85,9.5,15.5,28.5,34.5,21.9,0.24,17.44,4.46,1.26
46,20.99,20.5,19.5,9.17,0.16,2.84,8.5,14.5,27.5,33.5,20.99,0.23,16.63,4.36,1.26
47,20.09,19.5,18.5,9.07,0.2,2.82,8.5,13.5,26.5,32.5,20.09,0.23,15.84,4.26,1.27
48,19.2,18.5,17.5,8.96,0.23,2.82,7.5,13.5,25.5,31.5,19.2,0.23,15.06,4.14,1.27
49,18.33,17.5,16.5,8.83,0.28,2.82,6.5,12.5,24.5,30.5,18.32,0.23,14.32,4.01,1.28
50,17.47,16.5,15.5,8.69,0.32,2.82,6.5,11.5,23.5,29.5,17.46,0.23,13.59,3.87,1.29
51,16.62,15.5,13.5,8.54,0.37,2.84,5.5,10.5,22.5,28.5,16.62,0.22,12.89,3.74,1.29
52,15.79,15.5,12.5,8.39,0.42,2.86,5.5,9.5,21.5,27.5,15.78,0.22,12.19,3.6,1.3
53,14.97,14.5,11.5,8.23,0.47,2.89,4.5,8.5,20.5,26.5,14.96,0.22,11.5,3.47,1.3
54,14.16,13.5,10.5,8.07,0.53,2.93,4.5,8.5,19.5,25.5,14.16,0.22,10.82,3.34,1.31
55,13.37,12.5,9.5,7.9,0.58,2.98,3.5,7.5,18.5,24.5,13.37,0.21,10.16,3.21,1.32
56,12.6,11.5,8.5,7.72,0.64,3.04,3.5,6.5,17.5,23.5,12.6,0.2,9.52,3.08,1.32
57,11.85,10.5,7.5,7.53,0.7,3.11,2.5,6.5,16.5,22.5,11.84,0.2,8.9,2.94,1.33
58,11.11,9.5,6.5,7.34,0.76,3.2,2.5,5.5,15.5,21.5,11.1,0.2,8.3,2.81,1.34
59,10.39,9.5,5.5,7.15,0.82,3.29,2.5,4.5,14.5,20.5,10.39,0.2,7.71,2.68,1.35
60,9.7,8.5,4.5,6.94,0.88,3.41,1.5,4.5,13.5,19.5,9.69,0.2,7.15,2.54,1.36
61,9.03,7.5,2.5,6.73,0.94,3.54,1.5,3.5,12.5,18.5,9.02,0.19,6.63,2.4,1.36
62,8.4,6.5,1.5,6.51,1.01,3.7,1.5,3.5,12.5,17.5,8.4,0.18,6.16,2.25,1.36
63,7.82,6.5,0.5,6.27,1.08,3.88,1.5,2.5,11.5,16.5,7.81,0.18,5.73,2.09,1.36
64,7.27,5.5,0.5,6.02,1.15,4.09,0.5,2.5,10.5,16.5,7.26,0.18,5.35,1.92,1.36
65,6.76,5.5,0.5,5.76,1.22,4.33,0.5,2.5,9.5,15.5,6.76,0.17,5.02,1.75,1.35
66,6.29,4.5,0.5,5.5,1.3,4.59,0.5,2.5,9.5,14.5,6.29,0.17,4.71,1.58,1.34
67,5.84,4.5,0.5,5.23,1.38,4.88,0.5,1.5,8.5,13.5,5.84,0.17,4.43,1.42,1.32
68,5.43,3.5,0.5,4.97,1.46,5.2,0.5,1.5,7.5,12.5,5.42,0.18,4.16,1.26,1.3
69,5.04,3.5,0.5,4.72,1.53,5.53,0.5,1.5,7.5,11.5,5.04,0.19,3.92,1.12,1.29
70,4.69,3.5,0.5,4.47,1.6,5.87,0.5,1.5,6.5,11.5,4.68,0.19,3.7,0.99,1.27
71,4.37,3.5,0.5,4.22,1.67,6.23,0.5,1.5,6.5,10.5,4.39,0.18,3.51,0.86,1.25
72,4.08,2.5,0.5,3.98,1.73,6.6,0.5,1.5,5.5,9.5,4.1,0.19,3.33,0.75,1.23
73,3.82,2.5,0.5,3.75,1.79,6.97,0.5,1.5,5.5,8.5,3.83,0.22,3.16,0.65,1.21
74,3.58,2.5,0.5,3.53,1.85,7.35,0.5,1.5,4.5,8.5,3.59,0.24,3.01,0.56,1.19
75,3.35,2.5,0.5,3.32,1.9,7.73,0.5,0.5,4.5,7.5,3.36,0.26,2.87,0.48,1.17
76,3.15,2.5,0.5,3.11,1.95,8.11,0.5,0.5,4.5,7.5,3.17,0.23,2.74,0.41,1.15
77,2.96,2.5,0.5,2.92,2.0,8.48,0.5,0.5,4.5,6.5,2.96,0.25,2.61,0.35,1.13
78,2.78,1.5,0.5,2.74,2.04,8.83,0.5,0.5,3.5,6.5,2.78,0.21,2.49,0.29,1.12
79,2.61,1.5,0.5,2.57,2.08,9.14,0.5,0.5,3.5,5.5,2.62,0.1,2.37,0.24,1.1
80,2.46,1.5,0.5,2.42,2.1,9.39,0.5,0.5,3.5,5.5,2.46,0.1,2.26,0.2,1.09
81,2.32,1.5,0.5,2.28,2.12,9.55,0.5,0.5,3.5,5.5,2.33,0.09,2.16,0.16,1.08
82,2.2,1.5,0.5,2.14,2.12,9.64,0.5,0.5,2.5,4.5,2.2,0.09,2.06,0.14,1.07
83,2.09,1.5,0.5,2.02,2.12,9.66,0.5,0.5,2.5,4.5,2.09,0.09,1.97,0.11,1.06
84,1.98,1.5,0.5,1.91,2.11,9.65,0.5,0.5,2.5,4.5,1.98,0.08,1.89,0.09,1.05
85,1.89,1.5,0.5,1.8,2.1,9.6,0.5,0.5,2.5,4.5,1.89,0.08,1.81,0.08,1.04
86,1.8,1.5,0.5,1.7,2.08,9.54,0.5,0.5,2.5,3.5,1.8,0.07,1.73,0.06,1.04
87,1.71,1.5,0.5,1.61,2.07,9.47,0.5,0.5,2.5,3.5,1.71,0.06,1.66,0.05,1.03
88,1.63,1.5,0.5,1.52,2.06,9.38,0.5,0.5,2.5,3.5,1.64,0.07,1.59,0.04,1.03
89,1.56,1.5,0.5,1.44,2.05,9.29,0.5,0.5,2.5,3.5,1.56,0.06,1.52,0.03,1.02
90,1.49,1.5,0.5,1.36,2.05,9.2,0.5,0.5,1.5,3.5,1.49,0.06,1.46,0.03,1.02
