age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
21,44.5,45.5,44.5,10.39,-1.01,5.59,32.5,40.5,50.5,56.5,44.49,0.3,39.85,4.66,1.12
22,43.55,44.5,43.5,10.29,-0.97,5.45,31.5,39.5,49.5,55.5,43.54,0.3,38.94,4.61,1.12
23,42.61,43.5,42.5,10.18,-0.92,5.3,31.5,38.5,48.5,54.5,42.6,0.31,38.04,4.57,1.12
24,41.66,42.5,41.5,10.07,-0.87,5.16,30.5,37.5,47.5,53.5,41.65,0.31,37.14,4.53,1.12
25,40.72,41.5,40.5,9.96,-0.83,5.02,29.5,36.5,46.5,52.5,40.71,0.31,36.23,4.48,1.12
26,39.77,40.5,39.5,9.86,-0.78,4.88,28.5,35.5,45.5,51.5,39.76,0.31,35.33,4.44,1.13
27,38.83,39.5,38.5,9.76,-0.73,4.75,27.5,34.5,45.5,50.5,38.82,0.31,34.42,4.41,1.13
28,37.88,38.5,37.5,9.66,-0.68,4.62,26.5,33.5,44.5,49.5,37.87,0.31,33.51,4.37,1.13
29,36.93,37.5,36.5,9.56,-0.64,4.49,25.5,32.5,43.5,48.5,36.92,0.31,32.61,4.33,1.13
30,35.99,36.5,35.5,9.46,-0.59,4.37,24.5,31.5,42.5,47.5,35.97,0.31,31.7,4.29,1.14
31,35.04,35.5,34.5,9.37,-0.54,4.26,23.5,30.5,41.5,46.5,35.03,0.31,30.8,4.25,1.14
32,34.1,34.5,33.5,9.28,-0.5,4.14,22.5,29.5,40.5,45.5,34.08,0.31,29.89,4.2,1.14
33,33.15,33.5,32.5,9.19,-0.45,4.04,21.5,28.5,39.5,44.5,33.13,0.31,28.99,4.16,1.14
34,32.2,32.5,31.5,9.1,-0.41,3.94,21.5,27.5,38.5,43.5,32.19,0.31,28.09,4.11,1.15
35,31.26,31.5,30.5,9.01,-0.36,3.85,20.5,26.5,37.5,42.5,31.24,0.31,27.19,4.06,1.15
36,30.31,30.5,29.5,8.93,-0.32,3.76,19.5,25.5,36.5,41.5,30.29,0.31,26.29,4.02,1.15
37,29.36,29.5,28.5,8.84,-0.28,3.68,18.5,24.5,35.5,40.5,29.35,0.31,25.39,3.97,1.16
38,28.42,28.5,27.5,8.76,-0.24,3.61,17.5,23.5,34.5,39.5,28.4,0.31,24.5,3.92,1.16
39,27.47,27.5,26.5,8.68,-0.19,3.54,16.5,22.5,33.5,38.5,27.46,0.31,23.6,3.87,1.16
40,26.53,26.5,25.5,8.6,-0.15,3.47,15.5,21.5,32.5,37.5,26.51,0.31,22.72,3.81,1.17
41,25.59,25.5,24.5,8.52,-0.11,3.42,14.5,20.5,31.5,36.5,25.57,0.31,21.83,3.75,1.17
42,24.65,24.5,23.5,8.44,-0.07,3.36,14.5,19.5,30.5,35.5,24.63,0.31,20.96,3.69,1.18
43,23.71,23.5,22.5,8.35,-0.03,3.31,13.5,18.5,29.5,34.5,23.69,0.31,20.09,3.62,1.18
44,22.78,22.5,21.5,8.27,0.01,3.27,12.5,17.5,28.5,33.5,22.76,0.31,19.23,3.55,1.18
45,21.85,21.5,20.5,8.18,0.05,3.23,11.5,16.5,27.5,32.5,21.84,0.31,18.38,3.47,1.19
46,20.93,20.5,19.5,8.08,0.1,3.2,10.5,15.5,26.5,31.5,20.91,0.31,17.54,3.39,1.19
47,20.01,19.5,18.5,7.98,0.15,3.17,9.5,14.5,25.5,30.5,20.0,0.31,16.71,3.31,1.2
48,19.1,18.5,17.5,7.88,0.19,3.15,9.5,14.5,24.5,29.5,19.09,0.31,15.89,3.22,1.2
49,18.2,17.5,16.5,7.77,0.25,3.13,8.5,13.5,23.5,28.5,18.19,0.31,15.08,3.13,1.21
50,17.31,16.5,15.5,7.66,0.3,3.13,7.5,12.5,22.5,27.5,17.29,0.31,14.27,3.04,1.21
51,16.42,15.5,14.5,7.55,0.35,3.13,6.5,11.5,21.5,26.5,16.41,0.31,13.46,2.97,1.22
52,15.54,14.5,13.5,7.43,0.4,3.14,6.5,10.5,20.5,25.5,15.53,0.31,12.64,2.9,1.23
53,14.67,13.5,12.5,7.31,0.45,3.16,5.5,9.5,19.5,24.5,14.65,0.31,11.85,2.82,1.24
54,13.82,13.5,11.5,7.18,0.51,3.19,4.5,8.5,18.5,23.5,13.8,0.31,11.09,2.73,1.25
55,12.98,12.5,9.5,7.04,0.57,3.24,4.5,7.5,17.5,22.5,12.97,0.31,10.36,2.63,1.25
56,12.17,11.5,8.5,6.89,0.64,3.3,3.5,7.5,16.5,21.5,12.15,0.3,9.64,2.53,1.26
57,11.36,10.5,7.5,6.74,0.7,3.38,3.5,6.5,15.5,20.5,11.34,0.3,8.93,2.43,1.27
58,10.56,9.5,6.5,6.59,0.76,3.47,2.5,5.5,14.5,19.5,10.55,0.3,8.23,2.33,1.28
59,9.79,8.5,5.5,6.43,0.83,3.58,2.5,4.5,13.5,18.5,9.77,0.3,7.56,2.23,1.3
60,9.05,7.5,4.5,6.26,0.89,3.71,1.5,4.5,12.5,17.5,9.03,0.29,6.92,2.12,1.31
61,8.34,7.5,3.5,6.07,0.96,3.88,1.5,3.5,12.5,16.5,8.33,0.29,6.34,2.0,1.31
62,7.69,6.5,2.5,5.86,1.04,4.08,1.5,3.5,11.5,15.5,7.68,0.29,5.83,1.86,1.32
63,7.09,5.5,1.5,5.63,1.12,4.33,1.5,2.5,10.5,14.5,7.08,0.28,5.38,1.71,1.32
64,6.54,5.5,0.5,5.38,1.2,4.63,0.5,2.5,9.5,14.5,6.52,0.27,4.99,1.55,1.31
65,6.04,4.5,0.5,5.12,1.29,4.99,0.5,2.5,8.5,13.5,6.03,0.27,4.65,1.39,1.3
66,5.59,4.5,0.5,4.86,1.39,5.4,0.5,1.5,8.5,12.5,5.57,0.27,4.36,1.23,1.28
67,5.17,3.5,0.5,4.6,1.49,5.87,0.5,1.5,7.5,11.5,5.15,0.25,4.1,1.07,1.26
68,4.79,3.5,0.5,4.34,1.59,6.4,0.5,1.5,6.5,10.5,4.77,0.26,3.87,0.92,1.24
69,4.43,3.5,0.5,4.09,1.7,6.98,0.5,1.5,6.5,9.5,4.42,0.27,3.64,0.79,1.22
70,4.1,2.5,0.5,3.85,1.8,7.6,0.5,1.5,5.5,9.5,4.08,0.27,3.44,0.66,1.19
71,3.8,2.5,0.5,3.62,1.91,8.24,0.5,1.5,5.5,8.5,3.79,0.28,3.24,0.56,1.17
72,3.52,2.5,0.5,3.41,2.01,8.89,0.5,1.5,4.5,7.5,3.5,0.3,3.06,0.46,1.15
73,3.28,2.5,0.5,3.21,2.1,9.51,0.5,0.5,4.5,7.5,3.26,0.33,2.9,0.38,1.13
74,3.06,2.5,0.5,3.02,2.18,10.07,0.5,0.5,4.5,6.5,3.03,0.35,2.74,0.32,1.12
75,2.87,2.5,0.5,2.85,2.24,10.54,0.5,0.5,3.5,6.5,2.85,0.34,2.6,0.27,1.1
76,2.7,1.5,0.5,2.69,2.29,10.89,0.5,0.5,3.5,5.5,2.66,0.37,2.48,0.22,1.09
77,2.55,1.5,0.5,2.55,2.32,11.11,0.5,0.5,3.5,5.5,2.48,0.38,2.36,0.19,1.08
78,2.41,1.5,0.5,2.41,2.33,11.19,0.5,0.5,3.5,5.5,2.34,0.33,2.25,0.16,1.07
