age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
22,44.96,45.5,43.5,10.93,-0.84,5.16,32.5,40.5,51.5,57.5,44.94,0.22,40.68,4.27,1.11
23,44.01,44.5,42.5,10.82,-0.79,5.03,31.5,39.5,50.5,56.5,44.0,0.22,39.81,4.2,1.11
24,43.07,43.5,41.5,10.71,-0.75,4.9,31.5,38.5,49.5,55.5,43.06,0.22,38.92,4.15,1.11
25,42.13,42.5,40.5,10.6,-0.7,4.78,30.5,37.5,48.5,54.5,42.11,0.21,38.03,4.1,1.11
26,41.18,41.5,39.5,10.5,-0.65,4.65,29.5,36.5,47.5,53.5,41.17,0.21,37.12,4.06,1.11
27,40.24,40.5,38.5,10.4,-0.61,4.54,28.5,35.5,46.5,52.5,40.22,0.21,36.22,4.02,1.11
28,39.29,39.5,37.5,10.3,-0.56,4.42,27.5,34.5,45.5,51.5,39.28,0.21,35.31,3.99,1.11
29,38.35,38.5,36.5,10.2,-0.52,4.31,26.5,33.5,44.5,50.5,38.33,0.21,34.4,3.95,1.11
30,37.41,37.5,35.5,10.1,-0.47,4.2,25.5,32.5,43.5,49.5,37.39,0.21,33.49,3.92,1.12
31,36.46,36.5,34.5,10.01,-0.43,4.1,24.5,31.5,42.5,48.5,36.45,0.21,32.58,3.88,1.12
32,35.52,35.5,33.5,9.91,-0.38,4.0,23.5,30.5,41.5,47.5,35.5,0.21,31.66,3.86,1.12
33,34.57,34.5,32.5,9.82,-0.34,3.9,23.5,29.5,40.5,46.5,34.56,0.21,30.74,3.83,1.12
34,33.63,33.5,31.5,9.73,-0.29,3.82,22.5,28.5,39.5,45.5,33.61,0.21,29.82,3.81,1.13
35,32.68,32.5,30.5,9.65,-0.25,3.73,21.5,27.5,38.5,44.5,32.67,0.21,28.9,3.78,1.13
36,31.74,31.5,29.5,9.56,-0.21,3.66,20.5,26.5,37.5,43.5,31.72,0.21,27.99,3.75,1.13
37,30.8,30.5,28.5,9.48,-0.17,3.58,19.5,25.5,36.5,42.5,30.78,0.21,27.08,3.72,1.14
38,29.85,29.5,27.5,9.39,-0.13,3.51,18.5,24.5,35.5,41.5,29.83,0.21,26.17,3.68,1.14
39,28.91,28.5,26.5,9.31,-0.09,3.45,17.5,23.5,34.5,40.5,28.89,0.21,25.26,3.65,1.14
40,27.97,27.5,25.5,9.23,-0.05,3.39,16.5,22.5,33.5,39.5,27.95,0.21,24.36,3.61,1.15
41,27.03,26.5,24.5,9.14,-0.01,3.34,16.5,21.5,32.5,38.5,27.01,0.22,23.46,3.57,1.15
42,26.09,25.5,23.5,9.06,0.03,3.29,15.5,20.5,31.5,37.5,26.08,0.21,22.56,3.53,1.16
43,25.16,24.5,22.5,8.98,0.07,3.24,14.5,19.5,30.5,36.5,25.14,0.21,21.67,3.49,1.16
44,24.23,23.5,21.5,8.89,0.12,3.2,13.5,18.5,29.5,35.5,24.21,0.21,20.78,3.45,1.17
45,23.3,22.5,20.5,8.8,0.16,3.17,12.5,17.5,28.5,34.5,23.29,0.21,19.9,3.4,1.17
46,22.38,21.5,19.5,8.71,0.2,3.13,11.5,16.5,27.5,33.5,22.36,0.21,19.04,3.34,1.18
47,21.46,20.5,18.5,8.62,0.24,3.1,11.5,15.5,27.5,32.5,21.45,0.21,18.17,3.29,1.18
