age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
25,42.44,43.5,43.5,10.12,-1.06,5.26,30.5,37.5,49.5,53.5,42.45,0.29,38.66,3.78,1.1
26,41.5,42.5,42.5,10.01,-1.01,5.11,29.5,36.5,48.5,52.5,41.5,0.29,37.74,3.75,1.1
27,40.55,41.5,41.5,9.9,-0.97,4.96,28.5,35.5,47.5,51.5,40.56,0.29,36.82,3.73,1.1
28,39.61,40.5,40.5,9.79,-0.92,4.82,28.5,34.5,46.5,50.5,39.61,0.29,35.9,3.71,1.1
29,38.66,39.5,39.5,9.68,-0.88,4.68,27.5,33.5,45.5,49.5,38.67,0.29,34.97,3.69,1.11
30,37.72,38.5,38.5,9.58,-0.83,4.54,26.5,32.5,44.5,48.5,37.73,0.29,34.05,3.67,1.11
31,36.78,37.5,37.5,9.48,-0.79,4.41,25.5,31.5,43.5,47.5,36.78,0.29,33.12,3.65,1.11
32,35.83,36.5,36.5,9.38,-0.74,4.28,24.5,30.5,42.5,46.5,35.84,0.29,32.2,3.63,1.11
33,34.89,35.5,35.5,9.28,-0.7,4.15,23.5,29.5,41.5,45.5,34.89,0.29,31.28,3.61,1.12
34,33.94,34.5,34.5,9.18,-0.65,4.03,22.5,29.5,40.5,44.5,33.95,0.29,30.35,3.59,1.12
35,33.0,33.5,33.5,9.09,-0.61,3.91,21.5,28.5,39.5,43.5,33.01,0.3,29.43,3.57,1.12
36,32.06,32.5,32.5,8.99,-0.57,3.8,20.5,27.5,38.5,42.5,32.06,0.3,28.51,3.54,1.12
37,31.11,31.5,31.5,8.9,-0.53,3.7,20.5,26.5,37.5,41.5,31.12,0.29,27.6,3.51,1.13
38,30.17,30.5,30.5,8.81,-0.48,3.6,19.5,25.5,36.5,40.5,30.18,0.3,26.69,3.48,1.13
39,29.23,29.5,29.5,8.72,-0.44,3.5,18.5,24.5,35.5,39.5,29.24,0.3,25.77,3.45,1.13
40,28.29,28.5,28.5,8.63,-0.4,3.41,17.5,23.5,34.5,38.5,28.3,0.3,24.86,3.43,1.14
41,27.35,27.5,27.5,8.54,-0.36,3.33,16.5,22.5,33.5,37.5,27.36,0.3,23.94,3.4,1.14
42,26.41,26.5,26.5,8.45,-0.32,3.25,15.5,21.5,32.5,36.5,26.42,0.3,23.02,3.38,1.15
43,25.47,25.5,25.5,8.36,-0.28,3.18,14.5,20.5,31.5,35.5,25.48,0.3,22.11,3.36,1.15
44,24.54,24.5,24.5,8.27,-0.24,3.11,13.5,19.5,30.5,34.5,24.55,0.3,21.2,3.34,1.16
45,23.61,23.5,23.5,8.18,-0.2,3.04,13.5,18.5,29.5,33.5,23.62,0.3,20.29,3.32,1.16
46,22.68,22.5,22.5,8.09,-0.16,2.98,12.5,17.5,28.5,32.5,22.7,0.3,19.39,3.29,1.17
47,21.76,21.5,21.5,7.99,-0.12,2.93,11.5,16.5,27.5,31.5,21.77,0.3,18.51,3.26,1.18
48,20.85,20.5,20.5,7.89,-0.07,2.87,10.5,15.5,26.5,30.5,20.86,0.3,17.63,3.22,1.18
49,19.94,19.5,19.5,7.78,-0.03,2.83,9.5,14.5,25.5,29.5,19.94,0.3,16.75,3.18,1.19
50,19.03,19.5,18.5,7.68,0.02,2.79,8.5,13.5,24.5,28.5,19.04,0.31,15.89,3.15,1.2
51,18.13,18.5,17.5,7.57,0.06,2.75,8.5,12.5,23.5,27.5,18.14,0.31,15.02,3.11,1.21
52,17.24,17.5,16.5,7.46,0.1,2.73,7.5,12.5,22.5,27.5,17.25,0.31,14.16,3.08,1.22
53,16.36,16.5,15.5,7.35,0.15,2.71,6.5,11.5,21.5,26.5,16.36,0.31,13.31,3.04,1.23
54,15.48,15.5,14.5,7.23,0.19,2.69,6.5,10.5,20.5,25.5,15.49,0.31,12.49,2.99,1.24
55,14.62,14.5,13.5,7.11,0.24,2.69,5.5,9.5,19.5,24.5,14.63,0.31,11.69,2.92,1.25
56,13.77,13.5,12.5,6.97,0.29,2.69,4.5,8.5,18.5,23.5,13.78,0.31,10.93,2.84,1.26
57,12.93,12.5,11.5,6.83,0.34,2.7,4.5,7.5,17.5,22.5,12.95,0.31,10.19,2.74,1.27
58,12.11,11.5,9.5,6.68,0.4,2.73,3.5,6.5,16.5,21.5,12.13,0.31,9.48,2.63,1.28
59,11.31,10.5,8.5,6.52,0.46,2.77,3.5,6.5,15.5,20.5,11.32,0.31,8.79,2.52,1.29
60,10.53,9.5,7.5,6.35,0.51,2.82,2.5,5.5,14.5,19.5,10.54,0.3,8.13,2.39,1.29
61,9.77,9.5,5.5,6.17,0.57,2.89,2.5,4.5,13.5,18.5,9.78,0.3,7.52,2.26,1.3
62,9.05,8.5,3.5,5.97,0.64,2.99,1.5,4.5,13.5,17.5,9.06,0.3,6.95,2.1,1.3
63,8.36,7.5,2.5,5.76,0.71,3.11,1.5,3.5,12.5,16.5,8.37,0.3,6.43,1.93,1.3
64,7.72,6.5,0.5,5.53,0.78,3.26,1.5,3.5,11.5,15.5,7.73,0.28,5.97,1.75,1.29
65,7.12,6.5,0.5,5.28,0.86,3.45,1.5,2.5,10.5,14.5,7.14,0.28,5.56,1.56,1.28
66,6.57,5.5,0.5,5.02,0.94,3.68,0.5,2.5,9.5,13.5,6.59,0.27,5.19,1.38,1.27
67,6.04,4.5,0.5,4.76,1.03,3.95,0.5,2.5,8.5,12.5,6.07,0.26,4.85,1.2,1.25
68,5.56,4.5,0.5,4.5,1.12,4.25,0.5,1.5,8.5,11.5,5.58,0.25,4.53,1.03,1.23
69,5.11,4.5,0.5,4.24,1.21,4.59,0.5,1.5,7.5,11.5,5.12,0.25,4.23,0.88,1.21
70,4.7,3.5,0.5,3.99,1.3,4.96,0.5,1.5,6.5,10.5,4.71,0.24,3.96,0.74,1.19
71,4.33,3.5,0.5,3.74,1.38,5.37,0.5,1.5,6.5,9.5,4.33,0.26,3.71,0.61,1.16
72,3.99,2.5,0.5,3.51,1.47,5.8,0.5,1.5,5.5,8.5,4.01,0.25,3.49,0.5,1.14
73,3.68,2.5,0.5,3.29,1.56,6.25,0.5,1.5,5.5,8.5,3.7,0.25,3.28,0.4,1.12
74,3.41,2.5,0.5,3.08,1.63,6.69,0.5,1.5,4.5,7.5,3.45,0.26,3.09,0.32,1.1
75,3.16,2.5,0.5,2.89,1.71,7.11,0.5,0.5,4.5,7.5,3.17,0.27,2.91,0.25,1.09
76,2.95,2.5,0.5,2.71,1.77,7.49,0.5,0.5,4.5,6.5,2.92,0.27,2.75,0.19,1.07
77,2.76,1.5,0.5,2.55,1.82,7.79,0.5,0.5,3.5,6.5,2.78,0.24,2.61,0.15,1.06
78,2.59,1.5,0.5,2.41,1.86,8.0,0.5,0.5,3.5,5.5,2.6,0.23,2.47,0.12,1.05
79,2.44,1.5,0.5,2.28,1.88,8.1,0.5,0.5,3.5,5.5,2.45,0.11,2.35,0.09,1.04
80,2.32,1.5,0.5,2.16,1.89,8.11,0.5,0.5,3.5,5.5,2.31,0.11,2.24,0.07,1.03
81,2.2,1.5,0.5,2.05,1.88,8.05,0.5,0.5,3.5,4.5,2.2,0.1,2.14,0.06,1.03
82,2.1,1.5,0.5,1.95,1.87,7.94,0.5,0.5,2.5,4.5,2.11,0.1,2.05,0.05,1.03
83,2.01,1.5,0.5,1.86,1.85,7.84,0.5,0.5,2.5,4.5,2.0,0.09,1.96,0.04,1.02
84,1.92,1.5,0.5,1.76,1.84,7.75,0.5,0.5,2.5,4.5,1.92,0.08,1.88,0.04,1.02
85,1.83,1.5,0.5,1.67,1.84,7.7,0.5,0.5,2.5,4.5,1.83,0.08,1.8,0.03,1.02
86,1.75,1.5,0.5,1.59,1.84,7.67,0.5,0.5,2.5,3.5,1.75,0.07,1.72,0.02,1.01
87,1.67,1.5,0.5,1.51,1.84,7.66,0.5,0.5,2.5,3.5,1.66,0.07,1.65,0.02,1.01
88,1.59,1.5,0.5,1.44,1.85,7.65,0.5,0.5,2.5,3.5,1.59,0.06,1.58,0.01,1.01
89,1.52,1.5,0.5,1.37,1.86,7.66,0.5,0.5,2.5,3.5,1.53,0.06,1.51,0.01,1.01
90,1.46,1.5,0.5,1.3,1.87,7.68,0.5,0.5,1.5,3.5,1.46,0.06,1.45,0.01,1.01
