age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
26,42.8,43.5,45.5,10.44,-1.03,5.03,30.5,37.5,49.5,54.5,42.81,0.3,40.16,2.64,1.07
27,41.86,42.5,44.5,10.33,-0.98,4.9,29.5,36.5,48.5,53.5,41.87,0.31,39.24,2.62,1.07
28,40.92,41.5,43.5,10.22,-0.94,4.76,28.5,35.5,47.5,52.5,40.92,0.31,38.31,2.6,1.07
29,39.97,41.5,42.5,10.11,-0.9,4.63,27.5,34.5,46.5,51.5,39.98,0.31,37.39,2.58,1.07
30,39.03,40.5,41.5,10.01,-0.86,4.5,26.5,33.5,45.5,50.5,39.04,0.3,36.46,2.57,1.07
31,38.09,39.5,40.5,9.9,-0.81,4.37,26.5,32.5,44.5,49.5,38.1,0.31,35.54,2.55,1.07
32,37.15,38.5,39.5,9.8,-0.77,4.25,25.5,31.5,43.5,48.5,37.16,0.31,34.61,2.54,1.07
33,36.21,37.5,38.5,9.7,-0.73,4.13,24.5,31.5,42.5,47.5,36.21,0.31,33.68,2.53,1.08
34,35.26,36.5,37.5,9.6,-0.69,4.02,23.5,30.5,41.5,46.5,35.27,0.31,32.74,2.52,1.08
35,34.32,35.5,36.5,9.5,-0.65,3.91,22.5,29.5,40.5,45.5,34.32,0.31,31.81,2.51,1.08
36,33.38,34.5,35.5,9.4,-0.61,3.81,21.5,28.5,39.5,44.5,33.38,0.31,30.88,2.5,1.08
37,32.44,33.5,34.5,9.31,-0.57,3.71,20.5,27.5,38.5,43.5,32.44,0.31,29.94,2.5,1.08
38,31.5,32.5,33.5,9.22,-0.53,3.61,19.5,26.5,37.5,42.5,31.5,0.31,29.01,2.49,1.09
39,30.56,31.5,32.5,9.12,-0.49,3.52,19.5,25.5,36.5,41.5,30.56,0.31,28.07,2.49,1.09
40,29.62,30.5,31.5,9.03,-0.45,3.44,18.5,24.5,35.5,40.5,29.62,0.31,27.14,2.48,1.09
41,28.68,29.5,30.5,8.94,-0.41,3.36,17.5,23.5,34.5,39.5,28.68,0.31,26.21,2.47,1.09
42,27.75,28.5,29.5,8.85,-0.37,3.28,16.5,22.5,33.5,38.5,27.75,0.31,25.29,2.46,1.1
43,26.81,27.5,28.5,8.75,-0.34,3.21,15.5,21.5,32.5,37.5,26.81,0.31,24.37,2.45,1.1
44,25.88,26.5,27.5,8.66,-0.3,3.14,14.5,20.5,31.5,36.5,25.88,0.31,23.45,2.43,1.1
45,24.96,25.5,26.5,8.56,-0.26,3.08,14.5,19.5,30.5,35.5,24.96,0.31,22.54,2.42,1.11
46,24.03,24.5,25.5,8.46,-0.22,3.02,13.5,18.5,29.5,34.5,24.03,0.31,21.63,2.4,1.11
47,23.12,23.5,24.5,8.36,-0.18,2.97,12.5,17.5,28.5,33.5,23.11,0.31,20.73,2.38,1.11
48,22.2,22.5,23.5,8.26,-0.14,2.91,11.5,16.5,27.5,32.5,22.2,0.32,19.84,2.36,1.12
49,21.3,21.5,22.5,8.15,-0.09,2.87,10.5,15.5,26.5,31.5,21.29,0.32,18.96,2.34,1.12
50,20.4,20.5,21.5,8.04,-0.05,2.82,10.5,14.5,26.5,30.5,20.4,0.32,18.08,2.32,1.13
51,19.51,19.5,20.5,7.92,-0.0,2.78,9.5,14.5,25.5,29.5,19.51,0.32,17.22,2.29,1.13
52,18.62,18.5,19.5,7.8,0.04,2.75,8.5,13.5,24.5,28.5,18.62,0.32,16.36,2.26,1.14
53,17.74,17.5,18.5,7.67,0.09,2.72,7.5,12.5,23.5,27.5,17.75,0.33,15.51,2.23,1.14
54,16.87,16.5,17.5,7.55,0.14,2.7,7.5,11.5,22.5,26.5,16.88,0.33,14.67,2.2,1.15
55,16.01,15.5,16.5,7.42,0.18,2.69,6.5,10.5,21.5,25.5,16.02,0.33,13.84,2.17,1.16
56,15.16,14.5,15.5,7.29,0.23,2.68,5.5,9.5,20.5,24.5,15.17,0.33,13.01,2.15,1.16
57,14.31,14.5,13.5,7.16,0.27,2.69,4.5,8.5,19.5,23.5,14.32,0.33,12.19,2.12,1.17
58,13.47,13.5,12.5,7.03,0.32,2.7,4.5,8.5,18.5,22.5,13.48,0.33,11.38,2.09,1.18
59,12.65,12.5,11.5,6.89,0.36,2.72,3.5,7.5,17.5,21.5,12.66,0.33,10.61,2.05,1.19
60,11.86,11.5,10.5,6.74,0.41,2.76,3.5,6.5,16.5,20.5,11.87,0.33,9.87,1.98,1.2
61,11.09,10.5,9.5,6.56,0.47,2.81,2.5,5.5,15.5,19.5,11.11,0.32,9.19,1.9,1.21
62,10.36,9.5,8.5,6.37,0.52,2.88,2.5,5.5,14.5,18.5,10.4,0.32,8.57,1.79,1.21
63,9.67,9.5,6.5,6.16,0.59,2.98,1.5,4.5,13.5,18.5,9.7,0.33,8.0,1.67,1.21
64,9.01,8.5,5.5,5.93,0.65,3.1,1.5,4.5,12.5,17.5,9.04,0.32,7.48,1.54,1.21
65,8.39,7.5,3.5,5.7,0.73,3.24,1.5,3.5,12.5,16.5,8.41,0.31,6.99,1.39,1.2
66,7.79,6.5,1.5,5.46,0.8,3.41,1.5,3.5,11.5,15.5,7.8,0.3,6.53,1.25,1.19
67,7.21,6.5,0.5,5.22,0.88,3.6,1.5,2.5,10.5,14.5,7.22,0.29,6.1,1.11,1.18
68,6.67,5.5,0.5,4.98,0.96,3.81,1.5,2.5,9.5,13.5,6.69,0.3,5.7,0.97,1.17
69,6.17,5.5,0.5,4.74,1.04,4.05,0.5,2.5,8.5,12.5,6.19,0.29,5.33,0.84,1.16
70,5.7,4.5,0.5,4.5,1.12,4.32,0.5,2.5,8.5,11.5,5.72,0.27,4.99,0.72,1.14
71,5.27,4.5,0.5,4.26,1.2,4.6,0.5,1.5,7.5,11.5,5.28,0.26,4.67,0.6,1.13
72,4.88,3.5,0.5,4.04,1.28,4.89,0.5,1.5,7.5,10.5,4.9,0.27,4.38,0.5,1.11
73,4.53,3.5,0.5,3.82,1.35,5.18,0.5,1.5,6.5,9.5,4.52,0.27,4.11,0.41,1.1
