age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,47.39,48.5,47.5,11.5,-0.88,5.02,33.5,42.5,54.5,60.5,47.38,0.12,38.96,8.42,1.22
19,46.42,47.5,46.5,11.43,-0.85,4.93,32.5,41.5,53.5,59.5,46.42,0.12,38.17,8.25,1.22
20,45.46,46.5,45.5,11.35,-0.82,4.84,32.5,40.5,52.5,58.5,45.46,0.13,37.33,8.13,1.22
21,44.51,45.5,44.5,11.27,-0.79,4.74,31.5,39.5,51.5,57.5,44.5,0.12,36.47,8.04,1.22
22,43.56,44.5,43.5,11.18,-0.75,4.64,30.5,38.5,50.5,56.5,43.55,0.13,35.59,7.97,1.22
23,42.61,43.5,42.5,11.08,-0.71,4.53,29.5,37.5,49.5,55.5,42.61,0.13,34.69,7.92,1.23
24,41.67,42.5,41.5,10.98,-0.67,4.43,28.5,36.5,48.5,54.5,41.66,0.13,33.78,7.89,1.23
25,40.72,41.5,40.5,10.89,-0.64,4.33,27.5,35.5,47.5,53.5,40.72,0.13,32.84,7.88,1.24
26,39.77,40.5,39.5,10.8,-0.6,4.24,26.5,34.5,46.5,52.5,39.77,0.13,31.9,7.88,1.25
27,38.83,39.5,38.5,10.71,-0.56,4.15,25.5,33.5,45.5,51.5,38.82,0.13,30.94,7.88,1.25
28,37.88,38.5,37.5,10.63,-0.53,4.07,24.5,32.5,44.5,50.5,37.87,0.13,29.98,7.9,1.26
29,36.92,37.5,36.5,10.55,-0.5,3.99,23.5,31.5,43.5,49.5,36.92,0.13,29.0,7.92,1.27
30,35.97,36.5,35.5,10.48,-0.47,3.92,23.5,30.5,42.5,48.5,35.97,0.13,28.02,7.95,1.28
31,35.02,35.5,34.5,10.41,-0.44,3.86,22.5,29.5,41.5,47.5,35.02,0.12,27.03,7.99,1.3
32,34.06,34.5,33.5,10.35,-0.42,3.8,21.5,28.5,40.5,46.5,34.06,0.12,26.04,8.02,1.31
33,33.1,33.5,32.5,10.3,-0.4,3.75,20.5,27.5,39.5,45.5,33.1,0.12,25.05,8.05,1.32
34,32.14,32.5,31.5,10.25,-0.38,3.7,19.5,26.5,38.5,44.5,32.13,0.12,24.06,8.08,1.34
35,31.17,31.5,30.5,10.21,-0.36,3.65,18.5,25.5,37.5,43.5,31.16,0.12,23.07,8.1,1.35
36,30.19,30.5,29.5,10.19,-0.34,3.61,17.5,24.5,36.5,42.5,30.19,0.12,22.07,8.12,1.37
37,29.21,29.5,28.5,10.16,-0.33,3.56,16.5,23.5,35.5,41.5,29.21,0.12,21.08,8.13,1.39
38,28.23,28.5,27.5,10.15,-0.32,3.51,15.5,22.5,34.5,40.5,28.23,0.12,20.09,8.14,1.41
39,27.24,27.5,26.5,10.15,-0.31,3.46,14.5,21.5,33.5,39.5,27.23,0.12,19.1,8.14,1.43
40,26.24,26.5,25.5,10.15,-0.3,3.4,13.5,20.5,32.5,38.5,26.24,0.12,18.12,8.12,1.45
41,25.24,25.5,24.5,10.15,-0.28,3.33,12.5,19.5,31.5,37.5,25.23,0.12,17.15,8.09,1.47
42,24.23,24.5,23.5,10.16,-0.27,3.25,11.5,18.5,30.5,36.5,24.22,0.13,16.19,8.04,1.5
43,23.21,23.5,0.0,10.17,-0.25,3.16,10.5,17.5,29.5,35.5,23.2,0.13,15.24,7.97,1.52
44,22.19,22.5,0.0,10.18,-0.22,3.07,8.5,16.5,28.5,34.5,22.18,0.13,14.31,7.88,1.55
45,21.17,21.5,0.0,10.19,-0.19,2.97,7.5,15.5,27.5,33.5,21.16,0.13,13.4,7.77,1.58
46,20.15,20.5,0.0,10.19,-0.16,2.87,4.5,14.5,26.5,32.5,20.13,0.13,12.51,7.63,1.61
47,19.12,19.5,0.0,10.18,-0.12,2.76,0.5,13.5,25.5,31.5,19.11,0.14,11.64,7.48,1.64
48,18.09,18.5,0.0,10.16,-0.07,2.67,0.5,12.5,24.5,30.5,18.08,0.14,10.78,7.31,1.68
49,17.06,17.5,0.0,10.13,-0.02,2.57,0.5,11.5,23.5,29.5,17.05,0.14,9.94,7.12,1.72
