age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,42.84,43.5,44.5,13.64,-0.57,3.63,25.5,35.5,51.5,59.5,42.81,0.61,26.38,16.46,1.62
19,41.87,42.5,43.5,13.59,-0.55,3.59,24.5,34.5,50.5,58.5,41.84,0.61,25.78,16.09,1.62
20,40.91,41.5,42.5,13.54,-0.54,3.55,23.5,33.5,49.5,57.5,40.87,0.62,25.17,15.73,1.63
21,39.95,40.5,41.5,13.48,-0.52,3.51,22.5,32.5,48.5,56.5,39.91,0.62,24.56,15.39,1.63
22,38.99,39.5,40.5,13.42,-0.5,3.47,21.5,31.5,47.5,55.5,38.95,0.62,23.93,15.05,1.63
23,38.03,39.5,39.5,13.36,-0.49,3.43,20.5,30.5,46.5,54.5,38.0,0.62,23.3,14.73,1.63
24,37.08,38.5,38.5,13.3,-0.47,3.39,19.5,29.5,45.5,53.5,37.04,0.62,22.66,14.42,1.64
25,36.12,37.5,37.5,13.25,-0.45,3.35,18.5,28.5,44.5,52.5,36.08,0.62,22.01,14.11,1.64
26,35.15,36.5,36.5,13.2,-0.44,3.3,17.5,27.5,43.5,51.5,35.12,0.62,21.34,13.81,1.65
27,34.19,35.5,35.5,13.15,-0.42,3.26,16.5,26.5,42.5,50.5,34.16,0.63,20.66,13.53,1.65
28,33.21,34.5,34.5,13.11,-0.41,3.21,15.5,25.5,41.5,49.5,33.18,0.63,19.97,13.25,1.66
29,32.24,33.5,0.0,13.08,-0.39,3.16,14.5,24.5,40.5,48.5,32.21,0.63,19.26,12.98,1.67
30,31.26,32.5,0.0,13.04,-0.37,3.1,13.5,23.5,39.5,47.5,31.23,0.63,18.54,12.71,1.69
31,30.27,31.5,0.0,13.02,-0.35,3.05,12.5,22.5,38.5,46.5,30.24,0.64,17.82,12.46,1.7
32,29.28,30.5,0.0,12.99,-0.33,2.98,11.5,21.5,37.5,45.5,29.25,0.64,17.08,12.21,1.71
33,28.28,29.5,0.0,12.97,-0.31,2.92,10.5,20.5,36.5,44.5,28.25,0.65,16.33,11.96,1.73
34,27.28,28.5,0.0,12.95,-0.29,2.85,8.5,19.5,35.5,43.5,27.24,0.67,15.57,11.71,1.75
35,26.28,27.5,0.0,12.93,-0.26,2.78,7.5,18.5,34.5,42.5,26.23,0.67,14.81,11.47,1.77
36,25.26,26.5,0.0,12.9,-0.23,2.7,5.5,17.5,33.5,41.5,25.21,0.67,14.05,11.22,1.8
37,24.25,25.5,0.0,12.87,-0.2,2.63,0.5,16.5,32.5,40.5,24.21,0.67,13.29,10.96,1.82
38,23.24,24.5,0.0,12.83,-0.16,2.55,0.5,15.5,31.5,39.5,23.21,0.66,12.54,10.69,1.85
39,22.23,23.5,0.0,12.79,-0.12,2.48,0.5,14.5,30.5,38.5,22.2,0.65,11.81,10.42,1.88
40,21.21,22.5,0.0,12.73,-0.08,2.42,0.5,13.5,29.5,37.5,21.19,0.66,11.08,10.13,1.91
41,20.21,21.5,0.0,12.66,-0.04,2.35,0.5,11.5,28.5,36.5,20.16,0.69,10.37,9.84,1.95
42,19.21,20.5,0.0,12.57,0.01,2.3,0.5,10.5,28.5,35.5,19.16,0.69,9.68,9.53,1.98
43,18.22,18.5,0.0,12.46,0.07,2.26,0.5,8.5,27.5,34.5,18.18,0.68,9.01,9.21,2.02
44,17.25,17.5,0.0,12.34,0.12,2.22,0.5,7.5,26.5,33.5,17.19,0.67,8.36,8.88,2.06
45,16.28,16.5,0.0,12.19,0.18,2.2,0.5,4.5,25.5,32.5,16.23,0.67,7.74,8.54,2.1
46,15.34,15.5,0.0,12.03,0.25,2.19,0.5,0.5,24.5,31.5,15.27,0.65,7.14,8.2,2.15
47,14.42,14.5,0.0,11.84,0.31,2.19,0.5,0.5,23.5,30.5,14.31,0.66,6.56,7.85,2.2
48,13.52,13.5,0.0,11.64,0.38,2.21,0.5,0.5,22.5,29.5,13.42,0.64,6.02,7.5,2.25
49,12.64,12.5,0.0,11.41,0.45,2.24,0.5,0.5,21.5,28.5,12.55,0.62,5.5,7.14,2.3
50,11.8,11.5,0.0,11.16,0.53,2.3,0.5,0.5,20.5,27.5,11.71,0.59,5.02,6.78,2.35
51,10.99,9.5,0.0,10.9,0.61,2.37,0.5,0.5,19.5,26.5,10.89,0.56,4.57,6.42,2.41
52,10.21,8.5,0.0,10.62,0.68,2.46,0.5,0.5,18.5,25.5,10.13,0.54,4.14,6.06,2.46
53,9.46,7.5,0.0,10.32,0.77,2.57,0.5,0.5,17.5,24.5,9.38,0.53,3.75,5.71,2.52
