age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,43.25,44.5,44.5,12.03,-0.61,3.98,28.5,36.5,50.5,57.5,43.21,0.6,28.44,14.81,1.52
19,42.29,43.5,43.5,11.97,-0.59,3.93,27.5,35.5,49.5,56.5,42.24,0.6,27.8,14.49,1.52
20,41.32,42.5,42.5,11.91,-0.57,3.87,26.5,34.5,48.5,55.5,41.28,0.6,27.14,14.19,1.52
21,40.37,41.5,41.5,11.84,-0.55,3.81,25.5,33.5,47.5,54.5,40.33,0.6,26.47,13.9,1.53
22,39.41,40.5,40.5,11.77,-0.52,3.75,24.5,32.5,46.5,53.5,39.37,0.6,25.79,13.62,1.53
23,38.46,39.5,39.5,11.69,-0.5,3.7,23.5,31.5,46.5,52.5,38.42,0.61,25.11,13.36,1.53
24,37.51,38.5,38.5,11.62,-0.47,3.64,22.5,31.5,45.5,51.5,37.47,0.61,24.41,13.11,1.54
25,36.56,37.5,37.5,11.55,-0.45,3.59,21.5,30.5,44.5,50.5,36.51,0.61,23.69,12.87,1.54
26,35.6,36.5,36.5,11.49,-0.43,3.54,20.5,29.5,43.5,49.5,35.56,0.61,22.96,12.64,1.55
27,34.65,35.5,35.5,11.43,-0.41,3.5,19.5,28.5,42.5,48.5,34.6,0.61,22.21,12.43,1.56
28,33.69,34.5,34.5,11.37,-0.39,3.46,18.5,27.5,41.5,47.5,33.64,0.61,21.45,12.24,1.57
29,32.73,33.5,33.5,11.32,-0.37,3.42,18.5,26.5,40.5,46.5,32.68,0.61,20.68,12.05,1.58
30,31.77,32.5,32.5,11.27,-0.36,3.38,17.5,25.5,39.5,45.5,31.72,0.61,19.9,11.86,1.6
31,30.8,31.5,31.5,11.23,-0.34,3.34,16.5,24.5,38.5,44.5,30.75,0.62,19.12,11.67,1.61
32,29.83,30.5,30.5,11.19,-0.33,3.29,15.5,23.5,37.5,43.5,29.78,0.62,18.35,11.48,1.63
33,28.86,29.5,29.5,11.16,-0.31,3.25,14.5,22.5,36.5,42.5,28.81,0.63,17.59,11.27,1.64
34,27.88,28.5,28.5,11.13,-0.29,3.2,13.5,21.5,35.5,41.5,27.84,0.63,16.83,11.05,1.66
35,26.91,27.5,27.5,11.1,-0.28,3.15,12.5,20.5,34.5,40.5,26.86,0.64,16.08,10.83,1.67
36,25.93,26.5,26.5,11.07,-0.26,3.09,11.5,19.5,33.5,39.5,25.88,0.65,15.33,10.59,1.69
37,24.94,25.5,0.0,11.05,-0.24,3.03,10.5,18.5,32.5,38.5,24.9,0.65,14.59,10.35,1.71
38,23.95,24.5,0.0,11.02,-0.21,2.97,9.5,17.5,31.5,37.5,23.91,0.66,13.85,10.1,1.73
