age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,42.89,43.5,43.5,10.84,-0.69,4.34,29.5,37.5,50.5,55.5,42.8,0.65,32.35,10.54,1.33
19,41.92,42.5,42.5,10.78,-0.67,4.26,28.5,36.5,49.5,54.5,41.84,0.65,31.56,10.36,1.33
20,40.95,41.5,41.5,10.72,-0.64,4.18,27.5,35.5,48.5,53.5,40.88,0.65,30.76,10.2,1.33
21,40.0,40.5,40.5,10.64,-0.61,4.09,26.5,34.5,47.5,52.5,39.92,0.65,29.95,10.04,1.34
22,39.04,39.5,39.5,10.56,-0.57,3.99,26.5,33.5,46.5,51.5,38.97,0.65,29.15,9.89,1.34
23,38.09,38.5,38.5,10.48,-0.54,3.9,25.5,32.5,45.5,50.5,38.01,0.65,28.34,9.75,1.34
24,37.14,37.5,37.5,10.4,-0.5,3.81,24.5,31.5,44.5,49.5,37.06,0.65,27.51,9.62,1.35
25,36.19,36.5,36.5,10.32,-0.47,3.72,23.5,30.5,43.5,48.5,36.11,0.65,26.68,9.5,1.36
26,35.24,35.5,35.5,10.24,-0.44,3.64,22.5,29.5,42.5,47.5,35.16,0.65,25.85,9.39,1.36
27,34.28,34.5,34.5,10.17,-0.41,3.57,21.5,28.5,41.5,46.5,34.2,0.66,25.0,9.28,1.37
28,33.33,33.5,33.5,10.1,-0.38,3.5,20.5,27.5,40.5,45.5,33.25,0.65,24.14,9.19,1.38
29,32.37,32.5,32.5,10.04,-0.35,3.45,19.5,26.5,39.5,44.5,32.29,0.66,23.27,9.1,1.39
30,31.41,31.5,31.5,9.98,-0.33,3.4,18.5,25.5,38.5,43.5,31.33,0.66,22.4,9.01,1.4
31,30.45,30.5,30.5,9.93,-0.31,3.35,17.5,24.5,37.5,42.5,30.37,0.66,21.51,8.94,1.42
32,29.49,29.5,29.5,9.88,-0.29,3.31,16.5,23.5,36.5,41.5,29.4,0.66,20.62,8.87,1.43
33,28.52,28.5,28.5,9.84,-0.27,3.27,15.5,22.5,35.5,40.5,28.44,0.66,19.72,8.79,1.45
34,27.55,27.5,27.5,9.81,-0.26,3.24,15.5,21.5,34.5,39.5,27.46,0.66,18.83,8.72,1.46
35,26.57,26.5,26.5,9.79,-0.25,3.2,14.5,20.5,33.5,38.5,26.49,0.67,17.94,8.63,1.48
36,25.58,25.5,25.5,9.78,-0.24,3.16,13.5,19.5,32.5,37.5,25.5,0.67,17.05,8.53,1.5
37,24.59,24.5,24.5,9.77,-0.23,3.11,12.5,18.5,31.5,36.5,24.51,0.68,16.17,8.42,1.52
38,23.6,23.5,23.5,9.77,-0.21,3.06,11.5,17.5,30.5,35.5,23.52,0.69,15.31,8.29,1.54
39,22.6,22.5,22.5,9.77,-0.2,2.99,9.5,16.5,29.5,34.5,22.51,0.7,14.45,8.14,1.56
40,21.59,21.5,0.0,9.77,-0.18,2.92,8.5,15.5,28.5,33.5,21.5,0.7,13.61,7.98,1.59
41,20.57,20.5,0.0,9.77,-0.16,2.84,7.5,14.5,27.5,32.5,20.49,0.71,12.77,7.8,1.61
42,19.55,19.5,0.0,9.78,-0.13,2.76,5.5,13.5,26.5,31.5,19.47,0.71,11.95,7.6,1.64
43,18.52,18.5,0.0,9.77,-0.1,2.67,3.5,12.5,25.5,30.5,18.44,0.72,11.13,7.39,1.66
44,17.48,17.5,0.0,9.77,-0.06,2.58,0.5,11.5,24.5,29.5,17.4,0.73,10.32,7.16,1.69
45,16.44,16.5,0.0,9.74,-0.01,2.49,0.5,10.5,23.5,28.5,16.35,0.75,9.52,6.93,1.73
46,15.4,15.5,0.0,9.71,0.05,2.4,0.5,8.5,22.5,27.5,15.31,0.75,8.73,6.67,1.76
47,14.37,14.5,0.0,9.65,0.11,2.33,0.5,7.5,21.5,26.5,14.26,0.77,7.96,6.41,1.8
48,13.34,13.5,0.0,9.57,0.18,2.28,0.5,5.5,20.5,25.5,13.23,0.76,7.22,6.12,1.85
49,12.33,12.5,0.0,9.46,0.26,2.24,0.5,3.5,19.5,24.5,12.25,0.77,6.51,5.82,1.89
50,11.34,11.5,0.0,9.32,0.35,2.24,0.5,0.5,18.5,24.5,11.24,0.76,5.83,5.51,1.95
51,10.37,9.5,0.0,9.15,0.44,2.26,0.5,0.5,17.5,23.5,10.25,0.77,5.17,5.2,2.0
52,9.43,8.5,0.0,8.95,0.55,2.31,0.5,0.5,16.5,22.5,9.3,0.75,4.55,4.88,2.07
53,8.54,7.5,0.0,8.71,0.65,2.4,0.5,0.5,15.5,21.5,8.4,0.75,3.97,4.57,2.15
54,7.69,5.5,0.0,8.45,0.77,2.53,0.5,0.5,14.5,20.5,7.57,0.73,3.44,4.25,2.24
55,6.9,3.5,0.0,8.14,0.88,2.71,0.5,0.5,13.5,19.5,6.79,0.71,2.97,3.94,2.33
56,6.18,0.5,0.0,7.82,1.0,2.93,0.5,0.5,12.5,18.5,6.1,0.7,2.55,3.63,2.42
57,5.53,0.5,0.0,7.47,1.12,3.19,0.5,0.5,11.5,17.5,5.44,0.68,2.2,3.33,2.51
58,4.94,0.5,0.0,7.11,1.24,3.49,0.5,0.5,9.5,16.5,4.86,0.65,1.91,3.03,2.59
