age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
18,46.55,47.5,46.5,11.79,-0.7,4.61,32.5,40.5,53.5,60.5,46.54,0.2,36.59,9.96,1.27
19,45.59,46.5,45.5,11.72,-0.68,4.53,31.5,39.5,52.5,59.5,45.58,0.2,35.85,9.73,1.27
20,44.63,45.5,44.5,11.65,-0.65,4.46,30.5,38.5,51.5,58.5,44.62,0.2,35.06,9.57,1.27
21,43.67,44.5,43.5,11.57,-0.62,4.38,29.5,38.5,50.5,57.5,43.66,0.2,34.11,9.56,1.28
22,42.72,43.5,42.5,11.49,-0.59,4.3,28.5,37.5,49.5,56.5,42.71,0.2,33.09,9.62,1.29
23,41.77,42.5,41.5,11.4,-0.55,4.22,27.5,36.5,48.5,55.5,41.76,0.2,32.12,9.65,1.3
24,40.82,41.5,40.5,11.31,-0.52,4.13,26.5,35.5,47.5,54.5,40.81,0.2,31.2,9.62,1.31
25,39.88,40.5,39.5,11.23,-0.48,4.05,26.5,34.5,46.5,53.5,39.86,0.2,30.3,9.57,1.32
26,38.93,39.5,38.5,11.14,-0.45,3.98,25.5,33.5,45.5,52.5,38.92,0.2,29.39,9.54,1.32
27,37.98,38.5,37.5,11.07,-0.42,3.91,24.5,32.5,44.5,51.5,37.96,0.2,28.46,9.51,1.33
28,37.03,37.5,36.5,10.99,-0.39,3.84,23.5,31.5,43.5,50.5,37.02,0.2,27.56,9.47,1.34
29,36.07,36.5,35.5,10.92,-0.36,3.77,22.5,30.5,42.5,49.5,36.06,0.2,26.69,9.39,1.35
30,35.12,35.5,34.5,10.85,-0.33,3.71,21.5,29.5,41.5,48.5,35.11,0.2,25.81,9.31,1.36
31,34.16,34.5,33.5,10.79,-0.31,3.66,20.5,28.5,40.5,47.5,34.15,0.2,24.91,9.25,1.37
32,33.21,33.5,32.5,10.73,-0.29,3.61,19.5,27.5,39.5,46.5,33.19,0.2,24.0,9.21,1.38
33,32.24,32.5,31.5,10.68,-0.27,3.57,18.5,26.5,38.5,45.5,32.23,0.2,23.1,9.14,1.4
34,31.28,31.5,30.5,10.64,-0.25,3.53,17.5,25.5,37.5,44.5,31.27,0.2,22.21,9.07,1.41
35,30.31,30.5,29.5,10.61,-0.23,3.49,16.5,24.5,36.5,43.5,30.3,0.2,21.29,9.02,1.42
36,29.33,29.5,28.5,10.58,-0.22,3.45,16.5,23.5,35.5,42.5,29.32,0.2,20.31,9.02,1.44
37,28.35,28.5,27.5,10.57,-0.21,3.41,15.5,22.5,34.5,41.5,28.34,0.2,19.33,9.02,1.47
