age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
20,45.44,46.5,45.5,11.45,-0.76,4.63,31.5,39.5,52.5,58.5,45.42,0.24,37.36,8.08,1.22
21,44.48,45.5,44.5,11.36,-0.73,4.54,30.5,38.5,51.5,57.5,44.47,0.24,36.48,8.0,1.22
22,43.53,44.5,43.5,11.27,-0.69,4.43,29.5,37.5,50.5,56.5,43.52,0.24,35.58,7.95,1.22
23,42.59,43.5,42.5,11.17,-0.66,4.33,29.5,36.5,49.5,55.5,42.57,0.24,34.67,7.92,1.23
24,41.64,42.5,41.5,11.08,-0.62,4.22,28.5,35.5,48.5,54.5,41.63,0.24,33.74,7.9,1.23
25,40.7,41.5,40.5,10.98,-0.58,4.12,27.5,34.5,47.5,53.5,40.68,0.24,32.8,7.89,1.24
26,39.75,40.5,39.5,10.89,-0.54,4.03,26.5,33.5,46.5,52.5,39.74,0.24,31.85,7.9,1.25
27,38.8,39.5,38.5,10.8,-0.51,3.94,25.5,32.5,45.5,51.5,38.79,0.24,30.89,7.91,1.26
28,37.85,38.5,37.5,10.72,-0.47,3.86,24.5,31.5,44.5,50.5,37.84,0.24,29.92,7.93,1.27
29,36.9,37.5,36.5,10.64,-0.44,3.78,23.5,31.5,43.5,49.5,36.89,0.24,28.95,7.96,1.27
30,35.95,36.5,35.5,10.56,-0.41,3.71,22.5,30.5,42.5,48.5,35.94,0.24,27.97,7.98,1.29
31,35.0,35.5,34.5,10.49,-0.38,3.65,21.5,29.5,41.5,47.5,34.99,0.24,26.99,8.02,1.3
32,34.05,34.5,33.5,10.42,-0.35,3.59,20.5,28.5,40.5,46.5,34.03,0.24,26.0,8.05,1.31
33,33.09,33.5,32.5,10.36,-0.33,3.54,20.5,27.5,39.5,45.5,33.07,0.24,25.01,8.09,1.32
34,32.13,32.5,31.5,10.31,-0.31,3.49,19.5,26.5,38.5,44.5,32.12,0.24,24.01,8.13,1.34
35,31.17,31.5,30.5,10.27,-0.29,3.45,18.5,25.5,37.5,43.5,31.16,0.24,23.01,8.17,1.35
36,30.2,30.5,29.5,10.23,-0.27,3.41,17.5,24.5,36.5,42.5,30.19,0.24,22.0,8.2,1.37
37,29.23,29.5,28.5,10.2,-0.26,3.37,16.5,23.5,35.5,41.5,29.22,0.25,20.99,8.24,1.39
38,28.25,28.5,27.5,10.18,-0.25,3.33,15.5,22.5,34.5,40.5,28.24,0.25,19.99,8.26,1.41
39,27.27,27.5,26.5,10.17,-0.24,3.29,14.5,21.5,33.5,39.5,27.26,0.25,18.99,8.28,1.44
40,26.28,26.5,25.5,10.17,-0.23,3.25,13.5,20.5,32.5,39.5,26.27,0.26,18.0,8.28,1.46
41,25.28,25.5,24.5,10.17,-0.22,3.19,12.5,19.5,31.5,38.5,25.27,0.26,17.02,8.26,1.49
42,24.28,24.5,23.5,10.18,-0.21,3.13,11.5,18.5,30.5,37.5,24.26,0.27,16.05,8.23,1.51
43,23.27,23.5,0.0,10.19,-0.2,3.06,10.5,17.5,29.5,36.5,23.25,0.27,15.09,8.18,1.54
44,22.26,22.5,0.0,10.2,-0.18,2.98,8.5,16.5,28.5,35.5,22.24,0.28,14.15,8.11,1.57
45,21.24,21.5,0.0,10.21,-0.16,2.9,7.5,15.5,27.5,34.5,21.22,0.29,13.23,8.01,1.61
46,20.22,20.5,0.0,10.22,-0.13,2.81,5.5,14.5,26.5,33.5,20.21,0.3,12.32,7.89,1.64
47,19.19,19.5,0.0,10.22,-0.09,2.72,3.5,13.5,26.5,32.5,19.18,0.3,11.44,7.75,1.68
48,18.16,18.5,0.0,10.21,-0.05,2.63,0.5,11.5,25.5,31.5,18.16,0.31,10.57,7.59,1.72
49,17.14,17.5,0.0,10.18,-0.01,2.54,0.5,10.5,24.5,30.5,17.14,0.32,9.73,7.41,1.76
50,16.12,16.5,0.0,10.14,0.05,2.46,0.5,9.5,23.5,29.5,16.12,0.33,8.91,7.21,1.81
51,15.11,15.5,0.0,10.09,0.11,2.39,0.5,8.5,22.5,28.5,15.1,0.33,8.1,7.01,1.87
52,14.1,14.5,0.0,10.01,0.17,2.33,0.5,6.5,21.5,27.5,14.09,0.33,7.31,6.79,1.93
53,13.11,13.5,0.0,9.91,0.24,2.3,0.5,3.5,20.5,26.5,13.09,0.31,6.55,6.56,2.0
54,12.14,12.5,0.0,9.78,0.32,2.28,0.5,0.5,19.5,25.5,12.14,0.31,5.83,6.32,2.08
55,11.21,11.5,0.0,9.61,0.41,2.29,0.5,0.5,18.5,24.5,11.2,0.3,5.16,6.05,2.17
56,10.33,9.5,0.0,9.41,0.49,2.33,0.5,0.5,17.5,23.5,10.31,0.29,4.56,5.76,2.26
57,9.5,8.5,0.0,9.17,0.58,2.4,0.5,0.5,16.5,22.5,9.49,0.29,4.04,5.45,2.35
58,8.72,7.5,0.0,8.91,0.67,2.5,0.5,0.5,15.5,21.5,8.71,0.28,3.6,5.12,2.43
59,7.99,6.5,0.0,8.62,0.76,2.63,0.5,0.5,14.5,20.5,7.99,0.28,3.21,4.78,2.49
60,7.31,4.5,0.0,8.31,0.86,2.79,0.5,0.5,13.5,19.5,7.31,0.27,2.87,4.44,2.55
61,6.66,2.5,0.0,7.99,0.96,2.97,0.5,0.5,12.5,18.5,6.66,0.26,2.56,4.11,2.6
62,6.05,0.5,0.0,7.66,1.06,3.2,0.5,0.5,11.5,17.5,6.05,0.24,2.27,3.78,2.66
63,5.49,0.5,0.0,7.33,1.17,3.46,0.5,0.5,10.5,16.5,5.48,0.23,2.02,3.47,2.72
