age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
21,44.5,45.5,44.5,10.4,-1.02,5.64,32.5,40.5,50.5,56.5,44.49,0.3,38.65,5.85,1.15
22,43.55,44.5,43.5,10.3,-0.98,5.5,31.5,39.5,49.5,55.5,43.54,0.3,37.7,5.85,1.16
23,42.61,43.5,42.5,10.19,-0.93,5.36,31.5,38.5,48.5,54.5,42.59,0.31,36.74,5.87,1.16
24,41.66,42.5,41.5,10.08,-0.89,5.22,30.5,37.5,47.5,53.5,41.65,0.31,35.79,5.87,1.16
25,40.71,41.5,40.5,9.98,-0.84,5.08,29.5,36.5,46.5,52.5,40.7,0.31,34.84,5.88,1.17
26,39.77,40.5,39.5,9.88,-0.79,4.95,28.5,35.5,45.5,51.5,39.76,0.31,33.88,5.89,1.17
27,38.82,39.5,38.5,9.78,-0.75,4.82,27.5,34.5,45.5,50.5,38.81,0.31,32.91,5.91,1.18
28,37.88,38.5,37.5,9.68,-0.7,4.7,26.5,33.5,44.5,49.5,37.86,0.31,31.95,5.93,1.19
29,36.93,37.5,36.5,9.58,-0.66,4.58,25.5,32.5,43.5,48.5,36.92,0.31,30.97,5.95,1.19
30,35.98,36.5,35.5,9.49,-0.61,4.46,24.5,31.5,42.5,47.5,35.96,0.31,30.0,5.98,1.2
31,35.03,35.5,34.5,9.4,-0.57,4.35,23.5,30.5,41.5,46.5,35.02,0.31,29.02,6.01,1.21
32,34.08,34.5,33.5,9.31,-0.52,4.25,22.5,29.5,40.5,45.5,34.07,0.31,28.04,6.04,1.22
33,33.14,33.5,32.5,9.23,-0.48,4.15,21.5,28.5,39.5,44.5,33.12,0.31,27.06,6.08,1.22
34,32.19,32.5,31.5,9.15,-0.44,4.07,21.5,27.5,38.5,43.5,32.17,0.31,26.07,6.12,1.23
35,31.23,31.5,30.5,9.07,-0.41,3.99,20.5,26.5,37.5,42.5,31.22,0.31,25.07,6.16,1.25
36,30.28,30.5,29.5,9.0,-0.37,3.92,19.5,25.5,36.5,41.5,30.26,0.31,24.07,6.21,1.26
37,29.32,29.5,28.5,8.94,-0.34,3.86,18.5,24.5,35.5,40.5,29.31,0.31,23.06,6.27,1.27
38,28.37,28.5,27.5,8.88,-0.32,3.8,17.5,23.5,34.5,39.5,28.35,0.31,22.05,6.32,1.29
39,27.4,27.5,26.5,8.83,-0.29,3.75,16.5,22.5,33.5,38.5,27.39,0.31,21.03,6.37,1.3
40,26.44,26.5,25.5,8.79,-0.27,3.7,15.5,21.5,32.5,37.5,26.42,0.31,20.02,6.42,1.32
41,25.47,25.5,24.5,8.76,-0.25,3.66,14.5,20.5,31.5,36.5,25.45,0.31,19.01,6.46,1.34
42,24.49,24.5,23.5,8.74,-0.24,3.61,13.5,19.5,30.5,35.5,24.48,0.32,18.0,6.49,1.36
43,23.51,23.5,22.5,8.72,-0.22,3.55,12.5,18.5,29.5,34.5,23.49,0.32,17.0,6.51,1.38
44,22.52,22.5,21.5,8.72,-0.21,3.49,11.5,17.5,28.5,33.5,22.5,0.32,16.0,6.52,1.41
45,21.52,21.5,20.5,8.72,-0.2,3.42,10.5,16.5,27.5,32.5,21.5,0.34,15.0,6.52,1.43
46,20.52,20.5,19.5,8.73,-0.18,3.33,9.5,15.5,26.5,31.5,20.49,0.34,14.01,6.51,1.46
47,19.5,19.5,0.0,8.74,-0.16,3.24,8.5,14.5,25.5,30.5,19.48,0.35,13.02,6.48,1.5
48,18.48,18.5,0.0,8.76,-0.13,3.13,6.5,13.5,24.5,29.5,18.46,0.36,12.05,6.43,1.53
49,17.45,17.5,0.0,8.77,-0.09,3.01,5.5,12.5,23.5,28.5,17.43,0.38,11.09,6.36,1.57
50,16.42,16.5,0.0,8.77,-0.05,2.9,1.5,11.5,22.5,27.5,16.39,0.39,10.15,6.27,1.62
51,15.39,15.5,0.0,8.76,0.0,2.79,0.5,10.5,21.5,26.5,15.37,0.4,9.25,6.14,1.66
52,14.36,14.5,0.0,8.73,0.06,2.69,0.5,9.5,20.5,25.5,14.34,0.39,8.38,5.98,1.71
53,13.33,13.5,0.0,8.69,0.13,2.6,0.5,7.5,19.5,24.5,13.32,0.4,7.55,5.79,1.77
54,12.32,12.5,0.0,8.61,0.21,2.54,0.5,6.5,18.5,23.5,12.31,0.41,6.75,5.57,1.82
55,11.33,11.5,0.0,8.51,0.3,2.51,0.5,4.5,17.5,22.5,11.3,0.4,6.0,5.33,1.89
56,10.35,10.5,0.0,8.38,0.39,2.5,0.5,0.5,16.5,21.5,10.32,0.4,5.28,5.07,1.96
57,9.41,9.5,0.0,8.22,0.49,2.54,0.5,0.5,15.5,20.5,9.38,0.41,4.62,4.79,2.04
58,8.51,7.5,0.0,8.02,0.6,2.62,0.5,0.5,14.5,19.5,8.47,0.41,4.02,4.5,2.12
