age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
22,44.95,45.5,43.5,10.94,-0.85,5.21,32.5,40.5,51.5,57.5,44.94,0.22,39.55,5.41,1.14
23,44.01,44.5,42.5,10.83,-0.8,5.08,31.5,39.5,50.5,56.5,43.99,0.22,38.63,5.38,1.14
24,43.07,43.5,41.5,10.72,-0.76,4.95,31.5,38.5,49.5,55.5,43.05,0.22,37.67,5.39,1.14
25,42.12,42.5,40.5,10.62,-0.71,4.83,30.5,37.5,48.5,54.5,42.11,0.21,36.7,5.42,1.15
26,41.18,41.5,39.5,10.51,-0.67,4.71,29.5,36.5,47.5,53.5,41.17,0.21,35.73,5.45,1.15
27,40.23,40.5,38.5,10.41,-0.62,4.6,28.5,35.5,46.5,52.5,40.22,0.21,34.75,5.49,1.16
28,39.29,39.5,37.5,10.32,-0.58,4.49,27.5,34.5,45.5,51.5,39.27,0.21,33.76,5.53,1.16
29,38.34,38.5,36.5,10.22,-0.54,4.38,26.5,33.5,44.5,50.5,38.33,0.21,32.76,5.58,1.17
30,37.4,37.5,35.5,10.13,-0.49,4.28,25.5,32.5,43.5,49.5,37.38,0.21,31.76,5.64,1.18
31,36.45,36.5,34.5,10.04,-0.45,4.19,24.5,31.5,42.5,48.5,36.43,0.21,30.74,5.71,1.19
32,35.5,35.5,33.5,9.95,-0.41,4.1,23.5,30.5,41.5,47.5,35.49,0.21,29.71,5.79,1.19
33,34.56,34.5,32.5,9.87,-0.37,4.02,23.5,29.5,40.5,46.5,34.54,0.21,28.68,5.88,1.21
34,33.61,33.5,31.5,9.8,-0.34,3.95,22.5,28.5,39.5,45.5,33.59,0.22,27.63,5.98,1.22
35,32.65,32.5,30.5,9.72,-0.3,3.88,21.5,27.5,38.5,44.5,32.64,0.21,26.58,6.08,1.23
36,31.7,31.5,29.5,9.66,-0.27,3.82,20.5,26.5,37.5,43.5,31.68,0.22,25.51,6.19,1.24
37,30.74,30.5,28.5,9.6,-0.25,3.77,19.5,25.5,36.5,42.5,30.72,0.21,24.44,6.31,1.26
38,29.78,29.5,27.5,9.55,-0.22,3.73,18.5,24.5,35.5,41.5,29.77,0.21,23.35,6.43,1.28
39,28.82,28.5,26.5,9.51,-0.2,3.68,17.5,23.5,34.5,40.5,28.8,0.22,22.27,6.55,1.29
40,27.85,27.5,25.5,9.47,-0.19,3.64,16.5,22.5,33.5,39.5,27.83,0.22,21.19,6.66,1.31
41,26.88,26.5,24.5,9.45,-0.17,3.6,15.5,21.5,32.5,38.5,26.86,0.22,20.13,6.75,1.34
42,25.9,25.5,23.5,9.42,-0.16,3.55,14.5,20.5,31.5,37.5,25.88,0.22,19.08,6.82,1.36
43,24.92,24.5,22.5,9.41,-0.14,3.49,13.5,19.5,30.5,36.5,24.9,0.23,18.05,6.87,1.38
44,23.94,23.5,21.5,9.39,-0.12,3.43,12.5,18.5,29.5,35.5,23.92,0.24,17.04,6.9,1.4
45,22.95,22.5,20.5,9.38,-0.11,3.36,11.5,17.5,28.5,34.5,22.93,0.24,16.05,6.9,1.43
46,21.96,21.5,19.5,9.38,-0.08,3.29,10.5,16.5,27.5,33.5,21.94,0.25,15.07,6.89,1.46
47,20.96,20.5,18.5,9.37,-0.06,3.2,9.5,15.5,26.5,32.5,20.94,0.25,14.12,6.85,1.48
48,19.96,19.5,0.0,9.36,-0.03,3.12,8.5,14.5,26.5,31.5,19.95,0.25,13.18,6.79,1.52
