age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
25,42.43,43.5,43.5,10.14,-1.07,5.33,30.5,37.5,49.5,53.5,42.45,0.3,37.2,5.24,1.14
26,41.49,42.5,42.5,10.02,-1.03,5.19,29.5,36.5,48.5,52.5,41.5,0.29,36.24,5.25,1.14
27,40.55,41.5,41.5,9.92,-0.99,5.05,28.5,35.5,47.5,51.5,40.56,0.29,35.27,5.28,1.15
28,39.6,40.5,40.5,9.81,-0.94,4.91,28.5,34.5,46.5,50.5,39.61,0.29,34.3,5.31,1.15
29,38.66,39.5,39.5,9.71,-0.9,4.77,27.5,33.5,45.5,49.5,38.67,0.29,33.32,5.34,1.16
30,37.71,38.5,38.5,9.61,-0.85,4.64,26.5,32.5,44.5,48.5,37.72,0.29,32.34,5.37,1.17
31,36.77,37.5,37.5,9.5,-0.81,4.51,25.5,31.5,43.5,47.5,36.78,0.29,31.36,5.41,1.17
32,35.82,36.5,36.5,9.41,-0.77,4.38,24.5,30.5,42.5,46.5,35.83,0.29,30.38,5.44,1.18
33,34.88,35.5,35.5,9.31,-0.73,4.26,23.5,29.5,41.5,45.5,34.88,0.29,29.4,5.48,1.19
34,33.93,34.5,34.5,9.22,-0.69,4.15,22.5,29.5,40.5,44.5,33.94,0.3,28.41,5.52,1.19
35,32.99,33.5,33.5,9.13,-0.65,4.05,21.5,28.5,39.5,43.5,32.99,0.3,27.42,5.57,1.2
36,32.04,32.5,32.5,9.04,-0.61,3.95,20.5,27.5,38.5,42.5,32.04,0.3,26.43,5.61,1.21
37,31.09,31.5,31.5,8.96,-0.57,3.85,19.5,26.5,37.5,41.5,31.09,0.3,25.43,5.66,1.22
38,30.14,30.5,30.5,8.88,-0.54,3.77,19.5,25.5,36.5,40.5,30.15,0.3,24.42,5.72,1.23
39,29.19,29.5,29.5,8.81,-0.5,3.69,18.5,24.5,35.5,39.5,29.2,0.3,23.41,5.78,1.25
40,28.24,28.5,28.5,8.74,-0.47,3.62,17.5,23.5,34.5,38.5,28.25,0.3,22.4,5.85,1.26
41,27.29,27.5,27.5,8.68,-0.45,3.56,16.5,22.5,33.5,37.5,27.3,0.3,21.38,5.91,1.28
42,26.33,26.5,26.5,8.62,-0.42,3.5,15.5,21.5,32.5,36.5,26.34,0.3,20.35,5.98,1.29
43,25.38,25.5,25.5,8.57,-0.4,3.44,14.5,20.5,31.5,35.5,25.39,0.31,19.33,6.05,1.31
44,24.41,24.5,24.5,8.53,-0.38,3.38,13.5,19.5,30.5,34.5,24.43,0.31,18.31,6.11,1.33
45,23.45,23.5,23.5,8.49,-0.36,3.33,12.5,18.5,29.5,33.5,23.47,0.31,17.29,6.16,1.36
46,22.48,22.5,22.5,8.46,-0.34,3.27,11.5,17.5,28.5,32.5,22.51,0.32,16.27,6.21,1.38
47,21.51,21.5,21.5,8.44,-0.33,3.2,10.5,16.5,27.5,31.5,21.52,0.34,15.25,6.26,1.41
48,20.53,20.5,20.5,8.42,-0.31,3.12,9.5,15.5,26.5,30.5,20.55,0.35,14.24,6.29,1.44
49,19.55,19.5,19.5,8.41,-0.28,3.04,8.5,14.5,25.5,29.5,19.57,0.36,13.24,6.31,1.48
