age,yfs_mean,yfs_median,yfs_mode,yfs_sd,yfs_skewness,yfs_kurtosis,yfs_p10,yfs_p25,yfs_p75,yfs_p90,yfs_b_mean,yfs_b_se,wle_mean,yfs_mean_minus_wle_mean,yfs_mean_div_wle_mean
26,42.8,43.5,45.5,10.45,-1.03,5.06,30.5,37.5,49.5,54.5,42.81,0.3,39.28,3.52,1.09
27,41.86,42.5,44.5,10.34,-0.99,4.93,29.5,36.5,48.5,53.5,41.86,0.31,38.33,3.53,1.09
28,40.91,41.5,43.5,10.23,-0.95,4.79,28.5,35.5,47.5,52.5,40.92,0.31,37.37,3.55,1.09
29,39.97,41.5,42.5,10.12,-0.91,4.67,27.5,34.5,46.5,51.5,39.98,0.31,36.4,3.57,1.1
30,39.03,40.5,41.5,10.02,-0.86,4.54,26.5,33.5,45.5,50.5,39.04,0.3,35.43,3.6,1.1
31,38.09,39.5,40.5,9.91,-0.82,4.42,26.5,32.5,44.5,49.5,38.09,0.31,34.45,3.64,1.11
32,37.15,38.5,39.5,9.81,-0.78,4.3,25.5,31.5,43.5,48.5,37.15,0.31,33.47,3.67,1.11
33,36.2,37.5,38.5,9.71,-0.74,4.18,24.5,31.5,42.5,47.5,36.21,0.31,32.48,3.72,1.11
34,35.26,36.5,37.5,9.61,-0.7,4.07,23.5,30.5,41.5,46.5,35.26,0.31,31.49,3.77,1.12
35,34.32,35.5,36.5,9.52,-0.66,3.97,22.5,29.5,40.5,45.5,34.32,0.31,30.49,3.83,1.13
36,33.37,34.5,35.5,9.42,-0.62,3.87,21.5,28.5,39.5,44.5,33.38,0.31,29.49,3.88,1.13
37,32.43,33.5,34.5,9.33,-0.59,3.78,20.5,27.5,38.5,43.5,32.43,0.31,28.48,3.95,1.14
38,31.49,32.5,33.5,9.24,-0.55,3.69,19.5,26.5,37.5,42.5,31.48,0.31,27.47,4.02,1.15
39,30.55,31.5,32.5,9.16,-0.51,3.61,19.5,25.5,36.5,41.5,30.54,0.31,26.45,4.09,1.15
40,29.6,30.5,31.5,9.08,-0.48,3.54,18.5,24.5,35.5,40.5,29.6,0.31,25.43,4.17,1.16
41,28.66,29.5,30.5,9.0,-0.45,3.47,17.5,23.5,34.5,39.5,28.65,0.32,24.4,4.26,1.17
42,27.71,28.5,29.5,8.93,-0.42,3.41,16.5,22.5,33.5,38.5,27.71,0.32,23.37,4.34,1.19
43,26.76,27.5,28.5,8.86,-0.4,3.36,15.5,21.5,32.5,37.5,26.76,0.32,22.33,4.44,1.2
44,25.81,26.5,27.5,8.81,-0.38,3.32,14.5,20.5,31.5,36.5,25.82,0.33,21.27,4.54,1.21
45,24.85,25.5,26.5,8.76,-0.36,3.28,13.5,19.5,30.5,35.5,24.86,0.33,20.2,4.65,1.23
46,23.88,24.5,25.5,8.73,-0.35,3.24,12.5,18.5,29.5,34.5,23.9,0.33,19.12,4.76,1.25
47,22.9,23.5,24.5,8.72,-0.34,3.19,11.5,17.5,28.5,33.5,22.93,0.34,18.03,4.88,1.27
48,21.91,22.5,23.5,8.73,-0.33,3.14,10.5,16.5,27.5,32.5,21.92,0.38,16.92,4.99,1.3
49,20.9,21.5,22.5,8.75,-0.32,3.06,9.5,15.5,26.5,31.5,20.92,0.38,15.8,5.1,1.32
50,19.87,20.5,0.0,8.79,-0.3,2.97,8.5,14.5,25.5,30.5,19.87,0.44,14.67,5.2,1.35
51,18.82,19.5,0.0,8.85,-0.28,2.86,6.5,13.5,25.5,29.5,18.82,0.46,13.53,5.29,1.39
52,17.75,18.5,0.0,8.9,-0.25,2.73,4.5,12.5,24.5,28.5,17.76,0.52,12.39,5.36,1.43
53,16.66,17.5,0.0,8.96,-0.21,2.58,0.5,11.5,23.5,27.5,16.67,0.56,11.25,5.41,1.48
54,15.57,16.5,0.0,9.0,-0.16,2.44,0.5,9.5,22.5,26.5,15.57,0.6,10.14,5.42,1.53
55,14.47,15.5,0.0,9.01,-0.09,2.31,0.5,8.5,21.5,25.5,14.47,0.62,9.07,5.4,1.6
56,13.39,14.5,0.0,8.99,-0.02,2.2,0.5,6.5,20.5,24.5,13.39,0.63,8.06,5.33,1.66
57,12.33,13.5,0.0,8.92,0.07,2.12,0.5,4.5,19.5,23.5,12.37,0.55,7.12,5.21,1.73
58,11.32,11.5,0.0,8.81,0.16,2.07,0.5,0.5,18.5,22.5,11.31,0.54,6.27,5.05,1.81
59,10.35,10.5,0.0,8.64,0.25,2.05,0.5,0.5,17.5,21.5,10.36,0.54,5.5,4.85,1.88
